Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;sar-us;cam2features;gprstext;edge;featuresother;batmusicplayback1;bodyother
https://www.gsmarena.com/unnecto_blaze-6013.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-blaze.jpg;Unnecto Blaze;Released 2012, April;131.5g, 11.5mm thickness;Feature phone;1GB 512MB RAM storage, microSDHC slot;1;N/A;49,412 hits;"3.5""";320x480 pixels;512 MB RAM;;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2012, March. Released 2012, April;Discontinued;114 x 62.5 x 11.5 mm (4.49 x 2.46 x 0.45 in);131.5 g (4.62 oz);Dual SIM (dual stand-by);TFT resistive touchscreen;3.5 inches, 3.50, 36.5 cm(~51.2% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);;;;microSDHC (dedicated slot), 2 GB included;1GB 512MB RAM;2 MP;LED flash;Yes;No;;Wi-Fi 802.11 b/g;2.1, EDR;No;No;FM radio;microUSB;;Li-Ion 1100 mAh battery;Up to 180 h;Up to 4 h;Black, White;;;Class 12;Class 32;MP3/MP4 playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_drone-6012.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone.jpg;Unnecto Drone;Released 2012, April;117g, 12.4mm thickness;Android 2.2;4GB 2GB RAM storage, microSDHC slot;1;N/A;66,747 hits;"3.2""";240x400 pixels;2 GB RAM;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2012, February. Released 2012, April;Discontinued;102.6 x 56.4 x 12.4 mm (4.04 x 2.22 x 0.49 in);117 g (4.13 oz);Dual SIM (dual stand-by);TFT resistive touchscreen;3.2 inches, 3.20, 29.1 cm(~50.4% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);Android 2.2 (Froyo);;;microSDHC (dedicated slot);4GB 2GB RAM;2 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.1, A2DP, EDR;No;No;FM radio;microUSB;;Li-Ion 800 mAh battery;Up to 100 h;Up to 4 h;Black/black, black/silver, black/white;;;Class 12;Yes;;;
https://www.gsmarena.com/unnecto_tap-6011.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-tap.jpg;Unnecto Tap;Released 2011, August;90g, 12.2mm thickness;Feature phone;256MB 64MB RAM storage, microSDHC slot;2;N/A;46,496 hits;"2.8""";240x320 pixels;64 MB RAM;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, June. Released 2011, August;Discontinued;105.5 x 56 x 12.2 mm (4.15 x 2.20 x 0.48 in);90 g (3.17 oz);Dual SIM (dual stand-by);TFT resistive touchscreen;2.8 inches, 24.3 cm(~41.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;;;microSDHC (dedicated slot), 4 GB included;256MB 64MB RAM;1.3 MP;;Yes;No;;Wi-Fi 802.11 b/g/n;Yes;No;No;FM radio;microUSB;;Li-Ion 950 mAh battery;Up to 200 h;Up to 4 h;White/Blue;;;Class 12;Yes;MP3/MP4 playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_pro_z-6010.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-pro-z.jpg;Unnecto Pro Z;Released 2012, June;90g, 11mm thickness;Feature phone;64MB storage, microSDHC slot;2;N/A;50,395 hits;"2.4""";320x240 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2012, March. Released 2012, June;Discontinued;115 x 60 x 11 mm (4.53 x 2.36 x 0.43 in);90 g (3.17 oz);Dual SIM (dual stand-by);TFT resistive touchscreen;2.4 inches, 17.8 cm(~25.9% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;;microSDHC (dedicated slot);64MB;1.3 MP;;Yes;No;;Wi-Fi 802.11 b/g;3.0;No;No;FM radio;microUSB;;Li-Ion 1000 mAh battery;Up to 240 h;Up to 3 h;Black, White;;;Class 12;Yes;MP3/MP4 playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_pro-6008.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-pro.jpg;Unnecto Pro;Released 2012, June;120g, 11.5mm thickness;Feature phone;512MB 256MB RAM storage, microSDHC slot;2;N/A;45,460 hits;"2.4""";320x240 pixels;256 MB RAM;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2012, March. Released 2012, June;Discontinued;112 x 60 x 11.5 mm (4.41 x 2.36 x 0.45 in);120 g (4.23 oz);Dual SIM (dual stand-by);TFT resistive touchscreen;2.4 inches, 17.8 cm(~26.5% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;;microSDHC (dedicated slot), 4 GB included;512MB 256MB RAM;1.3 MP;;Yes;No;;Wi-Fi 802.11 b/g/n;3.0;No;No;FM radio;microUSB;;Li-Ion 1000 mAh battery;Up to 240 h;Up to 3 h;Black, White;;;Class 12;Yes;MP3/MP4 playerNimbuzzOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_edge-6007.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-edge.jpg;Unnecto Edge;Released 2011, August;140g, 13.5mm thickness;Feature phone;128MB storage, microSDHC slot;1;N/A;47,153 hits;"2.2""";320x240 pixels; ;;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, June. Released 2011, August;Discontinued;112 x 60 x 13.5 mm (4.41 x 2.36 x 0.53 in);140 g (4.94 oz);Dual SIM (dual stand-by);TFT;2.2 inches, 15.0 cm(~22.3% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;;;microSDHC (dedicated slot), 2 GB included;128MB;1.3 MP;;Yes;No;;No;2.1, EDR;No;No;FM radio;microUSB;;Li-Ion 900 mAh battery;Up to 120 h;Up to 3 h;Black/Black, Black/Red;;;Class 12;No;MP3/MP4 playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_shell-6006.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-shell.jpg;Unnecto Shell;Released 2011, August;240g, 14.3mm thickness;Feature phone;128MB storage, microSDHC slot;2;N/A;46,151 hits;"2.2""";320x240 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, June. Released 2011, August;Discontinued;111.5 x 60 x 14.3 mm (4.39 x 2.36 x 0.56 in);240 g (8.47 oz);Dual SIM (dual stand-by);TFT;2.2 inches, 15.0 cm(~22.4% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;;;microSDHC (dedicated slot), 2 GB included;128MB;1.3 MP;;Yes;No;;No;2.1, EDR;No;No;FM radio;microUSB;;Li-Ion 1000 mAh battery;Up to 150 h;Up to 4 h;Black, Silver;;;Class 12;No;MP3/MP4 playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_pebble-6004.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-pebble.jpg;Unnecto Pebble;Released 2011, August;100g, 14.7mm thickness;Feature phone;64MB storage, microSDHC slot;3;N/A;56,135 hits;"2.0""";220x176 pixels; ;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, June. Released 2011, August;Discontinued;107.2 x 58.2 x 14.7 mm (4.22 x 2.29 x 0.58 in);100 g (3.53 oz);Dual SIM (dual stand-by);TFT;2.0 inches, 12.6 cm(~20.2% screen-to-body ratio);220 x 176 pixels (~141 ppi density);;;;microSDHC (dedicated slot), 2 GB included;64MB;1.3 MP;;Yes;No;;No;2.1, EDR;No;No;FM radio;microUSB;;Li-Ion 800 mAh battery;Up to 120 h;Up to 5 h;Black/Black, Black/Pink, White/Blue;;;Class 12;No;MP3/MP4 playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_drift-6005.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-drift.jpg;Unnecto Drift;Released 2011, August;80g, 11.4mm thickness;Feature phone;128MB storage, microSDHC slot;1;N/A;45,398 hits;"2.4""";320x240 pixels; ;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, June. Released 2011, August;Discontinued;115 x 52 x 11.4 mm (4.53 x 2.05 x 0.45 in);80 g (2.82 oz);Dual SIM (dual stand-by);TFT;2.4 inches, 17.8 cm(~29.8% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;;microSDHC (dedicated slot);128MB;1.3 MP;;Yes;No;;No;2.1, EDR;No;No;FM radio;microUSB;;Li-Ion 800 mAh battery;Up to 120 h;Up to 5 h;Black, Yellow, Orange;;;Class 12;No;MP3/MP4 playerOrganizerVoice memo;;
https://www.gsmarena.com/unnecto_eco-6003.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-eco.jpg;Unnecto Eco;Released 2011, August;80g, 14.8mm thickness;Feature phone;64MB storage, microSD slot;1;N/A;45,666 hits;"1.77""";128x160 pixels; ;;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, June. Released 2011, August;Discontinued;105.8 x 46 x 14.8 mm (4.17 x 1.81 x 0.58 in);80 g (2.82 oz);Dual SIM (dual stand-by);TFT;1.77 inches, 9.9 cm(~20.3% screen-to-body ratio);128 x 160 pixels (~116 ppi density);;;;microSD (dedicated slot);64MB;VGA;;Yes;No;;No;2.1, EDR;No;No;FM radio;Proprietary;;Li-Ion 1100 mAh battery;Up to 200 h;Up to 7 h;Black/Red, White/Blue, Black/Grey, Blue/Blue, White/Pink;;;Class 12;No;MP3/MP4 playerOrganizerVoice memo;;Flashlight
https://www.gsmarena.com/unnecto_primo_3g-6002.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-3g.jpg;Unnecto Primo 3G;Released 2013;70g, 13.2mm thickness;Feature phone;1GB 256MB RAM storage, microSDHC slot;3;N/A;46,961 hits;"1.8""";128x160 pixels; ;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 1900;;HSPA;2013. Released 2013;Discontinued;108 x 46 x 13.2 mm (4.25 x 1.81 x 0.52 in);70 g (2.47 oz);Single SIM or Dual SIM (dual stand-by);TFT;1.8 inches, 10.2 cm(~20.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;microSDHC (dedicated slot);1GB 256MB RAM;0.8 MP;;Yes;No;;No;Yes;No;No;FM radio;Proprietary;;Li-Ion 600 mAh battery;;;Black, Blue, Stone;;;;;Audio/video playerOrganizerVoice memo;;Flashlight
https://www.gsmarena.com/unnecto_primo-6001.php;https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo.jpg;Unnecto Primo;Released 2013;70g, 13.2mm thickness;Feature phone;32MB 32MB storage, microSDHC slot;5;N/A;54,436 hits;"1.8""";128x160 pixels; ;;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);;;;2013. Released 2013;Discontinued;108 x 46 x 13.2 mm (4.25 x 1.81 x 0.52 in);70 g (2.47 oz);Single SIM or Dual SIM (dual stand-by);TFT;1.8 inches, 10.2 cm(~20.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;microSDHC (dedicated slot);32MB 32MB;Yes;;Yes;No;;No;Yes;No;No;FM radio;Proprietary;;Li-Ion 600 mAh battery;Up to 150 h;Up to 5 h;Black Grey, Black Red, White Blue, White Pink, Blue;;;Yes;No;Audio/video playerOrganizerVoice memo;;Flashlight
