Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;memoryother;cam2features;gprstext;edge;featuresother
https://www.gsmarena.com/posh_kick_x511-7621.php;https://fdn2.gsmarena.com/vv/bigpic/posh-kick-x511.jpg;Posh Kick X511;Released 2015, August;160g, 8.1mm thickness;Android 4.4.2;8GB storage, microSDHC;0;N/A;72,869 hits;"5.0""";540x960 pixels;1 GB RAM;MT6582M;1600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 - X511A;;HSPA 21.1/5.76 Mbps;2015, May. Released 2015, August;Discontinued;144.5 x 72 x 8.1 mm (5.69 x 2.83 x 0.32 in);160 g (5.64 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.2% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~220 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 1GB RAM;5 MP, AF;LED flash, panorama, HDR;1080p@30fps;VGA;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 1600 mAh battery;Up to 400 h (2G) / Up to 240 h (3G);Up to 5 h (2G) / Up to 4 h (3G);Black, White, Gold, Blue;;;;;
https://www.gsmarena.com/posh_kick_lite_s410-7620.php;https://fdn2.gsmarena.com/vv/bigpic/posh-kick-lite-s410.jpg;Posh Kick Lite S410;Released 2015, August;119g, 12.2mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;1;N/A;50,849 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572M;1450 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 - S410A;;HSPA 21.1/5.76 Mbps;2015, May. Released 2015, August;Discontinued;123.3 x 63.5 x 12.2 mm (4.85 x 2.5 x 0.48 in);119 g (4.20 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;4.0 inches, 45.5 cm(~58.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;2 MP;LED flash, panorama, HDR;720p@30fps;VGA;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 1450 mAh battery;Up to 400 h (2G) / Up to 240 h (3G);Up to 5 h (2G) / Up to 3 h (3G);Black, White, Pink, Blue;;;;;
https://www.gsmarena.com/posh_icon_s510-7619.php;https://fdn2.gsmarena.com/vv/bigpic/posh-icon-s510.jpg;Posh Icon S510;Released 2015, October;115.2g, 8.5mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;54,225 hits;"5.0""";480x854 pixels;512 MB RAM;MT6572M;1800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 - S510A;;HSPA 21.1/5.76 Mbps;2015, May. Released 2015, October;Discontinued;142 x 70.5 x 8.5 mm (5.59 x 2.78 x 0.33 in);115.2 g (4.06 oz);Dual SIM (Mini-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~68.8% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;5 MP;LED flash, panorama, HDR;1080p@30fps;VGA;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 1800 mAh battery;Up to 260 h (2G) / Up to 220 h (3G);Up to 5 h 30 min (2G) / Up to 5 h (3G);Gold, White, Black;;;;;
https://www.gsmarena.com/posh_titan_max_hd_e550-7495.php;https://fdn2.gsmarena.com/vv/bigpic/posh-e550-.jpg;Posh Titan Max HD E550;Released 2015, July;140g, 7.9mm thickness;Android 4.4.2;8GB storage, microSDXC;2;N/A;70,345 hits;"5.5""";720x1280 pixels;1 GB RAM;MT6592M;2400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 / 2100 - E550A;;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, July;Discontinued;151 x 78 x 7.9 mm (5.94 x 3.07 x 0.31 in);140 g (4.94 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~70.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 4.4.2 (KitKat);Mediatek MT6592M (28 nm);Octa-core 1.4 GHz Cortex-A7;Mali-450MP4;microSDXC;8GB 1GB RAM;13 MP, AF;Dual-LED flash, panorama, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 2400 mAh battery;Up to 400 h (2G) / Up to 240 h (3G);Up to 4 h (2G) / Up to 5 h (3G);Black, White, Gold;;LED flash;;;
https://www.gsmarena.com/posh_ultra_5_0_lte_l500-7494.php;https://fdn2.gsmarena.com/vv/bigpic/posh-l500-.jpg;Posh Ultra 5.0 LTE L500;Released 2015, July;129g, 8.4mm thickness;Android 4.4.4;8GB storage, microSDXC;1;N/A;63,636 hits;"5.0""";720x1280 pixels;1 GB RAM;Snapdragon 410;2230 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900 - L500A;2, 4, 7, 17;HSPA 21.1/5.76 Mbps, LTE;2015, July. Released 2015, July;Discontinued;143 x 73 x 8.4 mm (5.63 x 2.87 x 0.33 in);129 g (4.55 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.4 (KitKat);Qualcomm MSM8916 Snapdragon 410 (28 nm);Quad-core 1.2 GHz Cortex-A53;Adreno 306;microSDXC;8GB 1GB RAM;8 MP, AF;LED flash, panorama;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 2230 mAh battery;Up to 400 h (2G) / Up to 200 h (3G);Up to 4 h (2G) / Up to 4 h (3G);Black, White;eMMC 4.5;;;;
https://www.gsmarena.com/posh_micro_x_s240-7493.php;https://fdn2.gsmarena.com/vv/bigpic/posh-s240-.jpg;Posh Micro X S240;Released 2015, July;52.7g, 11.7mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;15;N/A;184,800 hits;"2.45""";240x432 pixels;512 MB RAM;MT6572;650 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900 - S240A;;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, July;Discontinued;89.8 x 47.8 x 11.7 mm (3.54 x 1.88 x 0.46 in);52.7 g (1.87 oz);Mini-SIM;TFT, 256K colors;2.45 inches, 16.4 cm(~38.3% screen-to-body ratio);240 x 432 pixels (~202 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572 (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 512MB RAM;2 MP;Panorama;720p@30fps;1 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 650 mAh, removable;Up to 200 h (2G) / Up to 180 h (3G);Up to 7 h (2G) / Up to 4 h (3G);Black, White, Blue, Pink;;;;;
https://www.gsmarena.com/posh_titan_max_hd_e600-7169.php;https://fdn2.gsmarena.com/vv/bigpic/posh-e600.jpg;Posh Titan Max HD E600;Released 2015, April;172g, 8.9mm thickness;Android 4.4.2;8GB storage, microSDXC;1;N/A;87,101 hits;"6.0""";720x1280 pixels;1 GB RAM;MT6592;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700 / 1900 - E600A;;HSPA 21.1/5.76 Mbps;2014, November. Released 2015, April;Discontinued;165.8 x 84 x 8.9 mm (6.53 x 3.31 x 0.35 in);172 g (6.07 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;6.0 inches, 99.2 cm(~71.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~245 ppi density);Android 4.4.2 (KitKat);Mediatek MT6592 (28 nm);Octa-core 1.7 GHz Cortex-A7;Mali-450MP4;microSDXC;8GB 1GB RAM;13 MP, AF;Dual-LED flash, panorama, HDR;1080p@30fps;5 MP, AF;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 3000 mAh battery;Up to 710 h (2G) / Up to 610 h (3G);Up to 24 h (2G) / Up to 12 h (3G);Black, White, Gold;;;;;
https://www.gsmarena.com/posh_titan_hd_e500-7170.php;https://fdn2.gsmarena.com/vv/bigpic/posh-e500.jpg;Posh Titan HD E500;Released 2014, September;125g, 8mm thickness;Android 4.4.2;8GB storage, microSDXC;0;N/A;70,976 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6592M;2100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700 / 1900 - E500A;;HSPA 21.1/5.76 Mbps;2014, July. Released 2014, September;Discontinued;141.5 x 70.8 x 8 mm (5.57 x 2.79 x 0.31 in);125 g (4.41 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~68.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);Mediatek MT6592M (28 nm);Octa-core 1.3 GHz Cortex-A7;Mali-450MP4;microSDXC;8GB 1GB RAM;13 MP, AF;LED flash, panorama, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 2100 mAh battery;Up to 600 h (2G) / Up to 520 h (3G);Up to 18 h (2G) / Up to 9 h (3G);Black, White, Blue, Pink, Yellow, Orange, Green;;;;;
https://www.gsmarena.com/posh_equal_s700-7171.php;https://fdn2.gsmarena.com/vv/bigpic/posh-s700.jpg;Posh Equal S700;Released 2014, September;244g, 8.9mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDXC slot;4;N/A;90,634 hits;"7.0""";600x1024 pixels;512 MB RAM;MT8312;2600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700 / 1900 - S700A;;HSPA 21.1/5.76 Mbps;2014, August. Released 2014, September;Discontinued;193.9 x 103 x 8.9 mm (7.63 x 4.06 x 0.35 in);244 g (8.61 oz);Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by);TFT;7.0 inches, 137.9 cm(~69.0% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 4.4.2 (KitKat);Mediatek MT8312 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDXC;4GB 512MB RAM;5 MP;LED flash, panorama, HDR;1080p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP;GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer, compass;Li-Ion 2600 mAh, non-removable;Up to 300 h (3G);Up to 10 h (3G);Black, White;;;;;
https://www.gsmarena.com/posh_equal_lite_w700-7172.php;https://fdn2.gsmarena.com/vv/bigpic/posh-w700.jpg;Posh Equal Lite W700;Released 2014, December;231g, 9.8mm thickness;Android 4.4;8GB storage, microSDHC;0;N/A;48,896 hits;"7.0""";600x1024 pixels;512 MB RAM;MT8127;2100 mAh Li-Po;N/A;;;;2014, September. Released 2014, December;Discontinued;192 x 109 x 9.8 mm (7.56 x 4.29 x 0.39 in);231 g (8.15 oz);No;TFT;7.0 inches, 137.9 cm(~65.9% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 4.4 (KitKat);Mediatek MT8127 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-450MP4;microSDHC (dedicated slot);8GB 512MB RAM;5 MP;HDR;1080p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 2100 mAh, non-removable;Up to 250 h (3G);;White;;;No;No;
https://www.gsmarena.com/posh_memo_s580-7173.php;https://fdn2.gsmarena.com/vv/bigpic/posh-s580.jpg;Posh Memo S580;Released 2014, August;175g, 9.7mm thickness;Android 4.4;4GB 512MB RAM storage, microSDHC slot;0;N/A;50,566 hits;"5.88""";480x800 pixels;512 MB RAM;MT6572M;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 - S580A;;HSPA 21.1/5.76 Mbps;2014, June. Released 2014, August;Discontinued;165.5 x 90.5 x 9.7 mm (6.52 x 3.56 x 0.38 in);175 g (6.17 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;5.88 inches, 98.4 cm(~65.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~159 ppi density);Android 4.4 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;8 MP;LED flash, panorama, HDR;720p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;2.1, EDR;GPS, GLONASS;No;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity;Li-Ion 2500 mAh battery;Up to 800 h (2G) / Up to 750 h (3G);Up to 24 h (2G) / Up to 14 h (3G);Black, White;;;;;
https://www.gsmarena.com/posh_orion_max_x550-7174.php;https://fdn2.gsmarena.com/vv/bigpic/posh-x550.jpg;Posh Orion Max X550;Released 2014, September;194g, 9.6mm thickness;Android 4.4.2;4GB 1GB RAM storage, microSDHC slot;1;N/A;55,622 hits;"5.5""";540x960 pixels;1 GB RAM;MT6582M;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 - X550A;;HSPA 21.1/5.76 Mbps;2014, July. Released 2014, September;Discontinued;156.3 x 77.4 x 9.6 mm (6.15 x 3.05 x 0.38 in);194 g (6.84 oz);Dual SIM (Mini-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~68.9% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~200 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;4GB 1GB RAM;8 MP, AF;LED flash, panorama, HDR;720p;1.3 MP;;Wi-Fi 802.11 b/g/n;3.0, EDR;GPS, GLONASS;No;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity;Li-Ion 2500 mAh battery;Up to 650 h (2G) / Up to 600 h (3G);Up to 23 h (2G) / Up to 13 h (3G);Black, White, Blue;;;;;
