Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;speed;net3g;cam2video;displayother;cam1features;batstandby1;battalktime1;cpu;bodyother;optionalother
https://www.gsmarena.com/amoi_h815-1672.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h815.gif;Amoi H815;Released 2006, Q2;106g, 25mm thickness;Feature phone;36MB storage, no card slot;5;N/A;79,059 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2006, Q2;Discontinued;90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in);106 g (3.74 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~31.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;36MB;1.3 MP;Yes;No;No;No;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 8 h;;;
https://www.gsmarena.com/amoi_h812-1671.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h812.gif;Amoi H812;Released 2006, Q2;106g, 25mm thickness;Feature phone;36MB storage, no card slot;7;N/A;78,595 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2006, Q2;Discontinued;90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in);106 g (3.74 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~31.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;36MB;1.3 MP;Yes;No;No;No;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver black;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 8 h;;;
https://www.gsmarena.com/amoi_h810-1670.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h810.gif;Amoi H810;Released 2006, Q2;106g, 25mm thickness;Feature phone;36MB storage, no card slot;7;N/A;82,795 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2006, Q2;Discontinued;90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in);106g (3.74 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~31.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;36MB;1.3 MP;QCIF;No;No;No;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver black;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 8 h;;;
https://www.gsmarena.com/amoi_h802-1669.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h802.gif;Amoi H802;Released 2006, Q2;130g, 26.3mm thickness;Feature phone;7MB storage, microSD slot;7;N/A;80,620 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;93.5 x 50 x 26.3 mm (3.68 x 1.97 x 1.04 in);130g (4.59 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.9% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver black;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
https://www.gsmarena.com/amoi_h801-1664.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h801.gif;Amoi H801;Released 2006, Q2;129g, 26mm thickness;Feature phone;7MB storage, microSD slot;7;N/A;72,997 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;93 x 50 x 26 mm (3.66 x 1.97 x 1.02 in);129g (4.55 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~27.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;Yes, 384 kbps;UMTS 2100;;Second external OLED display, 96 x 64 pixels, 1.0 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
https://www.gsmarena.com/amoi_h8-1663.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h8.gif;Amoi H8;Released 2006, Q2;128g, 28mm thickness;Feature phone;7MB storage, microSD slot;4;N/A;76,315 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in);128 g (4.52 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.8% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black-silver;Yes, 384 kbps;UMTS 2100;;Second external OLED display, 96 x 64 pixels, 1.0 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
https://www.gsmarena.com/amoi_h80-1662.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h80.gif;Amoi H80;Released 2006, Q2;128g, 28mm thickness;Feature phone;7MB storage, microSD slot;7;N/A;74,330 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in);128g (4.52 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.8% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black;Yes, 384 kbps;UMTS 2100;;Second external OLED display, 96 x 64 pixels, 1.0 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
https://www.gsmarena.com/amoi_a675-1654.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a675.gif;Amoi A675;Released 2006, Q2;101.4g, 23.3mm thickness;Feature phone;128MB storage, no card slot;7;N/A;81,709 hits;"2.0""";320x240 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;93.2 x 46.3 x 23.3 mm (3.67 x 1.82 x 0.92 in);101.4 g (3.56 oz);Mini-SIM;TFT, 65K colors;2.0 inches, 12.4 cm(~28.7% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~200 ppi density);;No;128MB;2 MP;Yes;No;No;Yes;No;No;miniUSB;;MP3/ MP4 PlayerPC SyncTV-outVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/amoi_m636-1653.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-m636.gif;Amoi M636;Released 2006, Q2;97g, 18mm thickness;Feature phone;128MB storage, no card slot;7;N/A;84,442 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;107 x 47 x 18 mm (4.21 x 1.85 x 0.71 in);97 g (3.42 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~25.0% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;128MB;2 MP;Yes;No;No;No;No;FM radio;miniUSB;;MP3/ MP4 PlayerPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver, Black;;;;;LED flash;Up to 150 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_a865-1645.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a865.gif;Amoi A865;Released 2006, Q2;125g, 22.8mm thickness;Feature phone;10MB storage, microSD slot;7;N/A;77,348 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;90.3 x 45.9 x 22.8 mm (3.56 x 1.81 x 0.90 in);125 g (4.41 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~30.4% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);10MB;2 MP;Yes;No;No;No;No;FM radio;miniUSB;;Optical Character RecognitionMP3/ MP4 PlayerPC SyncVoice memoPhoto editorOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;;;;Second external CSTN display, 65K colors, 96 x 64 pixels, 1.0 inches;rotating lens;Up to 180 h;Up to 5 h;;;
