Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;gprstext;edge;chipset;price;optionalother
https://www.gsmarena.com/qtek_s110-1255.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-s110.gif;Qtek S110;Released 2005, Q2;150g, 18mm thickness;Microsoft Windows Mobile 2003 SE PocketPC;128MB RAM storage, SDIO/MMC slot;9;N/A;264,403 hits;"2.8""";240x320 pixels;128 MB RAM;;1200 mAh Li-Po;GSM 900 / 1800 / 1900;;;2005, Q2;Discontinued;108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in);150 g (5.29 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 42 x 57 mm, 24.3 cm(~38.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 2003 SE PocketPC;Intel Bulverde 416 MHz;SDIO/MMC;128MB RAM;1.3 MP;;Yes;No;;No;1.2;No;No;Proprietary;;Pocket OfficeVoice memoMP3/AAC playerPredictive text input;Removable Li-Po 1200 mAh battery;Up to 180 h;Up to 5 h;Stylish black;Class 10;No;;;
https://www.gsmarena.com/qtek_s100-1172.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-s100.gif;Qtek S100;Released 2004, Q4;150g, 18mm thickness;Microsoft Windows Mobile 2003 SE PocketPC;64MB RAM storage, SDIO/MMC slot;12;N/A;376,594 hits;"2.8""";240x320 pixels;64 MB RAM;;1200 mAh Li-Po;GSM 900 / 1800 / 1900;;;2004, Q4;Discontinued;108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in);150 g (5.29 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.8 inches, 42 x 57 mm, 24.3 cm(~38.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Handwriting recognition;Microsoft Windows Mobile 2003 SE PocketPC;Intel Bulverde 416 MHz;SDIO/MMC;64MB RAM;1.3 MP;;Yes;No;;No;Yes;No;No;Proprietary;;Pocket OfficeVoice memoMP3/AAC playerPredictive text input;Removable Li-Po 1200 mAh battery;Up to 180 h;Up to 5 h;Stylish black and silver;Class 10;No;;;
https://www.gsmarena.com/qtek_9090-1171.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-9090.gif;Qtek 9090;Released 2004, Q3;210g, 18mm thickness;Microsoft Windows Mobile 2003 SE PocketPC;128MB RAM storage, SDIO/MMC slot;15;N/A;495,821 hits;"3.5""";240x320 pixels;128 MB RAM;;1490 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2004, Q3;Discontinued;125 x 71 x 18 mm (4.92 x 2.80 x 0.71 in);210 g (7.41 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;3.5 inches, 53 x 71 mm, 37.9 cm(~42.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);Downloadable logos;Microsoft Windows Mobile 2003 SE PocketPC;Intel PXA263 400 MHz;SDIO/MMC;128MB RAM;VGA;;Yes;No;;Wi-Fi 802.11b;Yes;No;No;Proprietary;;Microsoft ActiveSyncMP3/AAC playerPredictive text input;Removable Li-Po 1490 mAh battery;Up to 200 h;Up to 5 h;Stylish black and silver;Class 10;No;;;
https://www.gsmarena.com/qtek_8020-1170.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8020.gif;Qtek 8020;Released 2004, Q3;102g, 18mm thickness;Microsoft Windows Mobile 2003 SE Smartphone;32MB RAM storage, MiniSD slot;8;N/A;195,454 hits;"2.2""";176x220 pixels;32 MB RAM;TI OMAP 730;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q3;Discontinued;107 x 44 x 18 mm (4.21 x 1.73 x 0.71 in);102 g (3.60 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~32.4% screen-to-body ratio);176 x 220 pixels (~128 ppi density);5-way navigation button3-color LED indicatorDownloadable logos;Microsoft Windows Mobile 2003 SE Smartphone;200 MHz ARM926EJ-S;MiniSD;32MB RAM;VGA;;Yes;No;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion 1050 mAh battery;Up to 140 h;Up to 5 h;Stylish black and silver;Class 10;No;TI OMAP 730;;
https://www.gsmarena.com/qtek_8010-1169.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8010.gif;Qtek 8010;Released 2004, Q2;106g, 17.5mm thickness;Microsoft Windows Mobile 2003 SE Smartphone;32MB RAM storage, MiniSD slot;11;N/A;170,022 hits;"2.2""";176x220 pixels;32 MB RAM;TI OMAP 730;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q2;Discontinued;107 x 46 x 17.5 mm (4.21 x 1.81 x 0.69 in);106 g (3.74 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~30.9% screen-to-body ratio);176 x 220 pixels (~128 ppi density);5-way navigation button3-color LED indicatorDownloadable logos;Microsoft Windows Mobile 2003 SE Smartphone;200 MHz ARM926EJ-S;MiniSD;32MB RAM;VGA;;Yes;No;;No;Yes;No;No;Proprietary;;Microsoft ActiveSyncMP3/AAC playerPredictive text input;Removable Li-Ion 1050 mAh battery;Up to 140 h;Up to 5 h;Cool metallic, Light blue;Class 10;No;TI OMAP 730;;
https://www.gsmarena.com/qtek_2020i-1168.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-2020i.gif;Qtek 2020i;Released 2004, Q2;190g, 18mm thickness;Microsoft Windows Mobile 2003 SE PocketPC;128MB RAM storage, SDIO/MMC slot;9;N/A;307,706 hits;"3.5""";240x320 pixels;128 MB RAM;;1300 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q2;Discontinued;130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in);190 g (6.70 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;3.5 inches, 53 x 71 mm, 37.9 cm(~41.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);5-way navigation buttonDownloadable logos;Microsoft Windows Mobile 2003 SE PocketPC;Intel Bulverde 520 MHz;SDIO/MMC;128MB RAM, 128MB ROM;1.3 MP;;Yes;No;;Wi-Fi 802.11b;Yes;No;No;Proprietary;;Microsoft ActiveSyncMP3 playerPredictive text input;Removable Li-Ion 1300 mAh battery;Up to 168 h;Up to 4 h;Silver;Class 10;No;;;
https://www.gsmarena.com/qtek_2020-1167.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-2020.gif;Qtek 2020;Released 2004, Q2;190g, 18mm thickness;Microsoft Windows Mobile 2003 PocketPC;64MB RAM storage, SDIO/MMC slot;13;N/A;291,853 hits;"3.5""";240x320 pixels;64 MB RAM;;1200 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q2;Discontinued;130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in);190 g (6.70 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;3.5 inches, 53 x 71 mm, 37.9 cm(~41.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);5-way navigation buttonDownloadable logos;Microsoft Windows Mobile 2003 PocketPC;Intel PXA263 400 MHz;SDIO/MMC;64MB RAM (128MB optional);VGA;;Yes;No;;No;Yes;No;No;Proprietary;;Microsoft ActiveSyncMP3 playerPredictive text input;Removable Li-Ion 1200 mAh battery;Up to 160 h;Up to 3 h 30 min;Silver;Class 10;No;;;
https://www.gsmarena.com/qtek_8080-1166.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8080.gif;Qtek 8080;Released 2004, Q1;130g, 23.5mm thickness;Microsoft Windows Mobile 2003 Smartphone;32MB RAM storage, SDIO/MMC slot;8;N/A;257,749 hits;"2.2""";176x220 pixels;32 MB RAM;TI OMAP 710;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q1;Discontinued;120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in);130 g (4.59 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~25.4% screen-to-body ratio);176 x 220 pixels (~128 ppi density);White LED back light5-way navigation buttonDownloadable logos;Microsoft Windows Mobile 2003 Smartphone;133 MHz  ARM925;SDIO/MMC;32MB RAM, 64MB ROM;VGA;;No;No;;No;Yes;No;No;Proprietary;;Microsoft ActiveSyncCalculatorPredictive text inputMP3 player;Removable Li-Ion 1000 mAh battery;Up to 90 h;Up to 6 h;;Class 8;No;TI OMAP 710;;
https://www.gsmarena.com/qtek_8060-1165.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-8060.gif;Qtek 8060;Released 2004, Q1;130g, 23.5mm thickness;Microsoft Windows Mobile 2003 Smartphone;32MB RAM storage, SDIO/MMC slot;6;N/A;108,333 hits;"2.2""";176x220 pixels;32 MB RAM;TI OMAP 710;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q1;Discontinued;120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in);130 g (4.59 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~25.4% screen-to-body ratio);176 x 220 pixels (~128 ppi density);White LED back light5-way navigation buttonDownloadable logos;Microsoft Windows Mobile 2003 Smartphone;133 MHz  ARM925;SDIO/MMC;32MB RAM, 64MB ROM;VGA;;No;No;;No;Yes;No;No;Proprietary;;Microsoft ActiveSyncCalculatorPredictive text inputMP3 player;Removable Li-Ion 1000 mAh battery;Up to 90 h;Up to 6 h;;Class 8;No;TI OMAP 710;;
https://www.gsmarena.com/qtek_1010-1164.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-1010.gif;Qtek 1010;Released 2003;201g, 18mm thickness;Microsoft Windows Mobile 2002 PocketPC;64MB RAM storage, MMC/SD slot;7;N/A;206,092 hits;"3.5""";240x320 pixels;64 MB RAM;;1500 mAh Li-Ion;GSM 900 / 1800;;;2003;Discontinued;129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in);201 g (7.09 oz);Mini-SIM;TFT resistive resistive touchscreen, 4096 colors;3.5 inches, 53 x 71 mm, 37.9 cm(~40.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);;Microsoft Windows Mobile 2002 PocketPC;;MMC/SD;64MB RAM, 32MB ROM;No;;;;;No;No;No;No;Proprietary;;Pocket OfficeMedia playerVoice memo;Removable Li-Ion 1500 mAh battery;Up to 150 h;Up to 5 h;;Class 8;No;;;
https://www.gsmarena.com/qtek_7070-1163.php;https://fdn2.gsmarena.com/vv/bigpic/qtek-7070.gif;Qtek 7070;Released 2004, Q1;120g, 23.5mm thickness;Microsoft Windows 2002 Smartphone;16MB RAM storage, MMC/SD slot;7;N/A;131,005 hits;"2.2""";176x220 pixels;16 MB RAM;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2004, Q1;Discontinued;120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in);120 g (4.23 oz);Mini-SIM;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~25.4% screen-to-body ratio);176 x 220 pixels (~128 ppi density);White LED back light5-way navigation buttonDownloadable logos;Microsoft Windows 2002 Smartphone;120 MHz;MMC/SD;16MB RAM, 32MB ROM;No;;;;;No;No;No;No;Proprietary;;OrganizerWorld ClockPredictive text inputMP3 player;Removable Li-Ion 1000 mAh battery;Up to 100 h;Up to 3 h;;Class 8;No;;;
