Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;cpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors
https://www.gsmarena.com/fujitsu_siemens_t830-1954.php;https://fdn2.gsmarena.com/vv/bigpic/fs-t810.gif;Fujitsu Siemens T830;Released 2006, August;190g, 21mm thickness;Microsoft Windows Mobile 5.0 Phone Edition;64MB RAM storage, SD slot;19;0.1%;256,990 hits;"2.4""";240x240 pixels;64 MB RAM;;1500 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, August;Discontinued;126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in);190 g (6.70 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.4 inches, 18.6 cm(~23.0% screen-to-body ratio);240 x 240 pixels, 1:1 ratio (~141 ppi density);5-way navigation key;Microsoft Windows Mobile 5.0 Phone Edition;Intel PXA272 416 MHz;SD;64MB RAM, 128MB ROM;2 MP, AF;Yes;VGA videocall camera;;Wi-Fi 802.11b/g;2.0;GPS, SiRF GCS3F receiver;No;Proprietary;;SiRF GCS3F receiverVideo telephonyPocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo;Removable Li-Ion 1500 mAh battery;Up to 150 h;Up to 4 h;Silver
https://www.gsmarena.com/fujitsu_siemens_t810-1953.php;https://fdn2.gsmarena.com/vv/bigpic/fs-t810.gif;Fujitsu Siemens T810;Released 2006, August;190g, 21mm thickness;Microsoft Windows Mobile 5.0 Phone Edition;64MB RAM storage, SD slot;11;N/A;129,598 hits;"2.4""";240x240 pixels;64 MB RAM;;1500 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, August;Discontinued;126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in);190 g (6.70 oz);Mini-SIM;TFT resistive touchscreen, 65K colors;2.4 inches, 18.6 cm(~23.0% screen-to-body ratio);240 x 240 pixels, 1:1 ratio (~141 ppi density);5-way navigation key;Microsoft Windows Mobile 5.0 Phone Edition;Intel PXA272 416 MHz;SD;64MB RAM, 128MB ROM;No;;Yes;;Wi-Fi 802.11b/g;2.0;GPS, SiRF GCS3F receiver;No;Proprietary;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo;Removable Li-Ion 1500 mAh battery;Up to 150 h;Up to 4 h;Silver
