Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;gprstext;edge;optionalother;bodyother;os;cpu
https://www.gsmarena.com/benq_siemens_cl71-1501.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-cl71.gif;BenQ-Siemens CL71;Released 2006, March;115g, 17.8mm thickness;Feature phone;24MB storage, microSD slot;8;N/A;223,248 hits;;176x220 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, March;Discontinued;97 x 46.5 x 17.8 mm (3.82 x 1.83 x 0.70 in);115 g (4.06 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;;microSD (dedicated slot);24MB;1.3 MP;;Yes;No;;No;1.2;No;FM radio;1.1;;MP3/AAC/WMA playerPredictive text inputVoice dialOrganizerStopwatch;Removable Li-Ion 750 mAh battery;Up to 170 h;Up to 2 h 20 min;Black;Class 10;No;;;;
https://www.gsmarena.com/benq_siemens_cf61-1500.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-cf61.gif;BenQ-Siemens CF61;Released 2006, March;99g, 23mm thickness;Feature phone;1.5MB storage, microSD slot;9;N/A;195,583 hits;"1.8""";128x160 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, March;Discontinued;88 x 46 x 23 mm, 80 cc (3.46 x 1.81 x 0.91 in);99 g (3.49 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 29 x 35 mm, 10.2 cm(~25.2% screen-to-body ratio);128 x 160 pixels (~114 ppi density);Second external 4K colors display, CSTN (96 x 64 pixels)5-way navigation key;microSD (dedicated slot);1.5MB;1.3 MP;;No;No;;No;Yes;No;No;1.1;;MP3/AAC/WMA playerPredictive text inputOrganizerExchangeable front coverVoice memo;Removable Li-Ion 750 mAh battery;Up to 225 h;Up to 3 h;Silver;Class 10;No;3D surround sound;;;
https://www.gsmarena.com/benq_siemens_c81-1498.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c81.gif;BenQ-Siemens C81;Released 2006, March;90g, 17.7mm thickness;Feature phone;23MB storage, RS-MMC slot;8;N/A;187,001 hits;"1.8""";132x176 pixels; ;;820 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, March;Discontinued;104 x 46.5 x 17.7 mm (4.09 x 1.83 x 0.70 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 27 x 36 mm, 10.0 cm(~20.7% screen-to-body ratio);132 x 176 pixels, 4:3 ratio (~122 ppi density);;RS-MMC;23MB;1.3 MP;;Yes;No;;No;1.2, A2DP;No;No;2.0;;MP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Ion 820 mAh battery;Up to 300 h;Up to 5 h;Piano Black;Class 10;Class 10;;;;
https://www.gsmarena.com/benq_siemens_e61-1502.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e61.gif;BenQ-Siemens E61;Released 2006, March;88g, 17mm thickness;Feature phone;1MB storage, miniSD slot;7;N/A;314,198 hits;"1.8""";128x160 pixels; ;;840 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, March;Discontinued;101 x 44 x 17 mm (3.98 x 1.73 x 0.67 in);88 g (3.10 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 29 x 35 mm, 10.2 cm(~22.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;miniSD;1MB;VGA;;No;No;;No;No;No;No;1.1;;AAC/AAC+/AAC++/MIDI/MP3/PCM(WAV)/XMF playerPredictive text inputVoice memoOrganizerStopwatch;Removable Li-Ion 840 mAh battery;Up to 215 h;Up to 3 h 20 min;Silver, Orange;Class 10;No;;;;
https://www.gsmarena.com/benq_siemens_ef91-1437.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef91.gif;BenQ-Siemens EF91;Released 2006, February;100g, 23.5mm thickness;Feature phone;32MB storage, microSD slot;8;N/A;187,691 hits;"2.0""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;HSPA;2006, February;Discontinued;92 x 46.5 x 23.5 mm, 86 cc (3.62 x 1.83 x 0.93 in);100 g (3.53 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 30 x 40 mm, 12.4 cm(~29.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);Second external 65K colors display, OLED(96 x 64 pixels);microSD (dedicated slot);32MB;3.15 MP, AF;LED flash;Yes;VGA videocall camera;;No;1.2, A2DP;No;No;Proprietary;;Video telephonyMP3/AAC playerPredictive text inputVoice memoStopwatchOrganizer;Removable Li-Ion 1000 mAh battery;;;Arctic Silver;;;3D sound;;;
https://www.gsmarena.com/benq_siemens_s81-1438.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-s81.gif;BenQ-Siemens S81;Released 2006, February;99g, 13mm thickness;Feature phone;30MB storage, microSD slot;9;N/A;303,373 hits;"2.0""";176x220 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, February;Discontinued;109 x 48 x 13 mm (4.29 x 1.89 x 0.51 in);99 g (3.49 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 31 x 39 mm, 12.6 cm(~24.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);30MB;1.3 MP;LED flash;Yes;VGA videocall camera;;No;1.1;No;No;Proprietary;;MP3/AAC playerVideo telephonyiTapStopwatchOrganizer;Removable Li-Ion 920 mAh battery;Up to 320 h;Up to 4 h 50 min;Black/Silver;;;;;;
https://www.gsmarena.com/benq_siemens_ef51-1436.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef51.gif;BenQ-Siemens EF51;Released 2006, February;95g, 18mm thickness;Feature phone;20MB storage, miniSD slot;10;N/A;335,382 hits;"2.2""";120x128 pixels; ;;870 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, February;Discontinued;89 x 49 x 18 mm (3.50 x 1.93 x 0.71 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 40 x 40 mm, 15.6 cm(~35.7% screen-to-body ratio);120 x 128 pixels (~80 ppi density);;miniSD;20MB;1.3 MP;;No;No;;No;1.2, A2DP;No;FM radio;Proprietary;;WMA/MP3/AAC/AAC+ playerPredictive text inputVoice memoStopwatchOrganizer;Removable Li-Ion 870 mAh battery;Up to 200 h;Up to 4 h;Flashy White, Black;Class 10;No;3D surround sound;;;
https://www.gsmarena.com/benq_siemens_ef81-1412.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef81.gif;BenQ-Siemens EF81;Released 2006, January;110g, 15.9mm thickness;Feature phone;64MB storage, microSD slot;14;N/A;592,663 hits;"2.2""";240x320 pixels; ;;950 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2006, January;Discontinued;94 x 51 x 15.9 mm (3.70 x 2.01 x 0.63 in);110 g (3.88 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 34 x 45 mm, 15.0 cm(~31.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);Second external 256K colors display, TFT (120 x 160 pixels)Aluminum rear cover;microSD (dedicated slot);64MB;2 MP;rotating lens;Yes;No;;No;Yes;No;No;Proprietary;;Video telephonyMP3/AAC playerVideo playerPhoto editorPredictive text inputVoice dialStopwatchOrganizer;Removable Li-Ion 950 mAh battery;Up to 300 h;Up to 4 h 30 min;Titanium Silver;;;;;;
https://www.gsmarena.com/benq_siemens_s88-1411.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-s88.gif;BenQ-Siemens S88;Released 2006, January;105g, 17mm thickness;Feature phone;20MB storage, microSD slot;15;N/A;519,895 hits;"2.0""";176x220 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, January;Discontinued;99 x 47 x 17 mm (3.90 x 1.85 x 0.67 in);105 g (3.70 oz);Mini-SIM;AMOLED, 256K colors;2.0 inches, 31 x 39 mm, 12.6 cm(~27.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);20MB;2 MP, AF;LED flash;Yes;No;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputVoice memoStopwatchOrganizer;Removable Li-Ion 920 mAh battery;Up to 110 h;Up to 3 h 15 min;Cosmic Black, Astral White;Class 10;No;3D surrounding sound;;;
https://www.gsmarena.com/benq_siemens_s68-1410.php;https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-s68.gif;BenQ-Siemens S68;Released 2006, January;78.5g, 13.2mm thickness;Feature phone;26MB storage, no card slot;9;N/A;312,834 hits;"1.8""";132x176 pixels; ;;660 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, January;Discontinued;107.5 x 44 x 13.2 mm, 58 cc (4.23 x 1.73 x 0.52 in);78.5 g (2.75 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 28 x 37 mm, 10.0 cm(~21.2% screen-to-body ratio);132 x 176 pixels, 4:3 ratio (~122 ppi density);;No;26MB;No;;;;;No;1.2, A2DP;No;No;Proprietary;;Media playerPredictive text inputStopwatchOrganizerVoice memo;Removable Li-Ion 660 mAh battery;Up to 300 h;Up to 5 h;Brushed Aluminum;Class 10;No;;;;
