Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;price;memoryother;models;optionalother;sar-us;featuresother;displayother;gprstext;edge
https://www.gsmarena.com/kyocera_rise_c5155-4747.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-rise-c5155.jpg;Kyocera Rise C5155;Released 2012, August;158g, 14.3mm thickness;Android 4.0;2GB 512MB RAM storage, microSDHC slot;11;N/A;210,020 hits;"3.5""";320x480 pixels;512 MB RAM;Snapdragon S2;1500 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;2012, May. Released 2012, August;Discontinued;113 x 60.5 x 14.3 mm (4.45 x 2.38 x 0.56 in);158 g (5.57 oz);Mini-SIM;;IPS LCD;3.5 inches, 36.5 cm(~53.4% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);;Android 4.0 (Ice Cream Sandwich);Qualcomm MSM8655 Snapdragon S2;1.0 GHz;Adreno 205;microSDHC (dedicated slot), 2 GB included;2GB 512MB RAM;3.15 MP, AF;;Yes;No;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1500 mAh battery;;Up to 8 h 40 min;Black;;;;;;MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dial/commandsPredictive text input (Swype);;;
https://www.gsmarena.com/kyocera_milano_c5121-4316.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-milano-c5121.jpg;Kyocera Milano C5121;Released 2011, September;158g, 17.1mm thickness;Android 2.3;512MB 512MB RAM storage, microSDHC slot;6;N/A;85,064 hits;"3.0""";240x320 pixels;512 MB RAM;MSM7627T;1490 mAh Li-Ion;CDMA 800 / 1900 / 1700;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;2011, September. Released 2011, September;Discontinued;105 x 61 x 17.1 mm (4.13 x 2.40 x 0.67 in);158 g (5.57 oz);Mini-SIM;;TFT, 256K colors;3.0 inches, 27.9 cm(~43.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~133 ppi density);;Android 2.3 (Gingerbread);Qualcomm MSM7627T;800 MHz;;microSDHC (dedicated slot), 2 GB included;512MB 512MB RAM;3.15 MP, AF;;Yes;No;;Wi-Fi 802.11 b/g/n, hotspot (charges may apply);2.1, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1490 mAh battery;;Up to 7 h 40 min;Pink, Black;;;;;;MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input (Swype);;;
https://www.gsmarena.com/kyocera_milano_c5120-4314.php;https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Milano.jpg;Kyocera Milano C5120;Released 2011, September;158g, 17.1mm thickness;Android 2.3;512MB 512MB RAM storage, microSDHC slot;9;N/A;96,100 hits;"3.0""";240x320 pixels;512 MB RAM;MSM7627T;1490 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.0, 153.2 Kbps;2011, September. Released 2011, September;Discontinued;105 x 61 x 17.1 mm (4.13 x 2.40 x 0.67 in);158 g (5.57 oz);Mini-SIM;;TFT, 256K colors;3.0 inches, 27.9 cm(~43.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~133 ppi density);;Android 2.3 (Gingerbread);Qualcomm MSM7627T;800 MHz;;microSDHC (dedicated slot), 2 GB included;512MB 512MB RAM;3.15 MP, AF;;Yes;No;;Wi-Fi 802.11 b/g/n, hotspot (charges may apply);2.1, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1490 mAh battery;;Up to 7 h 40 min;Black;;;;;;MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input (Swype);;;
https://www.gsmarena.com/kyocera_presto_s1350-4319.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-presto-s1350.jpg;Kyocera Presto S1350;Released 2011, October;76g, 13.7mm thickness;Feature phone;67MB storage, no card slot;5;N/A;73,062 hits;"1.8""";128x160 pixels; ;;920 mAh Li-Ion;CDMA 800 / 1900 / 1700;CDMA2000 1x;;CDMA2000 1x, 153 Kbps;2011, October. Released 2011, October;Discontinued;114 x 45.5 x 13.7 mm (4.49 x 1.79 x 0.54 in);76 g (2.68 oz);Mini-SIM;;TFT, 256K colors;1.8 inches, 10.2 cm(~19.7% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;;No;67MB;VGA;;No;No;;No;2.1, A2DP, EDR;No;;No;microUSB 2.0;;Removable Li-Ion 920 mAh battery;Up to 200 h;Up to 3 h 20 min;Black;;;;2.5 mm audio jack;;PlayerOrganizer;;;
https://www.gsmarena.com/kyocera_brio-4315.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-brio.jpg;Kyocera Brio;Released 2011, September;105g, 14.5mm thickness;Feature phone;128MB storage, microSD slot;1;N/A;81,689 hits;"2.2""";320x240 pixels; ;QSC6055;870 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1x;;CDMA2000 1x, 153 Kbps;2011, September. Released 2011, September;Discontinued;113.5 x 60 x 14.5 mm (4.47 x 2.36 x 0.57 in);105 g (3.70 oz);Mini-SIM;;TFT, 256K colors;2.2 inches, 15.0 cm(~22.0% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;;Qualcomm QSC6055;;;microSD (dedicated slot);128MB;1.3 MP;;Yes;No;;No;2.0, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Compass;Removable Li-Ion 870 mAh battery;;Up to 4 h 40 min;Black;;;;2.5 mm audio jack;;MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;;
https://www.gsmarena.com/kyocera_echo-3914.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-echo.jpg;Kyocera Echo;Released 2011, April;193g, 17.2mm thickness;Android 2.2, up to 2.3;1GB 512MB RAM storage, microSDHC slot;29;N/A;214,152 hits;"3.5""";480x800 pixels;512 MB RAM;Snapdragon S1;1370 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;2011, March. Released 2011, April;Discontinued;115 x 56.5 x 17.2 mm (4.53 x 2.22 x 0.68 in);193 g (6.81 oz);Mini-SIM;;Two TFTs, 256K colors;3.5 inches, 34.9 cm(~53.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~267 ppi density);;Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread);Qualcomm QSD8650 Snapdragon S1;1.0 GHz Scorpion;Adreno 200;microSDHC (dedicated slot), 8 GB included;1GB 512MB RAM;5 MP, AF;LED flash;720p;Yes;;Wi-Fi 802.11 b/g, hotspot (charges may apply);2.1, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1370 mAh battery;Up to 200 h;Up to 7 h;Black;About 350 EUR;;;;;MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Simul-Task Mode – choose 2 of the Echos 7 core apps and run one on each display simultaneouslyOptimized Mode – apps let the dual displays complement each other, like email on one and a full virtual keypad on the otherTablet Mode – dual displays act as a single (4.7 inches diagonally, 800 x 960 pixels) display;;
https://www.gsmarena.com/kyocera_duracore_e4210-4318.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duracore-e4210.jpg;Kyocera DuraCore E4210;Released 2011, July;126g, 23.9mm thickness;Feature phone;No card slot;4;N/A;100,344 hits;"2.0""";240x320 pixels; ;QSC6055;1360 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;2011, July;Discontinued;98.5 x 49.8 x 23.9 mm (3.88 x 1.96 x 0.94 in);126 g (4.44 oz);Mini-SIM;MIL-STD 810G-grade salt, fog, humidity, transport shock and thermal shock resistant;TFT, 256K colors;2.0 inches, 12.4 cm(~25.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;Qualcomm QSC6055;;;No;;No;;;;;No;2.0, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;;Removable Li-Ion 1360 mAh battery;;Up to 8 h;Black;;;;2.5 mm audio jack;;MP3 playerOrganizerVoice memo/dial/commands;"External 1"" monochrome display, 96 x 64 pixels";;
https://www.gsmarena.com/kyocera_duramax-4317.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duramax.jpg;Kyocera DuraMax;Released 2011, October;144g, 25.5mm thickness;Feature phone;microSDHC slot;10;N/A;98,143 hits;"2.0""";240x320 pixels; ;QSC6055;1360 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;2011, July. Released 2011, October;Discontinued;101.5 x 53.5 x 25.5 mm (4.00 x 2.11 x 1.00 in);144 g (5.08 oz);Mini-SIM;FlashlightMIL-STD 810G-grade salt, fog, humidity, transport shock and thermal shock resistantWater submersible (up to 1m for 30 min);TFT, 256K colors;2.0 inches, 12.4 cm(~22.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;Qualcomm QSC6055;;;microSDHC (dedicated slot), 1 GB included;;3.2 MP;LED flash;Yes;No;;No;2.0, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;;Removable Li-Ion 1360 mAh battery;;Up to 8 h;Black;;;;;;MP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerVoice memo/dial/commands;"External 1"" monochrome display, 96 x 64 pixels";;
https://www.gsmarena.com/kyocera_e4600-3227.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-e4600.jpg;Kyocera E4600;Released 2008, August;85g, 15mm thickness;Feature phone;microSD slot;5;N/A;67,517 hits;"2.2""";176x220 pixels; ;;780 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2008, August. Released 2008, August;Discontinued;103 x 51 x 15 mm (4.06 x 2.01 x 0.59 in);85 g (3.00 oz);Mini-SIM;Flashlight;TFT, 65K colors;2.2 inches, 15.2 cm(~29.0% screen-to-body ratio);176 x 220 pixels (~128 ppi density);;;;;;microSD (dedicated slot);;2 MP;LED flash;Yes;No;;No;2.0, A2DP;GPS;;No;miniUSB 2.0;;Removable Li-Ion 780 mAh battery;Up to 300 h;Up to 4 h;Black;;;;;;MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;Class 10;Class 10
https://www.gsmarena.com/kyocera_solo_e4000-3223.php;https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Solo-E4000.jpg;Kyocera Solo E4000;Released 2008, August;90g, 13.8mm thickness;Microsoft Windows Mobile 6.0 Standard;microSD slot;7;N/A;78,995 hits;;240x320 pixels; ;;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2008, August. Released 2008, August;Discontinued;108 x 46.3 x 13.8 mm (4.25 x 1.82 x 0.54 in);90 g (3.17 oz);Mini-SIM;;TFT, 65K colors;;240 x 320 pixels, 4:3 ratio;;Microsoft Windows Mobile 6.0 Standard;;;;microSD (dedicated slot);;2 MP;;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS;;No;microUSB 2.0;;Removable Li-Ion 900 mAh battery;Up to 150 h;Up to 5 h;Black;;;;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.263 playerOffice document viewerOrganizerVoice memo/dialPredictive text input;;Class 10;Class 10
