Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;battalktime1;colors;price;net3g;net4g;speed;gpu;cam1features;memoryother;featuresother;cam2features;optionalother;batstandby1;tbench;batlife;displayprotection;models;sar-eu;batmusicplayback1;displayother;sar-us
https://www.gsmarena.com/acer_iconia_tab_a100-3841.php;https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a100.jpg;Acer Iconia Tab A100;Released 2011, April;450g, 13.1mm thickness;Android 3.0, up to 4.0;8GB/16GB storage, microSDHC;14;N/A;679,695 hits;"7.0""";600x1024 pixels;1 GB RAM;Nvidia Tegra 2 T20;1530 mAh Li-Po;N/A;No;No;2011, February. Released 2011, April;Discontinued;195 x 117 x 13.1 mm (7.68 x 4.61 x 0.52 in);450 g (0.99 lb);No;;LCD;7.0 inches, 137.9 cm(~60.4% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 3.0, upgradable to 4.0 (Ice Cream Sandwich);Nvidia Tegra 2 T20;Dual-core 1.0 GHz Cortex-A9;microSDHC (dedicated slot);8GB 1GB RAM, 16GB 1GB RAM;5 MP, AF;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;GPS;;No;microUSB 2.0;Accelerometer, gyro, compass;Non-removable Li-Po 1530 mAh battery;;Black/Red, Black/Blue;About 100 EUR;;;;ULP GeForce;LED flash;;HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input;;;;;;;;;;Acer UI;
https://www.gsmarena.com/acer_liquid_mini_e310-3711.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquidmini.jpg;Acer Liquid mini E310;Released 2011, April;108g, 13mm thickness;Android 2.2, up to 2.3;512MB RAM storage, microSDHC slot;14;N/A;682,668 hits;"3.2""";320x480 pixels;512 MB RAM;Snapdragon S1;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2011, January. Released 2011, April;Discontinued;110.4 x 57.5 x 13 mm (4.35 x 2.26 x 0.51 in);108 g (3.81 oz);Mini-SIM;;TFT, 256K colors;3.2 inches, 30.5 cm(~48.0% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread);Qualcomm MSM7227-1 Snapdragon S1;600 MHz ARM 11;microSDHC (dedicated slot), 2 GB included;512MB RAM, 512MB;5 MP;480p@30fps;No;;Wi-Fi 802.11 b/g, DLNA, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1300 mAh battery;Up to 8 h (2G) / Up to 6 h 30 min (3G);blue, pink, silver, black, green, lagoon, cherry, pearl, steel;About 120 EUR;HSDPA 900 / 2100;;HSPA 7.2/0.384 Mbps;Adreno 200;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerDocument viewerVoice memoPredictive text input;;;Up to 400 h (2G) / Up to 480 h (3G);;;;;;;Touch sensitive controlsAcer UI;
https://www.gsmarena.com/acer_betouch_e210-3712.php;https://fdn2.gsmarena.com/vv/bigpic/acer-betouch-e210.jpg;Acer beTouch E210;Released 2011, Q2;109g, 12mm thickness;Android 2.2;256MB RAM storage, microSDHC slot;16;N/A;458,124 hits;"2.6""";320x240 pixels;256 MB RAM;Snapdragon S1;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2011, January. Released 2011, Q2;Discontinued;116 x 63 x 12 mm (4.57 x 2.48 x 0.47 in);109 g (3.84 oz);Mini-SIM;Optical trackpad;TFT resistive touchscreen, 256K colors;2.6 inches, 20.9 cm(~28.6% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~154 ppi density);Android 2.2 (Froyo);Qualcomm MSM7227 Snapdragon S1;600 MHz ARM 11;microSDHC (dedicated slot);256MB RAM, 512MB;3.15 MP;Yes;No;;Wi-Fi 802.11 b/g, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;Stereo FM radio;microUSB 2.0;Accelerometer, compass;Removable Li-Ion 1300 mAh battery;;Black, White;About 150 EUR;HSDPA 900 / 2100;;HSPA 7.2/2 Mbps;Adreno 200;;;MP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerDocument viewerVoice memoPredictive text input;;;;;;;;0.92 W/kg (head);;;0.92 W/kg (head)     0.88 W/kg (body)
https://www.gsmarena.com/acer_betouch_e140-3666.php;https://fdn2.gsmarena.com/vv/bigpic/Acer-beTouch-E140-ofic.jpg;Acer beTouch E140;Released 2010, December;95g, 12.8mm thickness;Android 2.2;256MB RAM storage, microSDHC slot;10;N/A;248,116 hits;"2.8""";240x320 pixels;256 MB RAM;Snapdragon S1;1300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, December. Released 2010, December;Discontinued;104.5 x 55.8 x 12.8 mm (4.11 x 2.20 x 0.50 in);95 g (3.35 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors;2.8 inches, 24.3 cm(~41.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Android 2.2 (Froyo);Qualcomm MSM7227 Snapdragon S1;600 MHz ARM 11;microSDHC (dedicated slot);256MB RAM, 512MB;3.15 MP;Yes;No;;Wi-Fi 802.11 b/g, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, compass;Removable Li-Ion 1300 mAh battery;Up to 6 h (2G) / Up to 5 h (3G);Black;About 110 EUR;HSDPA 900 / 2100;;HSPA 7.2/2 Mbps;Adreno 200;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerVoice memoPredictive text input;;;Up to 400 h (2G) / Up to 500 h (3G);;;;;;;;
https://www.gsmarena.com/acer_betouch_t500-3587.php;https://fdn2.gsmarena.com/vv/bigpic/acer-betouch-t500.jpg;Acer beTouch T500;Released 2010, Q4;130g, 13.5mm thickness;Android-based OPhone 1.5;256MB RAM storage, microSDHC slot;9;N/A;206,950 hits;"3.2""";320x480 pixels;256 MB RAM;;1500 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;Class 10;2010, October. Released 2010, Q4;Discontinued;118.5 x 58 x 13.5 mm (4.67 x 2.28 x 0.53 in);130 g (4.59 oz);Mini-SIM;;TFT;3.2 inches, 30.5 cm(~44.4% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Android-based OPhone 1.5;;;microSDHC (dedicated slot);256MB RAM, 512MB;3.15 MP;Yes;No;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer;Removable Li-Ion 1500 mAh battery;;Black;About 70 EUR;;;TD-SCDMA;;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerVoice memo/dialPredictive text input;;;;;;;;;;;
https://www.gsmarena.com/acer_liquid_mt-3519.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-metal-ofic.jpg;Acer Liquid mt;Released 2010, November;135g, 13.5mm thickness;Android 2.2;512MB RAM storage, microSDHC slot;20;N/A;745,905 hits;"3.6""";480x800 pixels;512 MB RAM;MSM7230;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, October. Released 2010, November;Discontinued;115 x 63 x 13.5 mm (4.53 x 2.48 x 0.53 in);135 g (4.76 oz);Mini-SIM;;TFT;3.6 inches, 36.9 cm(~50.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~259 ppi density);Android 2.2 (Froyo);Qualcomm MSM7230;800 MHz Scorpion;microSDHC (dedicated slot);512MB RAM, 512MB;5 MP, AF;720p@30fps;No;;Wi-Fi 802.11 b/g/n, UPnP, hotspot;2.1, A2DP;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1500 mAh battery;Up to 11 h (2G) / Up to 8 h (3G);Silver;About 70 EUR;HSDPA 850 / 1900 / 2100;;HSPA 14.4/2 Mbps;Adreno 205;LED flash;;MP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerDocument viewerVoice memo/dialPredictive text inputMusic recognition;;;Up to 450 h (2G) / Up to 550 h (3G);;;;;;;Acer UI 4.0 Breeze;
https://www.gsmarena.com/acer_betouch_e130-3373.php;https://fdn2.gsmarena.com/vv/bigpic/acer-130-ofic.jpg;Acer beTouch E130;Released 2010, August;109g, 11.5mm thickness;Android 1.6;256MB RAM storage, microSDHC slot;18;N/A;415,000 hits;"2.6""";320x240 pixels;256 MB RAM;ST Ericsson PNX6715;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, June. Released 2010, August;Discontinued;115 x 62.5 x 11.5 mm (4.53 x 2.46 x 0.45 in);109 g (3.84 oz);Mini-SIM;Optical trackpad;TFT, 65K colors;2.6 inches, 20.9 cm(~29.1% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~154 ppi density);Android 1.6 (Donut);ST Ericsson PNX6715;416 MHz;microSDHC (dedicated slot);256MB RAM, 512MB;3.15 MP;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, compass;Removable Li-Ion 1500 mAh battery;Up to 6 h;Black, White;About 90 EUR;HSDPA 900 / 2100;;HSPA 3.6/0.384 Mbps;;;;MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerDocument viewerVoice memoPredictive text input;;;Up to 600 h;;;;;;;;
https://www.gsmarena.com/acer_betouch_e120-3406.php;https://fdn2.gsmarena.com/vv/bigpic/acer-e120.jpg;Acer beTouch E120;Released 2010, Q3;105g, 13.2mm thickness;Android 1.6;256MB RAM storage, microSDHC slot;10;N/A;238,030 hits;"2.8""";240x320 pixels;256 MB RAM;;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, June. Released 2010, Q3;Discontinued;104.5 x 54 x 13.2 mm (4.11 x 2.13 x 0.52 in);105 g (3.70 oz);Mini-SIM;;TFT;2.8 inches, 24.3 cm(~43.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Android 1.6 (Donut);;ST Ericsson PNX6715, 416 MHz;microSDHC (dedicated slot);256MB RAM, 512MB;3.15 MP;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, compass;Removable Li-Ion 1500 mAh battery;Up to 6 h;Black, White;About 70 EUR;HSDPA 900 / 2100;;HSPA 3.6/0.384 Mbps;;;;Acer Spinlets, Acer UrFooz appsAcer web widgetsAcer multimedia menuMP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input;;;Up to 600 h;;;;;;;;
https://www.gsmarena.com/acer_stream-3358.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-stream-ofic.jpg;Acer Stream;Released 2010, August;140g, 11.2mm thickness;Android 2.1;2GB 512MB RAM storage, microSDHC slot;16;N/A;546,556 hits;"3.7""";480x800 pixels;512 MB RAM;Snapdragon S1;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, May. Released 2010, August;Discontinued;119.5 x 63 x 11.2 mm (4.70 x 2.48 x 0.44 in);140 g (4.94 oz);Mini-SIM;;AMOLED;3.7 inches, 39.0 cm(~51.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~252 ppi density);Android 2.1 (Eclair);Qualcomm QSD8250 Snapdragon S1;1.0 GHz Scorpion;microSDHC (dedicated slot), 8 GB included;2GB 512MB RAM;5 MP, AF;720p@24fps;No;;Wi-Fi 802.11 b/g/n, DLNA & UPnP technology;2.1, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1400 mAh battery;Up to 5 h (3G);Black;About 130 EUR;HSDPA 850 / 1900 / 2100;;HSPA 7.2/2 Mbps;Adreno 200;;;Micro HDMI portDedicated search keyMP3/WAV/WMA/eAAC+ playerMP4/Xvid/WMV/H.264 playerDocument viewerVoice memoPredictive text input;;Dedicated music keys;Up to 400 h (3G);;;;;;;;
https://www.gsmarena.com/acer_liquid_e-3156.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e-new.jpg;Acer Liquid E;Released 2010, August;135g, 12.5mm thickness;Android 2.1, up to Android 2.2;512MB RAM storage, microSDHC slot;14;N/A;876,384 hits;"3.5""";480x800 pixels;512 MB RAM;Snapdragon S1;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, February. Released 2010, August;Discontinued;115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in);135 g (4.76 oz);Mini-SIM;;TFT, 256K colors;3.5 inches, 34.9 cm(~48.5% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~267 ppi density);Android 2.1 (Eclair), upgradable to Android 2.2 (Froyo);Qualcomm QSD8250 Snapdragon S1;768 MHz Scorpion;microSDHC (dedicated slot);512MB RAM, 512MB;5 MP, AF;480p@20fps;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;No;miniUSB;Accelerometer, proximity;Removable Li-Ion 1350 mAh battery;Up to 5 h;Black, White, Red, Ferrari edition;About 90 EUR;HSDPA 900 / 1900 / 2100;;HSPA 7.2/2 Mbps;Adreno 200;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerDocument viewerVoice memoPredictive text input;;;Up to 400 h;;;;;;;Acer UI 3.0;
https://www.gsmarena.com/acer_neotouch_p400-3155.php;https://fdn2.gsmarena.com/vv/bigpic/acer-neotouch-p400.jpg;Acer neoTouch P400;Released 2010, May;125g, 12mm thickness;Microsoft Windows Mobile 6.5.3 Professional;256MB RAM storage, microSD slot;8;N/A;249,799 hits;"3.2""";320x480 pixels;256 MB RAM;Snapdragon S1;1090 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2010, February. Released 2010, May;Discontinued;115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in);125 g (4.41 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors;3.2 inches, 30.5 cm(~44.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Microsoft Windows Mobile 6.5.3 Professional;Qualcomm MSM7227 Snapdragon S1;600 MHz ARM 11;microSD (dedicated slot);256MB RAM, 512MB ROM;3.15 MP, AF;Yes;No;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;Stereo FM radio;2.0;Accelerometer, compass;Removable Li-Po 1090 mAh battery;Up to 5 h;Black;About 100 EUR;HSDPA 900 / 2100;;HSPA;Adreno 200;;;Acer applicationsMP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memo;;;Up to 400 h;;;;;;;;
https://www.gsmarena.com/acer_betouch_e400-3154.php;https://fdn2.gsmarena.com/vv/bigpic/acer-betouch-e400.jpg;Acer beTouch E400;Released 2010, April;125g, 12mm thickness;Android 2.1;256MB RAM storage, microSD slot;12;N/A;306,914 hits;"3.2""";320x480 pixels;256 MB RAM;Snapdragon S1;1090 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2010, February. Released 2010, April;Discontinued;115 x 59.3 x 12 mm (4.53 x 2.33 x 0.47 in);125 g (4.41 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors;3.2 inches, 30.5 cm(~44.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Android 2.1 (Eclair);Qualcomm MSM7227 Snapdragon S1;600 MHz ARM 11;microSD (dedicated slot);256MB RAM, 512MB;3.15 MP, AF;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;Stereo FM radio;2.0;Accelerometer, compass;Removable Li-Po 1090 mAh battery;Up to 5 h;Soft-touch Black, Ceramic White and Pearl Red with 3 exchangeable battery covers;About 80 EUR;HSDPA 900 / 2100;;HSPA 3.6/0.384 Mbps;Adreno 200;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input;;;Up to 400 h;;;;;;;Digital compassAcer UI;
https://www.gsmarena.com/acer_neotouch_p300-3138.php;https://fdn2.gsmarena.com/vv/bigpic/acer-p300.jpg;Acer neoTouch P300;Released 2010, Q2;130.6g, 15.1mm thickness;Microsoft Windows Mobile 6.5.3;256MB RAM storage, microSD slot;12;N/A;258,675 hits;"3.2""";240x400 pixels;256 MB RAM;Snapdragon S1;970 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2010, February. Released 2010, Q2;Discontinued;110 x 55 x 15.1 mm (4.33 x 2.17 x 0.59 in);130.6g (4.59 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.2 inches, 29.1 cm(~48.2% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);Microsoft Windows Mobile 6.5.3;Qualcomm MSM7225 Snapdragon S1;528 MHz ARM 11;microSD (dedicated slot);256MB RAM, 512MB ROM;3.15 MP, AF;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;No;2.0;Accelerometer;Removable Li-Po 970 mAh battery;Up to 4 h;Black;About 80 EUR;HSDPA 2100;;HSPA 7.2/2 Mbps;No;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input;;;Up to 400 h;;;;;;;;
https://www.gsmarena.com/acer_betouch_e110-3137.php;https://fdn2.gsmarena.com/vv/bigpic/acer-e110.jpg;Acer beTouch E110;Released 2010, March;105g, 13.4mm thickness;Android 1.5;256MB RAM storage, microSD slot;13;N/A;347,969 hits;"2.8""";240x320 pixels;256 MB RAM;;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, February. Released 2010, March;Discontinued;103.5 x 54 x 13.4 mm (4.07 x 2.13 x 0.53 in);105 g (3.70 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors (65K effective);2.8 inches, 24.3 cm(~43.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Android 1.5 (Cupcake);;ST Ericsson PNX6715 416MHz;microSD (dedicated slot);256MB RAM, 256MB;3.15 MP;Yes;No;;No;2.0, A2DP;GPS, A-GPS;;Stereo FM radio;2.0;;Removable Li-Ion 1500 mAh battery;;Black, Dark Blue;About 70 EUR;HSDPA 900 / 2100;;HSPA 3.6/0.384 Mbps;;;;Acer web widgetsAcer multimedia menuMP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input;;;;;;;;;;;
https://www.gsmarena.com/acer_liquid-2968.php;https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-new.jpg;Acer Liquid;Released 2009, December;135g, 12.5mm thickness;Android 1.6;256MB RAM storage, microSDHC slot;18;N/A;1,030,953 hits;"3.5""";480x800 pixels;256 MB RAM;Snapdragon S1;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2009, October. Released 2009, December;Discontinued;115 x 62.5 x 12.5 mm (4.53 x 2.46 x 0.49 in);135 g (4.76 oz);Mini-SIM;;TFT, 256K colors;3.5 inches, 34.9 cm(~48.5% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~267 ppi density);Android 1.6 (Donut);Qualcomm QSD8250 Snapdragon S1;768 MHz Scorpion;microSDHC (dedicated slot);256MB RAM, 512MB;5 MP, AF;480p@20fps;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;No;miniUSB;Accelerometer, proximity;Removable Li-Ion 1350 mAh battery;Up to 5 h;Black, White, Red;About 90 EUR;HSDPA 900 / 1900 / 2100;;HSPA 7.2/2 Mbps;Adreno 200;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerDocument viewerVoice memoPredictive text input;;;Up to 400 h;;;;;;;Acer UI 3.0;1.11 W/kg (head)     0.35 W/kg (body)
https://www.gsmarena.com/acer_neotouch-2958.php;https://fdn2.gsmarena.com/vv/bigpic/acer-neo-touch-new.jpg;Acer neoTouch;Released 2009, October;130g, 12mm thickness;Microsoft Windows Mobile 6.5 Professional;256MB RAM storage, microSDHC slot;14;N/A;672,000 hits;"3.8""";480x800 pixels;256 MB RAM;Snapdragon S1;1350 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;;;2009, October. Released 2009, October;Discontinued;118.6 x 63 x 12 mm (4.67 x 2.48 x 0.47 in);130 g (4.59 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.8 inches, 41.1 cm(~55.0% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~246 ppi density);Microsoft Windows Mobile 6.5 Professional;Qualcomm QSD8250 Snapdragon S1;1.0 GHz Scorpion;microSDHC (dedicated slot);256MB RAM, 512MB ROM;5 MP, AF;480p;;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;miniUSB;Accelerometer, proximity;Removable Li-Po 1350 mAh battery;Up to 5 h;Black;About 210 EUR;HSDPA 900 / 1900 / 2100;;HSPA 7.2/5.76 Mbps;Adreno 200;LED flash;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Flikr integrationPocket OfficeVoice memoPredictive text input;;;Up to 400 h;;;;;;;Acer UI 3.0;1.23 W/kg (head)     0.72 W/kg (body)
https://www.gsmarena.com/acer_betouch_e200-2961.php;https://fdn2.gsmarena.com/vv/bigpic/acer-be-touch-e200.jpg;Acer beTouch E200;Released 2009, October;146g, 15.4mm thickness;Microsoft Windows Mobile 6.5 Professional;256MB RAM storage, microSD slot;14;N/A;237,972 hits;"3.0""";240x400 pixels;256 MB RAM;Snapdragon S1;1140 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2009, October. Released 2009, October;Discontinued;110 x 53.5 x 15.4 mm (4.33 x 2.11 x 0.61 in);146 g (5.15 oz);Mini-SIM;;TFT, 65K colors;3.0 inches, 25.6 cm(~43.5% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);Microsoft Windows Mobile 6.5 Professional;Qualcomm MSM7225 Snapdragon S1;528 MHz ARM 11;microSD (dedicated slot);256MB RAM, 512MB ROM;3.15 MP;Yes;;;No;2.0, A2DP;GPS, A-GPS;;No;miniUSB;;Removable Li-Ion 1140 mAh battery;Up to 5 h;Black, White;About 190 EUR;HSDPA 900 / 2100;;HSPA 3.6/0.384 Mbps;No;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input;;;Up to 400 h;;;;;;;;
https://www.gsmarena.com/acer_betouch_e100-2959.php;https://fdn2.gsmarena.com/vv/bigpic/acer-be-touch-e100.jpg;Acer beTouch E100;Released 2009, October;118g, 12.8mm thickness;Microsoft Windows Mobile 6.5 Professional;256MB RAM storage, microSD slot;11;N/A;273,169 hits;"3.2""";240x400 pixels;256 MB RAM;Snapdragon S1;1140 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2009, October. Released 2009, October;Discontinued;113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in);118 g (4.16 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.2 inches, 29.1 cm(~46.1% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);Microsoft Windows Mobile 6.5 Professional;Qualcomm MSM7225 Snapdragon S1;528 MHz ARM 11;microSD (dedicated slot);256MB RAM, 512MB ROM;2 MP;320p;;;No;2.0, A2DP;GPS, A-GPS;;No;miniUSB;;Removable Li-Ion 1140 mAh battery;Up to 5 h;Black;About 180 EUR;HSDPA 850 / 1900 / 2100;;HSPA 7.2/5.76 Mbps;No;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input;;;Up to 400 h;;;;;;;Acer UI 3.0Scroll Wheel;0.69 W/kg (head)     0.80 W/kg (body)
https://www.gsmarena.com/acer_betouch_e101-2960.php;https://fdn2.gsmarena.com/vv/bigpic/acer-be-touch-e101.jpg;Acer beTouch E101;Released 2009, October;118g, 12.8mm thickness;Microsoft Windows Mobile 6.5 Professional;256MB RAM storage, microSD slot;12;N/A;330,914 hits;"3.2""";240x400 pixels;256 MB RAM;Snapdragon S1;1140 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;Class 10;2009, October. Released 2009, October;Discontinued;113 x 56 x 12.8 mm (4.45 x 2.20 x 0.50 in);118 g (4.16 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.2 inches, 29.1 cm(~46.1% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);Microsoft Windows Mobile 6.5 Professional;Qualcomm MSM7225 Snapdragon S1;528 MHz ARM 11;microSD (dedicated slot);256MB RAM, 512MB ROM;2 MP;Yes;;;No;2.0, A2DP;GPS, A-GPS;;No;miniUSB;;Removable Li-Ion 1140 mAh battery;Up to 5 h;Black;About 170 EUR;;;;No;;;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeVoice memoPredictive text input;;;Up to 400 h;;;;;;;Scroll Wheel;0.34 W/kg (head)     0.79 W/kg (body)
https://www.gsmarena.com/acer_dx650-2888.php;https://fdn2.gsmarena.com/vv/bigpic/acer-dx650.jpg;Acer DX650;Released 2009, June;133g, 15.6mm thickness;Microsoft Windows Mobile 6.1 Professional;microSD slot;13;N/A;168,067 hits;"2.8""";240x320 pixels; ;;1260 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;Class 10;2009, June. Released 2009, June;Discontinued;109.6 x 59 x 15.6 mm (4.31 x 2.32 x 0.61 in);133 g (4.69 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~37.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Microsoft Windows Mobile 6.1 Professional;;Samsung S3C 6410 533 MHz;microSD (dedicated slot);;2 MP;No;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, SiRF Star III chipset;;FM radio;miniUSB;Accelerometer;Removable Li-Ion 1260 mAh battery;Up to 4 h;Black;About 150 EUR;;;;;;;Pocket OfficeVoice memoMP3 player;;;Up to 150 h;;;;;;;"Secondary 1.27"" OLED display (128 x 96 pixel resolution)Handwriting recognition";
