Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;tbench;batlife
https://www.gsmarena.com/razer_phone_2-9363.php;https://fdn2.gsmarena.com/vv/bigpic/razer-phone2-.jpg;Razer Phone 2;Released 2018, October;220g, 8.5mm thickness;Android 8.1, up to Android 9.0;64GB storage, microSDXC;231;1.2%;1,394,571 hits;"5.72""";1440x2560 pixels;8 GB RAM;Snapdragon 845;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 26, 28, 29, 30, 32, 38, 39, 40, 41, 48, 66, 71;HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps;2018, October;Available. Released 2018, October;158.5 x 79 x 8.5 mm (6.24 x 3.11 x 0.33 in);220 g (7.76 oz);Glass front (Gorilla Glass 5), aluminum back, aluminum frame;Nano-SIM;IP67 dust/water resistant (up to 1m for 30 min)RGB Illuminated Razer Chroma Logo on the back;IGZO IPS LCD, 120Hz, 580 nits (typ);5.72 inches, 90.2 cm(~72.0% screen-to-body ratio);1440 x 2560 pixels, 16:9 ratio (~513 ppi density);Corning Gorilla Glass 5, oleophobic coating;Wide Colour Gamut;Android 8.1 (Oreo), upgradable to Android 9.0 (Pie);Qualcomm SDM845 Snapdragon 845 (10 nm);Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver);Adreno 630;microSDXC (dedicated slot);64GB 8GB RAM;UFS 2.1;"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS12 MP, f/2.6, 1/3.1"", 1.0µm, 2x optical zoom";Dual-LED dual-tone flash, panorama, HDR;4K@30/60fps, 1080p@30/30/60/120fps, stereo sound rec.;8 MP, f/2.0;1080p@30/60fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS;Yes;No;USB Type-C;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Mirror back, Rugged satin;About 850 EUR;AnTuTu: 286076 (v7)GeekBench: 9110 (v4.4)GFXBench: 22fps (ES 3.1 onscreen);
https://www.gsmarena.com/razer_phone-8923.php;https://fdn2.gsmarena.com/vv/bigpic/razer-phone.jpg;Razer Phone;Released 2017, November;197g, 8mm thickness;Android 7.1.1, up to Android 9.0;64GB storage, microSDXC;369;0.8%;2,240,662 hits;"5.7""";1440x2560 pixels;8 GB RAM;Snapdragon 835;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 66;HSPA, LTE;2017, November;Available. Released 2017, November;158.5 x 77.7 x 8 mm (6.24 x 3.06 x 0.31 in);197 g (6.95 oz);Glass front (Gorilla Glass 3), aluminum back, aluminum frame;Nano-SIM;;IGZO IPS LCD, 120Hz, 380 nits (typ);5.7 inches, 89.6 cm(~72.7% screen-to-body ratio);1440 x 2560 pixels, 16:9 ratio (~515 ppi density);Corning Gorilla Glass 3;Wide Colour Gamut;Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie);Qualcomm MSM8998 Snapdragon 835 (10 nm);Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo);Adreno 540;microSDXC (dedicated slot);64GB 8GB RAM;;"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, Dual pixel PDAF12 MP, f/2.6, 1/3.4"", 1.0µm, 2x optical zoom,  PDAF";Dual-LED dual-tone flash, panorama, HDR;4K@30fps;8 MP, f/2.0;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS;Yes;No;USB Type-C;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Black;About 750 EUR;AnTuTu: 190271 (v7), 291142 (v8)GeekBench: 6728 (v4.4), 1752 (v5.1)GFXBench: 15fps (ES 3.1 onscreen);
