Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;memoryslot;internalmemory;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;displayother;bodyother;cam1video;cam2modules;memoryother;net3g;speed;cam1features;os;cpu;optionalother;cam2video;chipset
https://www.gsmarena.com/siemens_xelibri_5-551.php;https://fdn2.gsmarena.com/vv/bigpic/sixel5.gif;Siemens Xelibri 5;Released 2003, Q4;74g, 17mm thickness;Feature phone;No card slot;13;N/A;235,374 hits;;101x80 pixels, 5 lines; ;;850 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q4;Discontinued;87 x 52 x 17 mm, 58 cc (3.43 x 2.05 x 0.67 in);74 g (2.61 oz);Mini-SIM;FSTN, 4096 colors;;101 x 80 pixels, 5 lines;No;;No;No;No;No;No;;;Predictive text inputOrganizerVoice dial;Removable Li-Ion battery;Up to 390 h;Up to 5 h 40 min;Ultra Blue and Mercury;Screensaver;;;;;;;;;;;;
https://www.gsmarena.com/siemens_u15-549.php;https://fdn2.gsmarena.com/vv/bigpic/siu15.gif;Siemens U15;Released 2003, Q4;140g, 24mm thickness;Feature phone;No card slot;11;N/A;148,146 hits;;176x220 pixels; ;;800 mAh Li-Po;GSM 900 / 1800 / 1900;;;2003, Q4;Discontinued;136 x 53 x 24 mm, 140 cc (5.35 x 2.09 x 0.94 in);140 g (4.94 oz);Mini-SIM;TFT, 65K colors;;176 x 220 pixels;No;;2 cameras VGA;No;Yes;No;No;Proprietary;;MP3/MP4 playerOrganizerSync MLPredictive text inputVoice dial;Removable Li-Po 800 mAh battery (EBA-010);Up to 250 h;Up to 1h 50 min;;Screensavers;;Yes;Yes;64 MB flash memory included;UMTS 2100;Yes, 384 kbps;;;;;;
https://www.gsmarena.com/siemens_c62-540.php;https://fdn2.gsmarena.com/vv/bigpic/sic62.gif;Siemens C62;Released 2003, Q4;85g, 20mm thickness;Feature phone;1.6MB storage, no card slot;18;N/A;273,924 hits;;128x128 pixels, 7 lines; ;;630 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2003, Q4;Discontinued;101 x 44 x 20 mm, 82 cc (3.98 x 1.73 x 0.79 in);85 g (3.00 oz);Mini-SIM;CSTN, 4096 colors;;128 x 128 pixels, 7 lines, 1:1 ratio;No;1.6MB;No;No;No;No;No;;;Predictive text inputOrganizerVoice memoOptional digital camera (VGA 640 x 480);Removable Li-Ion 630 mAh battery (EBA-610);Up to 250 h;Up to 4 h 30 min;3 -  Eagle White, Pidgeon Blue and Cherry Red;Navi key;;;;600 KB memory free100 short messages100 calendar eventsMessage templates30 sec voice memo;;;;;;;;
https://www.gsmarena.com/siemens_a60-539.php;https://fdn2.gsmarena.com/vv/bigpic/sia60.gif;Siemens A60;Released 2003, Q4;85g, 23mm thickness;Feature phone;550 KB storage, no card slot;23;N/A;225,551 hits;;101x80 pixels, 7 lines; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2003, Q4;Discontinued;110 x 47 x 23 mm, 91 cc (4.33 x 1.85 x 0.91 in);85 g (3.00 oz);Mini-SIM;CSTN, 4096 colors;;101 x 80 pixels, 7 lines;No;550 KB;No;No;No;No;No;;;Predictive text inputStopwatchCalculatorExchangeable Clip-it covers;Removable Li-Ion 700 mAh battery (EBA-510);Up to 260 h;Up to 2 h;Stone;Navi keyScreensaver;;;;;;;;;;;;
https://www.gsmarena.com/siemens_sx1-395.php;https://fdn2.gsmarena.com/vv/bigpic/sisx1.gif;Siemens SX1;Released 2003, Q3;116g, 19mm thickness;Symbian 6.1, Series 60 v1.0 UI;16MB storage, MMC slot;42;N/A;829,343 hits;"2.2""";176x220 pixels; ;TI OMAP 310;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2003, Q3;Discontinued;109 x 56 x 19 mm, 110 cc (4.29 x 2.20 x 0.75 in);116 g (4.09 oz);Mini-SIM;TFD, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~25.0% screen-to-body ratio);176 x 220 pixels (~128 ppi density);MMC;16MB;VGA;No;1.1;No;FM radio;Proprietary;;MP3 player/recorderPredictive text inputOrganizerUser profilesSyncML;Removable Li-Ion 1000 mAh battery (EBA-540);Up to 300 h;Up to 4 h;Ice blue;Unique keypad arrangement;;Yes;No;4 MB available;;;;Symbian 6.1, Series 60 v1.0 UI;120 MHz ARM9;Loud speaker;;TI OMAP 310
https://www.gsmarena.com/siemens_st55-480.php;https://fdn2.gsmarena.com/vv/bigpic/sist55.gif;Siemens ST55;Released 2003, Q3;87g, 22mm thickness;Feature phone;No card slot;12;N/A;264,100 hits;;120x160 pixels, 7 lines; ;;750 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2003, Q3;Discontinued;99 x 47 x 22 mm (3.90 x 1.85 x 0.87 in);87 g (3.07 oz);Mini-SIM;TFT, 65K colors;;120 x 160 pixels, 7 lines, 4:3 ratio;No;;VGA;No;No;No;No;;;Predictive text inputOrganizerUser profilesSyncML;Removable Li-Ion 750 mAh battery (EBA-595);Up to 140 h;Up to 4 h 30 min;;5-way navi key;;No;No;1.2 MB for photos1.3 MB for MMS1.1 MB for email messages100 short messages;;;;;;;;
https://www.gsmarena.com/siemens_mc60-476.php;https://fdn2.gsmarena.com/vv/bigpic/simc60.gif;Siemens MC60;Released 2003, Q3;86g, 21mm thickness;Feature phone;1MB storage, no card slot;36;0.1%;503,110 hits;;101x80 pixels, 7 lines; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2003, Q3;Discontinued;110 x 46 x 21 mm, 88 cc (4.33 x 1.81 x 0.83 in);86 g (3.03 oz);Mini-SIM;CSTN, 4096 colors;;101 x 80 pixels, 7 lines;No;1MB;CIF;No;No;No;No;;;Predictive text inputOrganizerStopwatchVoice command/dialUser profilesExchangeable covers;Removable Li-Ion 700 mAh battery (EBA-510);Up to 250 h;Up to 6 h;3 - Aquamarine, Titanium and Grenadine;Navi key;;No;No;10 voice dial commands20 voice dial numbers500 calendar items;;;;;;;;
https://www.gsmarena.com/siemens_c60-475.php;https://fdn2.gsmarena.com/vv/bigpic/sic60.gif;Siemens C60;Released 2003, Q3;85g, 23mm thickness;Feature phone;1.86MB storage, no card slot;26;N/A;283,826 hits;;101x80 pixels, 5 lines; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2003, Q3;Discontinued;110 x 47 x 23 mm (4.33 x 1.85 x 0.91 in);85 g (3.00 oz);Mini-SIM;CSTN, 4096 colors;;101 x 80 pixels, 5 lines;No;1.86MB;No;No;No;No;No;;;Predictive text inputCurrency converterCalculatorStopwatchReminder listUser profilesExchangeable Clip-it coversOptional digital camera (VGA 640 x 480);Removable Li-Ion 700 mAh battery (EBA-510);Up to 250 h;Up to 6 h;3 - Sky, Petrol and Grey;Navi key;;;;;;;;;;;;
https://www.gsmarena.com/siemens_xelibri_1-506.php;https://fdn2.gsmarena.com/vv/bigpic/sixel1.gif;Siemens Xelibri 1;Released 2003, Q2;73g, 19mm thickness;Feature phone;No card slot;16;N/A;161,648 hits;;101x64 pixels; ;;610 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q2;Discontinued;101 x 46 x 19 mm, 72 cc (3.98 x 1.81 x 0.75 in);73 g (2.57 oz);Mini-SIM;Monochrome graphic;;101 x 64 pixels;No;;No;No;No;No;No;;;Predictive text inputOrganizerVoice dial;Removable Li-Ion 610 mAh battery;Up to 200 h;Up to 4 h;;ScreensaverDownloadable pictures;;;;Predefined short messages;;;;;;Ringtones can be assigned to contacts;;
https://www.gsmarena.com/siemens_xelibri_2-507.php;https://fdn2.gsmarena.com/vv/bigpic/sixel2.gif;Siemens Xelibri 2;Released 2003, Q2;73g, 20mm thickness;Feature phone;No card slot;12;N/A;150,027 hits;;101x65 pixels, 5 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q2;Discontinued;99 x 56 x 20 mm, 78 cc (3.90 x 2.20 x 0.79 in);73 g (2.57 oz);Mini-SIM;Monochrome graphic;;101 x 65 pixels, 5 lines;No;;No;No;No;No;No;;;Predictive text inputOrganizerVoice dial;Removable Li-Ion 650 mAh battery;Up to 200 h;Up to 4 h;;ScreensaverDownloadable pictures;;;;Predefined short messages;;;;;;Ringtones can be assigned to contacts;;
