Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;sar-us;sar-eu;price;tbench;cam2features;bodyother;batlife;batstandby1;battalktime1;batmusicplayback1;displayother;featuresother;gprstext;edge;optionalother
https://www.gsmarena.com/blackberry_7100v-1012.php;https://fdn2.gsmarena.com/vv/bigpic/bb7100v.gif;BlackBerry 7100v;Released 2004, Q4;120g, 20mm thickness;BlackBerry OS;32MB 4MB RAM storage, no card slot;13;N/A;493,283 hits;"2.37""";240x260 pixels;4 MB RAM;;;GSM 850 / 900 / 1800 / 1900;;;;2004, Q4;Discontinued;114 x 56 x 20 mm (4.49 x 2.20 x 0.79 in);120 g (4.23 oz);;Mini-SIM;65K colors;2.37 inches, 18.1 cm(~28.3% screen-to-body ratio);240 x 260 pixels (~149 ppi density);;BlackBerry OS;;;;No;32MB 4MB RAM;32 MB flash memory4 MB SRAM;No;;;;;No;Yes;No;;No;Proprietary;;Removable Li-Ion battery;;;;;;;;;;Up to 200 h;Up to 5 h;;Wallpapers;Organizer;Yes;No;
https://www.gsmarena.com/blackberry_7290-1348.php;https://fdn2.gsmarena.com/vv/bigpic/blackberry-7290.gif;BlackBerry 7290;Released 2004, Q4;139g, 22mm thickness;BlackBerry OS;32MB 4MB RAM storage, no card slot;21;N/A;708,387 hits;"2.6""";240x160 pixels;4 MB RAM;;;GSM 850 / 900 / 1800 / 1900;;;;2004, Q4;Discontinued;113 x 74.5 x 22 mm (4.45 x 2.93 x 0.87 in);139 g (4.90 oz);;Mini-SIM;65K colors;2.6 inches, 20.1 cm(~23.9% screen-to-body ratio);240 x 160 pixels, 3:2 ratio (~111 ppi density);;BlackBerry OS;;;;No;32MB 4MB RAM;;No;;;;;No;Yes;No;;No;Proprietary;;Removable Li-Ion battery;Cosmos Black, Satin Blue, Steel Blue;;;;;;;;;Up to 210 h;Up to 4 h;;;Organizer;Yes;No;
https://www.gsmarena.com/blackberry_7730-1010.php;https://fdn2.gsmarena.com/vv/bigpic/bb7730.gif;BlackBerry 7730;Released 2004, Q1;142g, 18mm thickness;BlackBerry OS;16MB 2MB RAM storage, no card slot;18;N/A;376,824 hits;"3.0""";240x240 pixels;2 MB RAM;;;GSM 900 / 1800 / 1900;;;;2004, Q1;Discontinued;121 x 77 x 18 mm (4.76 x 3.03 x 0.71 in);142 g (5.01 oz);;Mini-SIM;65K colors;3.0 inches, 29.0 cm(~31.2% screen-to-body ratio);240 x 240 pixels, 1:1 ratio (~113 ppi density);;BlackBerry OS;;;;No;16MB 2MB RAM;;No;;;;;No;No;No;;No;Proprietary;;Removable Li-Ion battery;;;;;;;;;;Up to 200 h;Up to 5 h;;;Organizer;Yes;No;
https://www.gsmarena.com/blackberry_7230-1009.php;https://fdn2.gsmarena.com/vv/bigpic/bb7230.gif;BlackBerry 7230;Released 2003, Q3;136g, 20mm thickness;BlackBerry OS;16MB 1MB RAM storage, no card slot;26;N/A;518,482 hits;"2.6""";240x160 pixels;1 MB RAM;;;GSM 900 / 1800 / 1900;;;;2003, Q3;Discontinued;113 x 74 x 20 mm (4.45 x 2.91 x 0.79 in);136 g (4.80 oz);;Mini-SIM;65K colors;2.6 inches, 20.1 cm(~24.1% screen-to-body ratio);240 x 160 pixels, 3:2 ratio (~111 ppi density);;BlackBerry OS;;;;No;16MB 1MB RAM;;No;;;;;No;No;No;;No;Proprietary;;Removable Li-Ion battery;;;;;About 110 EUR;;;;;Up to 240 h;Up to 5 h;;;Organizer;Yes;No;
https://www.gsmarena.com/blackberry_6720-1008.php;https://fdn2.gsmarena.com/vv/bigpic/bb6720.gif;BlackBerry 6720;Released 2003, Q2;138g, 18mm thickness;BlackBerry OS;16MB 1MB RAM storage, no card slot;16;N/A;338,579 hits;"3.0""";160x160 pixels;1 MB RAM;;;GSM 900 / 1800;;;;2003, Q2;Discontinued;121 x 77 x 18 mm (4.76 x 3.03 x 0.71 in);138 g (4.87 oz);;Mini-SIM;Monochrome;3.0 inches, 29.0 cm(~31.2% screen-to-body ratio);160 x 160 pixels, 1:1 ratio (~75 ppi density);;BlackBerry OS;;;;No;16MB 1MB RAM;;No;;;;;No;No;No;;No;Proprietary;;Removable Li-Ion battery;;;;;;;;;;Up to 240 h;Up to 4 h;;;Organizer;;No;
https://www.gsmarena.com/blackberry_6230-1007.php;https://fdn2.gsmarena.com/vv/bigpic/bb6230.gif;BlackBerry 6230;Released 2003, Q2;136g, 20mm thickness;BlackBerry OS;16MB 1MB RAM storage, no card slot;29;N/A;577,586 hits;"2.6""";;1 MB RAM;;;GSM 900 / 1800 / 1900;;;;2003, Q2;Discontinued;113 x 75 x 20 mm (4.45 x 2.95 x 0.79 in);136 g (4.80 oz);;Mini-SIM;Monochrome;2.6 inches;;;BlackBerry OS;;;;No;16MB 1MB RAM;;No;;;;;No;No;No;;No;Proprietary;;Removable Li-Ion battery;;;;;;;;;;Up to 380 h;Up to 5 h;;;Organize;;No;
https://www.gsmarena.com/blackberry_z20-6895.php;https://fdn2.gsmarena.com/vv/bigpic/blackberry-z20r.jpg;BlackBerry Z20;Cancelled;9.5mm thickness;BlackBerry OS 10.3;16GB storage, microSDHC;16;0.1%;418,275 hits;"5.0""";720x1280 pixels;2 GB RAM;Snapdragon S4 Plus;2800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 1900 / 2100;LTE (unspecified);HSPA, LTE;;Cancelled;9.5 mm thickness;-;;Yes;IPS LCD;5.0 inches, 68.9 cm(~67.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;BlackBerry OS 10.3;Qualcomm MSM8960 Snapdragon S4 Plus;Dual-core 1.5 GHz Krait;Adreno 225;microSDHC (dedicated slot);16GB 2GB RAM;;8 MP, AF;LED flash;1080p@30fps;2 MP;;Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2800 mAh, non-removable;Black, White;;;;;;;;;;;;;MP3/WAV/eAAC+/WMA/Flac playerMP4/H.264/WMV playerPhoto/video editorDocument viewer;;;
https://www.gsmarena.com/blackberry_a10-5595.php;https://fdn2.gsmarena.com/vv/bigpic/blackberry-a10.jpg;BlackBerry A10;Cancelled;9.4mm thickness;BlackBerry OS 10.2;16GB storage, microSDXC;30;N/A;381,609 hits;"5.0""";720x1280 pixels;2 GB RAM;Snapdragon S4 Pro;2800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA;LTE - all versions;HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps;;Cancelled;140.7 x 72 x 9.4 mm (5.54 x 2.83 x 0.37 in);-;;Micro-SIM;IPS LCD;5.0 inches, 68.9 cm(~68.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;BlackBerry OS 10.2;Qualcomm MSM8960Pro Snapdragon S4 Pro;Dual-core 1.7 GHz Krait;Adreno 225;microSDXC (dedicated slot);16GB 2GB RAM;;8 MP, AF;LED flash;1080p@30fps;2 MP;720p@30fps;Wi-Fi 802.11 a/b/g/n, dual band, DLNA;4.0, A2DP, LE;GPS;Yes;No;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2800 mAh, removable;Black;;;;;;;;;;;;;HDMI portBlackBerry mapsOrganizerDocument viewerPhoto viewerMP3/WMA/WAV/eAAC+/FlAC playerDivX/XviD/MP4/WMV/H.264 playerVoice memo/dialPredictive text input;Yes;Yes;
https://www.gsmarena.com/blackberry_porsche_design_p_9531-4463.php;https://fdn2.gsmarena.com/vv/bigpic/blackberry-porsche-design-p9531.jpg;BlackBerry Porsche Design P'9531;Released Not officially announced yet;155g, 11.3mm thickness;BlackBerry OS 7.0;8GB storage, microSDHC;17;N/A;305,977 hits;"2.8""";640x480 pixels;768 MB RAM;Snapdragon S2;1000 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;Not officially announced yet;Discontinued;115 x 67 x 11.3 mm (4.53 x 2.64 x 0.44 in);155 g (5.47 oz);;Mini-SIM;TFT;2.8 inches, 24.3 cm(~31.5% screen-to-body ratio);640 x 480 pixels, 4:3 ratio (~286 ppi density);;BlackBerry OS 7.0;Qualcomm MSM8655 Snapdragon S2;1.2 GHz;Adreno 205;microSDHC (dedicated slot);8GB 768MB RAM;;5 MP, AF;LED flash;720p;No;;Wi-Fi 802.11 b/g/n;2.1, A2DP, EDR;GPS, A-GPS;Yes;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1000 mAh battery;Black;;;;;;;Optical trackpad;;;;;;MP3/eAAC+/Flac/WAV playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input;;;
https://www.gsmarena.com/blackberry_playbook_2012-4460.php;https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook-2012.jpg;BlackBerry Playbook 2012;Cancelled;425g, 10mm thickness;BlackBerry Tablet 2.0;64GB storage, no card slot;17;N/A;213,326 hits;"7.0""";600x1024 pixels;1 GB RAM;TI OMAP 4460;4800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700 / 1900 / 2100;;HSPA 42.2/5.76 Mbps;Not officially announced yet;Cancelled;194 x 130 x 10 mm (7.64 x 5.12 x 0.39 in);425 g (14.99 oz);;Micro-SIM;TFT;7.0 inches, 137.9 cm(~54.7% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);;BlackBerry Tablet 2.0;TI OMAP 4460;Dual-core 1.5 GHz;;No;;;5 MP, AF;;1080p@30fps;3 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n, dual-band;2.1, EDR;GPS, A-GPS;Yes;No;microUSB 2.0;Accelerometer, gyro, compass;Non-removable Li-Po 4800 mAh battery;Black;;;;;;;;;;Up to 10 h (multimedia);;;Micro HDMI portDocument viewerMedia player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerPredictive text input;;;
https://www.gsmarena.com/blackberry_curve_touch-3934.php;https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-touch-gsm.jpg;BlackBerry Curve Touch;Released Not officially announced yet;;BlackBerry OS 6.1;1GB ROM storage, microSDHC slot;13;N/A;283,531 hits;"3.25""";480x360 pixels;512 MB RAM;Snapdragon S2;;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;HSPA;Not officially announced yet;Discontinued;-;-;;Mini-SIM;TFT;3.25 inches, 32.7 cm;480 x 360 pixels, 4:3 ratio (~185 ppi density);;BlackBerry OS 6.1;Qualcomm MSM8655 Snapdragon S2;800 MHz Scorpion;Adreno 205;microSDHC (dedicated slot);1GB ROM, 512MB RAM;;5 MP;LED flash;720p;No;;Wi-Fi 802.11b/g/n;2.1, A2DP;GPS, A-GPS;Yes;No;microUSB 2.0;Accelerometer;Removable Li-Ion battery;Black;;;;;;;Optical trackpad;;;;;;MP3/eAAC+/WMA/WAV playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input;;;
https://www.gsmarena.com/blackberry_curve_touch_cdma-3757.php;https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-touch.jpg;BlackBerry Curve Touch CDMA;Cancelled;;BlackBerry OS 6.1;1GB ROM storage, microSDHC slot;17;N/A;247,881 hits;"3.25""";480x360 pixels;512 MB RAM;Snapdragon S2;;CDMA 800 / 1900;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;Not officially announced yet;Cancelled;-;-;;Mini-SIM;TFT;3.25 inches, 32.7 cm;480 x 360 pixels, 4:3 ratio (~185 ppi density);;BlackBerry OS 6.1;Qualcomm MSM8655 Snapdragon S2;800 MHz Scorpion;Adreno 205;microSDHC (dedicated slot);1GB ROM, 512MB RAM;;5 MP;LED flash;720p;No;;Wi-Fi 802.11b/g/n;2.1, A2DP;;Yes;No;microUSB 2.0;Accelerometer;Removable Li-Ion battery;Black;;;;;;;Optical trackpad;;;;;;MP3/eAAC+/WMA/WAV playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input;;;
