Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;displayprotection;build;net5g;gprstext;edge;tbench;batlife;cam2features
https://www.gsmarena.com/blackview_a90-11581.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-A90.jpg;Blackview A90;Released 2021, May;185g, 8.8mm thickness;Android 11;64GB storage, microSDXC;1;0.1%;16,043 hits;"6.39""";720x1560 pixels;4 GB RAM;Helio P60;4280 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2021, May 04;Available. Released 2021, May;166.3 x 77.6 x 8.8 mm (6.55 x 3.06 x 0.35 in);185 g (6.53 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.39 inches, 100.2 cm(~77.7% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~269 ppi density);Android 11;Mediatek MT6771 Helio P60 (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC;64GB 4GB RAM;eMMC 5.1;12 MP, f/1.8, (wide), AFother unspecified cameras;LED flash, HDR;1080p@30fps, HDR;8 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.2, A2DP, LE;GPS, GLONASS, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Ion 4280 mAh, non-removable;Black, Blue, Orange, Purple;About 150 EUR;;;;;;;;
https://www.gsmarena.com/blackview_tab_9-11593.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB9.jpg;Blackview Tab 9;Released 2021, April;570g, 8.5mm thickness;Android 10;64GB storage, microSDXC;0;0.1%;10,592 hits;"10.1""";1200x1920 pixels;4 GB RAM;Unisoc T610;7480 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20;HSPA, LTE;2021, March 24;Available. Released 2021, April;243.7 x 162.5 x 8.5 mm (9.59 x 6.40 x 0.33 in);570 g (1.26 lb);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;10.1 inches, 295.8 cm(~74.7% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);Android 10;Unisoc T610 (12 nm);Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MP2;microSDXC;64GB 4GB RAM;eMMC;13 MP, f/2.2, (wide);LED flash;1080p@30fps;5 MP, f/2.4, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS;No;FM radio;USB Type-C, OTG;No;Li-Ion 7480 mAh, non-removable;Gray, Gold;About 170 EUR;Asahi Glass;;;;;;;
https://www.gsmarena.com/blackview_bv6600-11562.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-BV6600-b.jpg;Blackview BV6600;Released 2021, March;325g, 18mm thickness;Android 10;64GB storage, microSDXC;0;0.1%;19,543 hits;"5.7""";720x1440 pixels;4 GB RAM;MT6762V;8580 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2021, March 05;Available. Released 2021, March;159 x 79.4 x 18 mm (6.26 x 3.13 x 0.71 in);325 g (11.46 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;5.7 inches, 83.8 cm(~66.4% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Android 10;Mediatek MT6762V/WD Helio A25 (12 nm);Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM;eMMC;16 MP, f/2.0, (wide), PDAF;LED flash, HDR;1080p@30fps;8 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 8580 mAh, non-removable;Black, Orange, Green;About 160 EUR;Corning Gorilla Glass 3;;;;;;;
https://www.gsmarena.com/blackview_a100-11571.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-A100.jpg;Blackview A100;Released 2021, June;195g, 8.8mm thickness;Android 11;128GB storage, microSDXC;1;0.3%;28,729 hits;"6.67""";1080x2400 pixels;6 GB RAM;Helio P70;4680 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE;2021, June 21;Available. Released 2021, June;166.3 x 77.6 x 8.8 mm (6.55 x 3.06 x 0.35 in);195 g (6.88 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.67 inches, 107.4 cm(~83.2% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 11;Mediatek MT6771T Helio P70 (12nm);Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC;128GB 6GB RAM;UFS 2.1;12 MP, f/1.8, (wide), Dual Pixel PDAF8 MP, (ultrawide)0.3 MP, (depth);LED flash;1080p@30fps;8 MP, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Ion 4680 mAh, non-removable;Gray, Blue, Green, Pink;About 180 EUR;;;;;;;;
https://www.gsmarena.com/blackview_tab_10-11592.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB10.jpg;Blackview Tab 10;Released 2021, June;523g, 8.4mm thickness;Android 11;64GB storage, microSDXC;0;0.1%;14,385 hits;"10.1""";1200x1920 pixels;4 GB RAM;MTK8768;7480 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2021, June 08;Available. Released 2021, June;243 x 162 x 8.4 mm (9.57 x 6.38 x 0.33 in);523 g (1.15 lb);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;10.1 inches, 295.8 cm(~75.1% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);Android 11;Mediatek MTK8768;Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC;64GB 4GB RAM;eMMC;13 MP, f/2.2, (wide);LED flash;1080p@30fps;8 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C, OTG;Accelerometer, gyro, proximity;Li-Ion 7480 mAh, non-removable;Gray, Gold, Silver;About 180 EUR;Rainbow Glass;;;;;;;
https://www.gsmarena.com/blackview_bl5000-11557.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-BL5000-b.jpg;Blackview BL5000;Released 2021, August;273g, 12.8mm thickness;Android 11;128GB storage, no card slot;5;0.1%;18,450 hits;"6.36""";1080x2300 pixels;8 GB RAM;Dimensity 700;4980 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE, 5G;2021, July 29;Available. Released 2021, August;164 x 80.4 x 12.8 mm (6.46 x 3.17 x 0.50 in);273 g (9.63 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;6.36 inches, 100.4 cm(~76.1% screen-to-body ratio);1080 x 2300 pixels (~400 ppi density);Android 11;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;No;128GB 8GB RAM;UFS 2.2;12 MP, f/1.8, (wide), PDAF16 MP, 125˚ (ultrawide);LED flash, HDR, panorama;1440p@30fps;16 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Po 4980 mAh, non-removable;Black, Orange, Green;About 260 EUR;Corning Gorilla Glass 5;;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA;;;;;
https://www.gsmarena.com/blackview_a70-11585.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-A70.jpg;Blackview A70;Released 2021, February;205g, 8.3mm thickness;Android 11;32GB storage, microSDXC;1;0.1%;15,446 hits;"6.52""";720x1600 pixels;3 GB RAM;Unisoc SC9863A;5380 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20, 40, 41;HSPA, LTE;2021, January 26;Available. Released 2021, February;165.3 x 77.5 x 8.3 mm (6.51 x 3.05 x 0.33 in);205 g (7.23 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~80.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11;Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC;32GB 3GB RAM;eMMC;13 MP, f/2.2, (wide), AFother unspecified cameras;LED flash;1080p@30fps;5 MP, f/2.2, (wide);Yes;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 5380 mAh, non-removable;Black, Blue, Red, Green;About 120 EUR;;;;;;;;
https://www.gsmarena.com/blackview_a80s-11582.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-A80s.jpg;Blackview A80s;Released 2021, January;180g, 8.8mm thickness;Android 10;64GB storage, microSDXC;0;0.1%;15,664 hits;"6.22""";720x1520 pixels;4 GB RAM;MT6762V;4200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2021, January 12;Available. Released 2021, January;157.6 x 76.3 x 8.8 mm (6.20 x 3.00 x 0.35 in);180 g (6.35 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.22 inches, 96.6 cm(~80.3% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~270 ppi density);Android 10;Mediatek MT6762V/WD Helio A25 (12 nm);Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM;eMMC 5.1;13 MP, f/2.2, (wide), AFother unspecified cameras;LED flash, HDR;1080p@30fps;5 MP, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.2, A2DP, LE;GPS, GLONASS, BDS;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 4200 mAh, non-removable;Black, Blue, Red;About 130 EUR;;;;;;;;
https://www.gsmarena.com/blackview_tab_8e-11594.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB8E.jpg;Blackview Tab 8E;Released 2021, January;600g, 8.9mm thickness;Android 10;32GB storage, microSDXC;0;N/A;7,952 hits;"10.1""";1200x1920 pixels;3 GB RAM;Unisoc SC9863A;6580 mAh Li-Ion;N/A;N/A;N/A;N/A;2021, January 06;Available. Released 2021, January;243.6 x 162.4 x 8.9 mm (9.59 x 6.39 x 0.35 in);600 g (1.32 lb);No;;IPS LCD;10.1 inches, 295.8 cm(~74.8% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);Android 10;Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC;32GB 3GB RAM;eMMC;13 MP, f/2.2, (wide);LED flash;1080p@30fps;5 MP, f/2.2, (wide);Yes;Wi-Fi 802.11 b/g/n/ac;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio;USB Type-C, OTG;Accelerometer;Li-Ion 6580 mAh, non-removable;Gray, Gold;About 140 EUR;Asahi Glass;;;N/A;N/A;;;
https://www.gsmarena.com/blackview_bv8800-11405.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-bv8800.jpg;Blackview BV8800;Released 2022, January 10;367g, 17.7mm thickness;Android 11, Doke-OS 3.0;128GB storage, no card slot;17;0.4%;84,236 hits;"6.58""";1080x2408 pixels;8 GB RAM;Helio G96;8380 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 34, 38, 39, 40, 41, 66;HSPA, LTE;2021, December 24;Available. Released 2022, January 10;176.2 x 83.5 x 17.7 mm (6.94 x 3.29 x 0.70 in);367 g (12.95 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810H compliant;IPS LCD, 90Hz, 480 nits;6.58 inches, 104.3 cm(~70.9% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Android 11, Doke-OS 3.0;Mediatek MT6781 Helio G96 (12 nm);Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;No;128GB 8GB RAM;UFS 2.1;50 MP, f/1.8, (wide), PDAF8 MP, f/2.2, 117˚ (ultrawide)20 MP, f/1.8, (IR camera), 2 IR emitters2 MP, (depth);Dual-LED flash, HDR, panorama;1440p@30fps;16 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Po 8380 mAh, non-removable;Black, Orange, Green;About 350 EUR;;;;;;AnTuTu: 254849 (v8), 288964 (v9)GeekBench: 1752 (v5.1)GFXBench: 10fps (ES 3.1 onscreen);;
https://www.gsmarena.com/blackview_a70_pro-11584.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-A70pro.jpg;Blackview A70 Pro;Released 2021, December;205g, 9.6mm thickness;Android 11;32GB storage, microSDXC;1;0.1%;15,191 hits;"6.52""";720x1600 pixels;4 GB RAM;Unisoc Tiger T310;5380 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2021, December 24;Available. Released 2021, December;165.2 x 77 x 9.6 mm (6.50 x 3.03 x 0.38 in);205 g (7.23 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~80.7% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11;Unisoc Tiger T310 (12nm);Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55);PowerVR GE8300;microSDXC;32GB 4GB RAM;eMMC;13 MP, f/2.2, (wide), AFother unspecified cameras;LED flash;1080p@30fps;5 MP, f/2.2, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 5380 mAh, non-removable;Black, Blue, Red, Green;About 120 EUR;Panda Glass;;;;;;;
https://www.gsmarena.com/blackview_tab_10_pro-11591.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-TAB10pro.jpg;Blackview Tab 10 Pro;Released 2021, December;588g, 8.8mm thickness;Android 11;128GB storage, microSDXC;0;0.1%;14,238 hits;"10.1""";1200x1920 pixels;8 GB RAM;MT8788V;6580 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2021, December 16;Available. Released 2021, December;243 x 162 x 8.8 mm (9.57 x 6.38 x 0.35 in);588 g (1.30 lb);Dual SIM (Nano-SIM, dual stand-by);Stylus support;IPS LCD;10.1 inches, 295.8 cm(~75.1% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);Android 11;Mediatek MT8788V;Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC;128GB 8GB RAM;UFS;13 MP, f/2.2, (wide);LED flash;1080p@30fps;8 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS;No;FM radio;USB Type-C, OTG;Accelerometer, gyro, proximity, compass;Li-Ion 6580 mAh, non-removable;Gray, Gold, Silver;About 220 EUR;Asahi Glass;;;;;;;
https://www.gsmarena.com/blackview_a55-11587.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-A55.jpg;Blackview A55;Released 2021, December;196g, 9.1mm thickness;Android 11;16GB storage, microSDXC;2;0.2%;29,128 hits;"6.53""";720x1600 pixels;3 GB RAM;Helio A22;4780 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2021, December 06;Available. Released 2021, December;164.5 x 76.7 x 9.1 mm (6.48 x 3.02 x 0.36 in);196 g (6.91 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.53 inches, 102.9 cm(~81.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11;Mediatek MT6761V Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8300;microSDXC;16GB 3GB RAM;eMMC;8 MP, f/2.2, (wide), AFother unspecified cameras;LED flash;1080p@30fps;5 MP, f/2.2, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.1, A2DP;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 4780 mAh, non-removable;Gray, Green, Blue, Gradient;About 100 EUR;;;;;;;;
https://www.gsmarena.com/blackview_bv9900e-11558.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-BV9900E-b.jpg;Blackview BV9900E;Released 2020, September;273g, 14.2mm thickness;Android 10;128GB storage, microSDXC;1;0.1%;18,324 hits;"5.84""";1080x2280 pixels;6 GB RAM;MT6779V;4380 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE;2020, September 10;Available. Released 2020, September;156.5 x 78.3 x 14.2 mm (6.16 x 3.08 x 0.56 in);273 g (9.63 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;5.84 inches, 85.1 cm(~69.5% screen-to-body ratio);1080 x 2280 pixels, 19:9 ratio (~432 ppi density);Android 10;Mediatek MT6779V/CE Helio P90 (12 nm);Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55);PowerVR GM9446;microSDXC;128GB 6GB RAM;UFS 2.1;48 MP, f/1.8, (wide), PDAF16 MP, 120˚ (ultrawide)2 MP, (macro)0.3 MP, (depth);LED flash, HDR, panorama;4K@30fps, 1080p@60fps;16 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Po 4380 mAh, non-removable;Black, Silver;About 260 EUR;Corning Gorilla Glass 5;;;;;;;
https://www.gsmarena.com/blackview_bv4900_pro-11570.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-BV4900Pro-b.jpg;Blackview BV4900 Pro;Released 2020, November;261g, 13.7mm thickness;Android 10;64GB storage, microSDXC;0;0.1%;21,745 hits;"5.7""";720x1440 pixels;4 GB RAM;MT6762V;5580 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 7, 8, 20, 40;HSPA, LTE;2020, October 18;Available. Released 2020, November;157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in);261 g (9.21 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;5.7 inches, 83.8 cm(~68.2% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Android 10;Mediatek MT6762V/WD Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC;64GB 4GB RAM;eMMC;13 MP, f/2.2, (wide), AF;LED flash;1080p@30fps;5 MP, f/2.2, (wide);Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5580 mAh, non-removable;Black, Orange, Green, Yellow;About 140 EUR;Dragontrail Glass;;;;;;;
https://www.gsmarena.com/blackview_bl6000_pro-11556.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-BL6000Pro-b.jpg;Blackview BL6000 Pro;Released 2020, November;273g, 12.8mm thickness;Android 10, up to Android 11;256GB storage, no card slot;2;0.1%;17,890 hits;"6.36""";1080x2300 pixels;8 GB RAM;Dimensity 800;5280 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;HSPA, LTE, 5G;2020, November 17;Available. Released 2020, November;166.7 x 81.3 x 12.8 mm (6.56 x 3.20 x 0.50 in);273 g (9.63 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;6.36 inches, 100.4 cm(~74.1% screen-to-body ratio);1080 x 2300 pixels (~400 ppi density);Android 10, upgradable to Android 11;Mediatek MT6873 Dimensity 800 (7 nm);Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55);Mali-G57 MP4;No;258GB 8GB RAM;UFS 2.1;48 MP, (wide), PDAF13 MP, 125˚ (ultrawide)0.3 MP;LED flash, HDR, panorama;4K@30fps;16 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS, QZSS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Po 5280 mAh, non-removable;Black, Gray, Silver;About 380 EUR;Corning Gorilla Glass 3;;1, 3, 5, 8, 20, 28, 38, 41, 77, 78, 79 SA/NSA;;;;;
https://www.gsmarena.com/blackview_bv5100-11567.php;https://fdn2.gsmarena.com/vv/bigpic/blackview-BV5100-b.jpg;Blackview BV5100;Released 2020, November;275g, 13.7mm thickness;Android 10;64GB storage, microSDXC;0;N/A;10,165 hits;"5.7""";720x1440 pixels;4 GB RAM;MT6762V;5580 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66;HSPA, LTE;2020, November 13;Available. Released 2020, November;159.4 x 77.7 x 13.7 mm (6.28 x 3.06 x 0.54 in);275 g (9.70 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;5.7 inches, 83.8 cm(~67.7% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Android 10;Mediatek MT6762V/WD Helio P22 (12 nm);Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM;eMMC;16 MP, f/2.0, (wide), AF8 MP, f/2.2, 117˚ (ultrawide)0.3 MP;LED flash, HDR;1080p@30fps;13 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5580 mAh, non-removable;Black, Orange, Green, Yellow;About 180 EUR;Corning Gorilla Glass 3;;;;;;;
