Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;batstandby1;battalktime1;displayother;featuresother;batmusicplayback1;bodyother;displayprotection;gprstext;edge;sar-eu;sar-us;optionalother
https://www.gsmarena.com/philips_x703-3363.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x703.jpg;Philips X703;Released 2010, May;93.5g, 13mm thickness;Feature phone;48MB storage, microSDHC slot;9;N/A;105,444 hits;"3.0""";240x400 pixels; ;;;GSM 900 / 1800 / 1900;;;;2010, May. Released 2010, May;Discontinued;102 x 51.5 x 13 mm (4.02 x 2.03 x 0.51 in);93.5 g (3.28 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;3.0 inches, 25.6 cm(~48.8% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);;;;;microSDHC (dedicated slot);48MB;;3.15 MP, AF;;QCIF@15fps;No;;No;2.0, A2DP;No;;Stereo FM radio, RDS;miniUSB 2.0;;Removable Li-Ion battery;Gray;;;Up to 744 h;Up to 8 h 30 min;;MP3/WAV/WMA/FLAC/eAAC+ playerMP4/FLV/DivX/H.264 playerOrganizerVoice memoPredictive text input;;;;Class 12;Yes;;;
https://www.gsmarena.com/philips_x809-3263.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x809-ofic.jpg;Philips X809;Released 2010, May;128g, 16.3mm thickness;Feature phone;70MB storage, microSDHC slot;9;N/A;126,187 hits;"3.0""";240x400 pixels; ;;1530 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1;;;;2010, May. Released 2010, May;Discontinued;104.5 x 53.8 x 16.3 mm (4.11 x 2.12 x 0.64 in);128 g (4.52 oz);;Dual SIM (Mini-SIM);TFT resistive touchscreen, 256K colors;3.0 inches, 25.6 cm(~45.6% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);;;;;microSDHC (dedicated slot);70MB;;5 MP, AF;LED flash;Yes;No;;No;2.0, A2DP;No;;Stereo FM radio, RDS;miniUSB 2.0;;Removable Li-Ion 1530 mAh battery;Black;;;Up to 400 h;Up to 8 h;;MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;;;Class 12;Yes;;;
https://www.gsmarena.com/philips_xenium_x503-3344.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x503.jpg;Philips Xenium X503;Released 2010, May;92.8g, 11mm thickness;Feature phone;78MB storage, microSDHC slot;7;N/A;133,848 hits;"2.4""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1;;;;2010, May. Released 2010, May;Discontinued;114.5 x 49.5 x 11 mm (4.51 x 1.95 x 0.43 in);92.8 g (3.25 oz);;Dual SIM (Mini-SIM);TFT, 256K colors;2.4 inches, 17.8 cm(~31.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);78MB;;3.15 MP;;QCIF@15fps;No;;No;2.0, A2DP;No;;Stereo FM radio, RDS;miniUSB 2.0;;Removable Li-Ion 1000 mAh battery;Black;;;Up to 600 h;Up to 8 h;;MP3/WAV/aAAC+/WMA playerMP4/H.263 playerOrganizerChinese/English dictionaryVoice memoPredictive text input;;;;Class 10;Yes;;;
https://www.gsmarena.com/philips_xenium_k600-3050.php;https://fdn2.gsmarena.com/vv/bigpic/philips-k600-ofic.jpg;Philips Xenium K600;Released 2010, May;119g, 14mm thickness;Feature phone;48MB storage, microSDHC slot;9;N/A;101,541 hits;"2.8""";240x400 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2010, April. Released 2010, May;Discontinued;103 x 52 x 14 mm (4.06 x 2.05 x 0.55 in);119 g (4.20 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;2.8 inches, 22.3 cm(~41.7% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);48MB;;3.2 MP, AF;;QCIF@15fps;No;;No;2.0, A2DP;No;;Stereo FM radio, RDS;miniUSB 2.0;;Removable Li-Ion 1000 mAh battery;Silver, Black;;;Up to 744 h;Up to 8 h 30 min;Handwriting recognition;MP3/WAV/AAC+/WMA playerMP4/H.263 playerOrganizerDocument viewerVoice memoPredictive text input;Up to 25 h;;;Class 12;Yes;;;
https://www.gsmarena.com/philips_x606-3279.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x606-ofic.jpg;Philips X606;Released 2010, May;120g, 16.7mm thickness;Feature phone;45MB storage, microSDHC slot;9;N/A;126,462 hits;"2.8""";240x400 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2010, April. Released 2010, May;Discontinued;106.5 x 50 x 16.7 mm (4.19 x 1.97 x 0.66 in);120 g (4.23 oz);;Mini-SIM;TFT, 256K colors;2.8 inches, 22.3 cm(~41.9% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);45MB;;5 MP, AF;LED flash;480p@30fps;No;;No;2.0, A2DP;No;;No;miniUSB 2.0;;Removable Li-Ion 1000 mAh battery;Pink;;;Up to 744 h;Up to 8 h;External hidden OLED display;MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;;;Class 12;Yes;;;
https://www.gsmarena.com/philips_x510-3278.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x510-ofic.jpg;Philips X510;Released 2010, June;103g, 15.7mm thickness;Feature phone;1MB storage, microSDHC slot;9;N/A;76,359 hits;"2.4""";240x320 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800;;;;2010, April. Released 2010, June;Discontinued;106 x 51.8 x 15.7 mm (4.17 x 2.04 x 0.62 in);103 g (3.63 oz);;Dual SIM (Mini-SIM, no dual stand-by);TFT resistive touchscreen, 256K colors;2.4 inches, 17.8 cm(~32.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);1MB;;2 MP;;176x144@15fps;No;;No;2.0, A2DP;No;;Stereo FM radio, RDS;miniUSB 2.0;;Removable Li-Ion 1050 mAh battery;Black;;;Up to 600 h;Up to 8 h;Handwriting recognition;MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;;;Class 10;No;;;
https://www.gsmarena.com/philips_x605-3262.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x605.jpg;Philips X605;Released 2010, July;120g, 14.7mm thickness;Feature phone;63MB storage, microSDHC slot;9;N/A;81,792 hits;"2.8""";240x400 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2010, April. Released 2010, July;Discontinued;106.5 x 52.3 x 14.7 mm (4.19 x 2.06 x 0.58 in);120 g (4.23 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;2.8 inches, 22.3 cm(~40.1% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);63MB;;3.15 MP, AF;LED flash;CIF@15fps;No;;No;2.0, A2DP;No;;Stereo FM radio, RDS;miniUSB 1.1;;Removable Li-Ion 1050 mAh battery;Black;;;Up to 720 h;Up to 8 h 30 min;;MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;;;Class 10;No;;;
https://www.gsmarena.com/philips_v900-2986.php;https://fdn2.gsmarena.com/vv/bigpic/philips-v900.jpg;Philips V900;Released 2010, March;153.5g, 13.2mm thickness;Android-based OPhone OS;40MB storage, microSDHC slot;9;N/A;190,936 hits;"3.5""";480x800 pixels; ;;1450 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2010, February. Released 2010, March;Discontinued;115 x 62.4 x 13.2 mm (4.53 x 2.46 x 0.52 in);153.5 g (5.40 oz);;Mini-SIM;TFT, 256K colors;3.5 inches, 34.9 cm(~48.6% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~267 ppi density);Android-based OPhone OS;;;;microSDHC (dedicated slot);40MB;;3.15 MP, AF;;320p;No;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;No;miniUSB 2.0;;Removable Li-Ion 1450 mAh battery;Black;;About 470 EUR;Up to 420 h;Up to 7 h;;MP3/WAV/AAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input;;;;Class 12;Class 12;;;
https://www.gsmarena.com/philips_x100-3145.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x100.jpg;Philips X100;Released 2010, March;52.7g, 14.9mm thickness;Feature phone;microSD slot;9;N/A;108,239 hits;"1.8""";128x160 pixels; ;;;GSM 900 / 1800 - SIM 1 & SIM 2;;;;2010, February. Released 2010, March;Discontinued;112.8 x 43.8 x 14.9 mm (4.44 x 1.72 x 0.59 in);52.7 g (1.83 oz);;Dual SIM (Mini-SIM);TFT, 256K colors;1.8 inches, 10.2 cm(~20.6% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;microSD (dedicated slot);;;No;;;;;No;No;No;;Stereo FM radio, RDS;miniUSB 2.0;;Removable Li-Ion battery;Black;;;Up to 720 h;Up to 7 h 30 min;;OrganizerMP3/WAV playerVoice memoPredictive text input;;Flashlight;;Class 10;No;;;
https://www.gsmarena.com/philips_c702-3096.php;https://fdn2.gsmarena.com/vv/bigpic/philips-c702.jpg;Philips C702;Released 2010, March;118g, 14.5mm thickness;Feature phone;2.5MB storage, microSD slot;9;N/A;89,771 hits;"2.8""";240x320 pixels; ;;1080 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2010, January. Released 2010, March;Discontinued;103.8 x 59.8 x 14.5 mm (4.09 x 2.35 x 0.57 in);118 g (4.16 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;2.8 inches, 24.3 cm(~39.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;;;;microSD (dedicated slot), 2 GB included;2.5MB;;1.3 MP;;176x144@15fps;No;;No;2.0, A2DP;GPS, A-GPS;;No;miniUSB 2.0;;Removable Li-Ion 1080 mAh battery;Black;;;Up to 100 h;Up to 4 h;Handwriting recognition;MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;;;Class 10;No;;;
