Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;price;gprstext;edge;battalktime1;batstandby1;sar-us;sar-eu;displayother
https://www.gsmarena.com/hp_ipaq_514-1900.php;https://fdn2.gsmarena.com/vv/bigpic/hp-514.gif;HP iPAQ 514;Released 2007, February;102g, 16.3mm thickness;Microsoft Windows Mobile 6.0 Standard;64MB RAM storage, microSD slot;14;N/A;670,805 hits;"2.0""";176x220 pixels;64 MB RAM;TI OMAP 850;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2007, February;Discontinued;107 x 48.6 x 16.3 mm (4.21 x 1.91 x 0.64 in);102 g (3.60 oz);Mini-SIM;;TFT, 65K colors;2.0 inches, 12.6 cm(~24.2% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;Microsoft Windows Mobile 6.0 Standard;TI OMAP 850;200 MHz ARM926EJ-S;;microSD (dedicated slot);64MB RAM, 128MB ROM;;1.3 MP;;Yes;No;;;Wi-Fi 802.11b/g;1.2;No;;No;miniUSB;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice memo;Removable Li-Ion 1100 mAh battery;Black;About 90 EUR;Class 10;Class 10;Up to 6 h 30 min;Up to 188 h;;;
https://www.gsmarena.com/hp_ipaq_rw6815-1803.php;https://fdn2.gsmarena.com/vv/bigpic/hp-rw6815.gif;HP iPAQ rw6815;Released 2006, October;140g, 19.5mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, miniSD slot;16;N/A;645,539 hits;"2.7""";240x320 pixels;64 MB RAM;;1530 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2006, October;Discontinued;102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in);140 g (4.94 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors (65K effective);2.7 inches, 22.6 cm(~38.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);;Microsoft Windows Mobile 5.0 PocketPC;;Intel PXA272 416 MHz;;miniSD;64MB RAM, 128MB ROM;;2 MP;LED flash;Yes;No;;2.5 mm audio jack;Wi-Fi 802.11b;1.2;No;;No;miniUSB;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerVoice memo;Removable Li-Ion 1530 mAh battery;Silver;About 150 EUR;Class 10;Class 10;Up to 5 h 30 min;Up to 240 h;;;Handwriting recognition
https://www.gsmarena.com/hp_ipaq_rw6828-1606.php;https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif;HP iPAQ rw6828;Released 2006, Q2;140g, 19.5mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, miniSD slot;14;N/A;802,456 hits;"2.7""";240x320 pixels;64 MB RAM;;1530 mAh Li-Po;GSM 900 / 1800 / 1900;;;;2006, Q2;Discontinued;102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in);140 g (4.94 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors (65K effective);2.7 inches, 22.6 cm(~38.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);;Microsoft Windows Mobile 5.0 PocketPC;;Intel PXA 272 416 MHz;;miniSD;64MB RAM, 128MB ROM;;2 MP;LED flash;Yes;No;;;Wi-Fi 802.11b;1.2;No;;FM radio;miniUSB;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerVoice memo;Removable Li-Po 1530 mAh battery;Silver;About 290 EUR;Class 10;Class 10;Up to 5 h 30 min;Up to 240 h;;;Handwriting recognition
https://www.gsmarena.com/hp_ipaq_rw6818-1607.php;https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif;HP iPAQ rw6818;Released 2006, Q2;140g, 19.5mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB RAM storage, miniSD slot;9;N/A;382,822 hits;"2.7""";240x320 pixels;64 MB RAM;;1530 mAh Li-Po;GSM 900 / 1800 / 1900;;;;2006, Q2;Discontinued;102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in);140 g (4.94 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors (65K effective);2.7 inches, 22.6 cm(~38.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~148 ppi density);;Microsoft Windows Mobile 5.0 PocketPC;;Intel PXA 272 416 MHz;;miniSD;64MB RAM, 128MB ROM;;2 MP;LED flash;Yes;No;;;No;1.2;No;;FM radio;miniUSB;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerVoice memo;Removable Li-Po 1530 mAh battery;Silver;About 290 EUR;Class 10;Class 10;Up to 5 h 30 min;Up to 240 h;;;Handwriting recognition
https://www.gsmarena.com/hp_ipaq_hw6915-1459.php;https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif;HP iPAQ hw6915;Released 2006, February;179g, 18mm thickness;Microsoft Windows Mobile 2005 PocketPC;64MB RAM storage, miniSD slot;14;N/A;737,168 hits;;240x240 pixels, 3 inch;64 MB RAM;;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2006, February;Discontinued;118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in);179 g (6.31 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;;240 x 240 pixels, 3 inch, 1:1 ratio;;Microsoft Windows Mobile 2005 PocketPC;;Intel PXA 270 416 MHz;;miniSD;64MB RAM, 45MB ROM;;1.3 MP;LED flash;Yes;No;;;Wi-Fi 802.11b;1.2;GPS;;No;Proprietary;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo;Removable Li-Ion 1200 mAh battery;Silver;About 550 EUR;Class 10;Class 10;;;;;
https://www.gsmarena.com/hp_ipaq_hw6910-1720.php;https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif;HP iPAQ hw6910;Released 2006, February;179g, 18mm thickness;Microsoft Windows Mobile 2005 PocketPC;64MB RAM storage, miniSD slot;10;N/A;279,174 hits;;240x240 pixels, 3 inch;64 MB RAM;;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2006, February;Discontinued;118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in);179 g (6.31 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;;240 x 240 pixels, 3 inch, 1:1 ratio;;Microsoft Windows Mobile 2005 PocketPC;;Intel PXA 270 416 MHz;;miniSD;64MB RAM, 45MB ROM;;No;;;;;;Wi-Fi 802.11b;1.2;GPS;;No;Proprietary;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo;Removable Li-Ion 1200 mAh battery;Silver;About 470 EUR;Class 10;Class 10;;;;;
https://www.gsmarena.com/hp_ipaq_hw6515-1312.php;https://fdn2.gsmarena.com/vv/bigpic/hp-hw6515.gif;HP iPAQ hw6515;Released 2005, Q2;165g, 18mm thickness;Microsoft Windows Mobile 2003 SE …;64MB RAM storage, SDIO/MMC + miniSD slot;15;N/A;572,293 hits;"3.0""";240x240 pixels;64 MB RAM;;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2005, Q2;Discontinued;118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in);165 g (5.82 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.0 inches, 45 x 60 mm, 29.0 cm(~34.7% screen-to-body ratio);240 x 240 pixels, 1:1 ratio (~113 ppi density);;Microsoft Windows Mobile 2003 SE PocketPC Phone Edition;;Intel PXA270 312 MHz;;SDIO/MMC + miniSD;64MB RAM, 64MB ROM;;1.3 MP;LED flash;Yes;No;;;No;1.2;GPS;;No;Proprietary;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizer;Removable Li-Ion 1200 mAh battery;Silver;About 280 EUR;Class 10;Class 10;;;;;
https://www.gsmarena.com/hp_ipaq_hw6510-1313.php;https://fdn2.gsmarena.com/vv/bigpic/hp-hw6510.gif;HP iPAQ hw6510;Released 2005, Q2;165g, 18mm thickness;Microsoft Windows Mobile 2003 SE …;64MB RAM storage, SDIO/MMC + miniSD slot;8;N/A;329,621 hits;"3.0""";240x240 pixels;64 MB RAM;;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2005, Q2;Discontinued;118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in);165 g (5.82 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.0 inches, 45 x 60 mm, 29.0 cm(~34.7% screen-to-body ratio);240 x 240 pixels, 1:1 ratio (~113 ppi density);;Microsoft Windows Mobile 2003 SE PocketPC Phone Edition;;Intel PXA270 312 MHz;;SDIO/MMC + miniSD;64MB RAM, 64MB ROM;;No;;;;;;No;1.2;GPS;;No;Proprietary;;Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizer;Removable Li-Ion 1200 mAh battery;Silver;About 280 EUR;Class 10;Class 10;;;;;
https://www.gsmarena.com/hp_ipaq_h6325-1310.php;https://fdn2.gsmarena.com/vv/bigpic/hp-h6325.gif;HP iPAQ h6325;Released 2004, Q4;190g, 20.8mm thickness;Microsoft Windows Mobile 2003 Poc…;64MB RAM storage, SD slot;15;N/A;444,747 hits;"3.5""";240x320 pixels;64 MB RAM;TI OMAP 1510;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2004, Q4;Discontinued;137.6 x 74.6 x 20.8 mm (5.42 x 2.94 x 0.82 in);190 g (6.70 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.5 inches, 53 x 71 mm, 37.9 cm(~37.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);;Microsoft Windows Mobile 2003 PocketPC Phone Edition;TI OMAP 1510;ARM925T;;SD, up to 1 GB;64MB RAM, 64MB ROM;;VGA;;No;No;;;Wi-Fi 802.11b;1.1;No;;No;Proprietary;;Pocket OfficeOrganizer;Removable Li-Ion 1800 mAh battery;Silver;About 180 EUR;Class 10;No;;;;;
https://www.gsmarena.com/hp_ipaq_h6320-1311.php;https://fdn2.gsmarena.com/vv/bigpic/hp-h6320.gif;HP iPAQ h6320;Released 2004, Q4;190g, 20.8mm thickness;Microsoft Windows Mobile 2003 Poc…;64MB RAM storage, SD slot;10;N/A;328,161 hits;"3.5""";240x320 pixels;64 MB RAM;TI OMAP 1510;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2004, Q4;Discontinued;137.6 x 74.6 x 20.8 mm (5.42 x 2.94 x 0.82 in);190 g (6.70 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.5 inches, 53 x 71 mm, 37.9 cm(~37.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);;Microsoft Windows Mobile 2003 PocketPC Phone Edition;TI OMAP 1510;ARM925T;;SD, up to 1 GB;64MB RAM, 64MB ROM;;No;;;;;;Wi-Fi 802.11b;1.1;No;;No;Proprietary;;Pocket OfficeOrganizer;Removable Li-Ion 1800 mAh battery;Silver;About 190 EUR;Class 10;No;;;;;
https://www.gsmarena.com/hp_ipaq_h6315-1309.php;https://fdn2.gsmarena.com/vv/bigpic/hp-h6315.gif;HP iPAQ h6315;Released 2004, Q4;190g, 18.7mm thickness;Microsoft Windows Mobile 2003 Poc…;64MB RAM storage, SD slot;13;N/A;309,467 hits;"3.5""";240x320 pixels;64 MB RAM;TI OMAP 1510;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2004, Q4;Discontinued;119 x 75 x 18.7 mm (4.69 x 2.95 x 0.74 in);190 g (6.70 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.5 inches, 53 x 71 mm, 37.9 cm(~42.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);;Microsoft Windows Mobile 2003 PocketPC Phone Edition;TI OMAP 1510;ARM925T;;SD, up to 1 GB;64MB RAM, 64MB ROM;;VGA;;No;No;;;Wi-Fi 802.11b;1.1;No;;No;Proprietary;;Pocket OfficeOrganizer;Removable Li-Ion 1800 mAh battery;Silver;;Yes;No;;;;;
https://www.gsmarena.com/hp_ipaq_h6310-1308.php;https://fdn2.gsmarena.com/vv/bigpic/hp-h6310.gif;HP iPAQ h6310;Released 2004, Q4;190g, 18.7mm thickness;Microsoft Windows Mobile 2003 Poc…;64MB RAM storage, SD slot;11;N/A;238,626 hits;"3.5""";240x320 pixels;64 MB RAM;TI OMAP 1510;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2004, Q4;Discontinued;119 x 75 x 18.7 mm (4.69 x 2.95 x 0.74 in);190 g (6.70 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.5 inches, 53 x 71 mm, 37.9 cm(~42.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~114 ppi density);;Microsoft Windows Mobile 2003 PocketPC Phone Edition;TI OMAP 1510;ARM925T;;SD, up to 1 GB;64MB RAM, 64MB ROM;;No;;;;;;Wi-Fi 802.11b;1.1;No;;No;Proprietary;;Pocket OfficeOrganizer;Removable Li-Ion 1800 mAh battery;Silver;;Yes;No;;;;;
