Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;memoryslot;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;batmusicplayback1;colors;price;gprstext;edge;internalmemory;displayother;displayprotection;optionalother;memoryother;bodyother;sar-eu;os;cpu
https://www.gsmarena.com/sagem_p9522_porsche-3210.php;https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9522.jpg;Sagem P9522 Porsche;Released 2008, October;115g, 12mm thickness;Feature phone;microSD slot;11;N/A;186,537 hits;"2.8""";240x400 pixels; ;;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, October. Released 2008, October;Discontinued;112 x 49 x 12 mm (4.41 x 1.93 x 0.47 in);115 g (4.06 oz);Mini-SIM;AMOLED resistive touchscreen, 256K colors;2.8 inches, 22.3 cm(~40.7% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);microSD (dedicated slot);5 MP, AF;;Yes;No;;Wi-Fi 802.11 b/g;Yes;GPS, A-GPS;Stereo FM radio, RDS;Proprietary;Fingerprint (front-mounted);MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion battery;Up to 300 h;Up to 4 h;;Black;About 600 EUR;Class 10;Class 10;;;Scratch-resistant glass;;;;;;
https://www.gsmarena.com/sagem_p9521_porsche-3209.php;https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9521.jpg;Sagem P9521 Porsche;Released 2008, December;139g, 17.8mm thickness;Feature phone;22MB storage, microSD slot;13;N/A;193,145 hits;"2.2""";240x320 pixels; ;;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, October. Released 2008, December;Discontinued;91.5 x 48.3 x 17.8 mm (3.60 x 1.90 x 0.70 in);139 g (4.90 oz);Mini-SIM;AMOLED, 256K colors;2.2 inches, 15.0 cm(~33.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);microSD (dedicated slot);3.15 MP, AF;LED flash;Yes;No;;No;1.2, A2DP;No;No;1.1;Fingerprint (front-mounted);MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion battery;Up to 240 h;Up to 3 h 30 min;Up to 7 h;Black;About 1200 EUR;Class 10;Class 10;22MB;Secondary external display;;;;;;;
https://www.gsmarena.com/sagem_my730c-2905.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my730c.jpg;Sagem my730c;Released 2008, Q4;95g, 16mm thickness;Feature phone;54MB storage, microSD slot;6;N/A;100,752 hits;"2.0""";240x320 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2008, August. Released 2008, Q4;Discontinued;96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~26.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);microSD (dedicated slot);2 MP;;Yes;No;;No;Yes;No;No;miniUSB;;MP3/MP4 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 920 mAh battery;Up to 300 h;Up to 4 h;;Black;;;;54MB;Secondary external displayDedicated music keys;;;;;;;
https://www.gsmarena.com/sagem_my411c-2295.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c.jpg;Sagem my411c;Released 2008, February;87g, 16mm thickness;Feature phone;microSD slot;8;N/A;161,125 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February;Discontinued;91 x 46 x 16 mm (3.58 x 1.81 x 0.63 in);87 g (3.07 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~24.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSD (dedicated slot);VGA;;Yes;No;;No;Yes;No;No;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;Black, Pink;;Yes;No;;Mirror effect;;;;;;;
https://www.gsmarena.com/sagem_my312x-2294.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my312x.jpg;Sagem my312x;Released 2008;87g, 11mm thickness;Feature phone;No card slot;5;N/A;109,495 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008;Discontinued;109 x 48 x 11 mm (4.29 x 1.89 x 0.43 in);87 g (3.07 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~19.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;Yes;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 220 h;Up to 3 h 40 min;;Black;;Yes;No;;;;;;;;;
https://www.gsmarena.com/sagem_my234x-2293.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg;Sagem my234x;Released 2008;75g, 12mm thickness;Feature phone;No card slot;5;N/A;88,896 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;No;No;FM radio;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 450 h;Up to 6 h;;Black;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my231x-2292.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg;Sagem my231x;Released 2008;75g, 12mm thickness;Feature phone;No card slot;6;N/A;89,738 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;Yes;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 450 h;Up to 6 h;;Black;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my230x-2291.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my230x.jpg;Sagem my230x;Released 2008;65g, 10mm thickness;Feature phone;No card slot;7;N/A;92,007 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;106 x 46 x 10 mm (4.17 x 1.81 x 0.39 in);65 g (2.29 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;No;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 240 h;Up to 3 h;;;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my226x-2513.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my226x.jpg;Sagem my226x;Released 2008;65g, 11mm thickness;Feature phone;No card slot;5;N/A;89,922 hits;;128x128 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in);65 g (2.29 oz);Mini-SIM;CSTN, 65K colors;, 26 x 28 mm;128 x 128 pixels, 1:1 ratio;No;No;;;;;No;No;No;No;Proprietary;;OrganizerPredictive text input;Removable Li-Ion 670 mAh battery;Up to 240 h;Up to 3 h;;Black;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my220x-2290.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my220x.jpg;Sagem my220x;Released 2008, February;65g, 10mm thickness;Feature phone;No card slot;7;N/A;135,120 hits;"1.5""";128x128 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February;Discontinued;107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in);65 g (2.29 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~14.4% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);No;No;;;;;No;No;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 240 h;Up to 3 h;;Chrome, Bronze, Red;About 60 EUR;No;No;;;;;;;;;
