Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;net4g;memoryother;gprstext;edge;featuresother;bodyother
https://www.gsmarena.com/maxwest_astro_x5-7565.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x5.jpg;Maxwest Astro X5;Released 2015, July;154g, 9.4mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;73,218 hits;"5.0""";480x854 pixels;512 MB RAM;MT6572M;2100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2015, June. Released 2015, July;Discontinued;143.7 x 72.8 x 9.4 mm (5.66 x 2.87 x 0.37 in);154 g (5.43 oz);Dual SIM (dual stand-by);TFT;5.0 inches, 68.9 cm(~65.9% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;5 MP;LED flash;720p@30fps;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2100 mAh, removable;Up to 170 h (3G);Up to 12 h (3G);White, Black, Blue, Rose Red;;;;;;
https://www.gsmarena.com/maxwest_astro_3_5-7564.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-35.jpg;Maxwest Astro 3.5;Released 2015, September;125g, 11mm thickness;Android 4.4.2;512MB 256MB RAM storage, microSDHC slot;0;N/A;73,142 hits;"3.5""";320x480 pixels;256 MB RAM;MT6572M;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2015, August. Released 2015, September;Discontinued;118.6 x 62 x 11 mm (4.67 x 2.44 x 0.43 in);125 g (4.41 oz);Dual SIM (dual stand-by);TFT, 256K colors;3.5 inches, 36.5 cm(~49.6% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC;512MB 256MB RAM;2 MP;LED flash;720p;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh, removable;Up to 170 h (3G);Up to 4 h 30 min (3G);White, Black, Pink, Blue, Gold;;;;;;
https://www.gsmarena.com/maxwest_blade-7398.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-blade.jpg;Maxwest Blade;Released 2015, June;76g, 11.1mm thickness;Feature phone;8MB 8MB RAM storage, microSDHC slot;1;N/A;82,409 hits;"2.4""";240x320 pixels;8 MB RAM;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2015, June. Released 2015, June;Discontinued;103.2 x 52.8 x 11.1 mm (4.06 x 2.08 x 0.44 in);76 g (2.68 oz);Dual SIM (dual stand-by);TFT;2.4 inches, 17.8 cm(~32.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;312 MHz;;microSDHC;8MB 8MB RAM;VGA;;No;No;;No;2.0;No;No;Stereo FM radio;microUSB 1.1;;Li-Ion 800 mAh, removable;Up to 200 h;Up to 8 h;White, Black, Red, Blue;;;Class 33;No;MP3/AAC/WAV playerMP4/H.264/H.263 playerOrganizerPhoto viewerPredictive text input;
https://www.gsmarena.com/maxwest_nitro_5-7379.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5.jpg;Maxwest Nitro 5;Released 2015, July;155g, 9.6mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;126,141 hits;"5.0""";540x960 pixels;512 MB RAM;Spreadtrum SC7731;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;HSPA 21.1/5.76 Mbps;2015, June. Released 2015, July;Discontinued;145.6 x 72 x 9.6 mm (5.73 x 2.83 x 0.38 in);155 g (5.47 oz);Dual SIM (dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.7% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~220 ppi density);Android 4.4.2 (KitKat);Spreadtrum SC7731;Quad-core 1.2 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;5 MP;LED flash;1080p@25fps;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.1;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh, removable;Up to 170 h (3G);Up to 12 h (3G);Silver, Black, Gray;;;;;;
https://www.gsmarena.com/maxwest_astro_4_5-7360.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-45.jpg;Maxwest Astro 4.5;Released 2015, July;131g, 10mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;1;N/A;102,255 hits;"4.5""";480x854 pixels;512 MB RAM;MT6572M;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2015, July. Released 2015, July;Discontinued;134.3 x 66.7 x 10 mm (5.29 x 2.63 x 0.39 in);131 g (4.62 oz);Dual SIM (dual stand-by);TFT, 256K colors;4.5 inches, 55.8 cm(~62.3% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.2 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;8 MP;LED flash;720p;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1700 mAh, removable;Up to 190 h (3G);Up to 5 h (3G);White, Black, Gold, Gray, Blue;;;;;;
https://www.gsmarena.com/maxwest_nitro_phablet_71-6984.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-71.jpg;Maxwest Nitro Phablet 71;Released 2015, February;321g, 9.8mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;3;N/A;139,779 hits;"7.0""";600x1024 pixels;512 MB RAM;MT6572;2800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2015, January. Released 2015, February;Discontinued;192 x 102 x 9.8 mm (7.56 x 4.02 x 0.39 in);321 g (11.32 oz);Dual SIM, (Dual stand-by);IPS LCD;7.0 inches, 137.9 cm(~70.4% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572 (28 nm);Dual-core 1.2 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;5 MP;LED flash;1080p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2800 mAh, removable;Up to 350 h;Up to 14 h;White, Black, Blue, Dark Blue, Golden, Gray, Pink, Red;;;;;;
https://www.gsmarena.com/maxwest_nitro_5_5-6983.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55.jpg;Maxwest Nitro 5.5;Released 2015, February;174g, 8.7mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;2;N/A;121,641 hits;"5.5""";540x960 pixels;512 MB RAM;MT6572;2200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 1700;HSPA 21.1/5.76 Mbps;2015, January. Released 2015, February;Discontinued;156.2 x 78.8 x 8.7 mm (6.15 x 3.10 x 0.34 in);174 g (6.14 oz);Dual SIM, (Dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~67.8% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~200 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572 (28 nm);Dual-core 1.2 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;8 MP, AF;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2200 mAh, removable;Up to 350 h;Up to 14 h;White, Black, Blue, Pink, Yellow;;;;;;
https://www.gsmarena.com/maxwest_astro_5-6840.php;https://fdn2.gsmarena.com/vv/bigpic/Maxwest-Astro-5.jpg;Maxwest Astro 5;Released 2014, December;154g, 9.3mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;5;N/A;124,348 hits;"5.0""";480x854 pixels;512 MB RAM;MT6582M;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2014, November. Released 2014, December;Discontinued;142.8 x 73.4 x 9.3 mm (5.62 x 2.89 x 0.37 in);154 g (5.43 oz);Dual SIM (dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.7% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.4.2 (KitKat);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;4GB 512MB RAM;8 MP, AF;LED flash;1080p@25fps;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 170 h (3G);Up to 12 h (3G);White, Black, Blue, Rose Red;;;;;;
https://www.gsmarena.com/maxwest_mx_110-6817.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-110.jpg;Maxwest MX-110;Released 2014, December;63.7g, 14.3mm thickness;Feature phone;32MB RAM storage, microSDHC slot;4;N/A;93,397 hits;"1.8""";176x220 pixels;32 MB RAM;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2014, November. Released 2014, December;Discontinued;110 x 47 x 14.3 mm (4.33 x 1.85 x 0.56 in);63.7 g (2.22 oz);Dual SIM (Mini-SIM);TFT, 65K colors;1.8 inches, 10.2 cm(~19.7% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;;;;microSDHC (dedicated slot);32MB RAM, 32MB ROM;VGA;;Yes;No;;No;2.0;No;No;"Stereo FM radio; built-in antenna";microUSB;;Li-Ion 800 mAh, removable;Up to 800 h;Up to 8 h;White, Black, Red, Baby blue, Dark Blue, Hot pink, Yellow;;;Yes;No;MP3/AAC/WMA/WAV playerMP4/H.264/WMV playerPredictive text input;
https://www.gsmarena.com/maxwest_astro_4-6720.php;https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-4.jpg;Maxwest Astro 4;Released 2014, November;122g, 9.8mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;1;N/A;98,488 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572M;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;HSPA 21.1/5.76 Mbps;2014, October. Released 2014, November;Discontinued;125.5 x 64 x 9.8 mm (4.94 x 2.52 x 0.39 in);122 g (4.30 oz);Dual SIM (dual stand-by);TFT;4.0 inches, 45.5 cm(~56.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);Mediatek MT6572M (28 nm);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSDHC;4GB 512MB RAM;2 MP;LED flash;720p;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh, removable;Up to 180 h;Up to 8 h;White/Black;;;;;;
