Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;build;net5g;models;displayprotection;cam2features;batstandby1;battalktime1;sar-eu;batmusicplayback1;gprstext;edge;bodyother;displayother
https://www.gsmarena.com/lava_fuel_f1-7668.php;https://fdn2.gsmarena.com/vv/bigpic/lava-fuel-f1.jpg;Lava Fuel F1;Released 2015, October;148g, 9.5mm thickness;Android 5.1;8GB storage, microSDHC;4;N/A;290,386 hits;"5.0""";480x854 pixels;2 GB RAM;MT6580;4000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA 21.1/5.76 Mbps;2015, September. Released 2015, October;Discontinued;141 x 72 x 9.5 mm (5.55 x 2.83 x 0.37 in);148 g (5.22 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~67.9% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 5.1 (Lollipop);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC;8GB 2GB RAM;;8 MP, AF;LED flash, panorama, HDR;1080p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 4000 mAh, non-removable;Black, White;;;;;Asahi Dragontrail Glass;HDR;Up to 480 h (2G) / Up to 480 h (3G);Up to 18 h (2G) / Up to 30 h 30 min (3G);0.61 W/kg (head)     0.60 W/kg (body);Up to 72 h;;;;
https://www.gsmarena.com/lava_iris_fuel_f1_mini-7614.php;https://fdn2.gsmarena.com/vv/bigpic/lava-f1-mini.jpg;Lava Iris Fuel F1 Mini;Released 2015, September;;Android 4.4.2;8GB storage, microSDHC;1;N/A;110,823 hits;"4.0""";480x800 pixels;512 MB RAM;;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, September. Released 2015, September;Discontinued;-;-;Dual SIM;TFT;4.0 inches, 45.5 cm;480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);;1.0 GHz;;microSDHC;8GB 512MB RAM;;5 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.1;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh, removable;Black, White;;;;;;;Up to 157 h (3G);Up to 19 h (3G);;;;;;
https://www.gsmarena.com/lava_flair_e2-7613.php;https://fdn2.gsmarena.com/vv/bigpic/lava-flair-v2.jpg;Lava Flair E2;Released 2015, September;12mm thickness;Android 4.4;512MB 256MB RAM storage, microSDHC slot;1;N/A;84,818 hits;"3.5""";320x480 pixels;256 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, September. Released 2015, September;Discontinued;113 x 61 x 12 mm (4.45 x 2.40 x 0.47 in);-;Dual SIM;TFT;3.5 inches, 36.5 cm(~52.9% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.4 (KitKat);;1.0 GHz;;microSDHC;512MB 256MB RAM;;2 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.1, EDR;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh, removable;Black, White;;;;;;;;;;;;;;
https://www.gsmarena.com/lava_pixel_v2-7574.php;https://fdn2.gsmarena.com/vv/bigpic/lava-pixel-v2.jpg;Lava Pixel V2;Released 2015, September;128g, 7.6mm thickness;Android 5.1, Android One;16GB storage, microSDHC;16;N/A;1,466,137 hits;"5.0""";720x1280 pixels;2 GB RAM;MT6735;2500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;LTE 1800 TD-LTE 2300;HSPA, LTE Cat4 150/50 Mbps;2015, September. Released 2015, September;Discontinued;141.6 x 70.8 x 7.6 mm (5.57 x 2.79 x 0.30 in);128 g (4.52 oz);Dual SIM (Dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~68.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 5.1 (Lollipop), Android One;Mediatek MT6735 (28 nm);Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;microSDHC;16GB 2GB RAM;;13 MP, AF;Dual-LED flash, HDR, panorama;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio, recording;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 2500 mAh, removable;Icy White, Royal Black;About 120 EUR;;;Pixel V2;Asahi Dragontrail Glass;LED flash;;Up to 24 h 40 min (2G) / Up to 10 h (3G);;;;;;
https://www.gsmarena.com/lava_iris_atom_2-7492.php;https://fdn2.gsmarena.com/vv/bigpic/lava-atom-2.jpg;Lava Iris Atom 2;Released 2015, August;130g, 9.2mm thickness;Android 4.4.2, up to 5.1;8GB storage, microSDHC;5;N/A;574,292 hits;"4.5""";480x854 pixels;512 MB RAM;;1750 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, August. Released 2015, August;Discontinued;134 x 66 x 9.2 mm (5.28 x 2.60 x 0.36 in);130 g (4.59 oz);Dual SIM;TFT;4.5 inches, 55.8 cm(~63.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.4.2 (KitKat), upgradable to 5.1 (Lollipop);;Quad-core 1.3 GHz;;microSDHC;8GB 512MB RAM;;5 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.1, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1750 mAh, removable;Black, White;;;;;;;Up to 161 h (3G);Up to 15 h 50 min (3G);;;;;;
https://www.gsmarena.com/lava_flair_z1-7491.php;https://fdn2.gsmarena.com/vv/bigpic/lava-flair-z1.jpg;Lava Flair Z1;Released 2015, July;160g, 8.9mm thickness;Android 5.0;8GB storage, microSDHC;6;N/A;250,922 hits;"5.0""";480x854 pixels;1 GB RAM;;2000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, July. Released 2015, July;Discontinued;143.5 x 72.5 x 8.9 mm (5.65 x 2.85 x 0.35 in);160 g (5.64 oz);Dual SIM;TFT;5.0 inches, 68.9 cm(~66.2% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 5.0 (Lollipop);;Quad-core 1.3 GHz;;microSDHC;8GB 1GB RAM;;5 MP;LED flash;Yes;2 MP;;Wi-Fi 802.11 b/g/n;2.1, EDR;No;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 2000 mAh, removable;Black, White;;;;;;;Up to 236 h (3G);Up to 13 h 25 min (3G);;;;;;
https://www.gsmarena.com/lava_pixel_v1-7446.php;https://fdn2.gsmarena.com/vv/bigpic/lava-pixel-v1-.jpg;Lava Pixel V1;Released 2015, July;135g, 8.5mm thickness;Android 5.1.1, up to 6.0, Android One;32GB storage, microSDHC;23;N/A;1,510,409 hits;"5.5""";720x1280 pixels;2 GB RAM;;2560 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, July. Released 2015, July;Discontinued;152.1 x 76.3 x 8.5 mm (5.99 x 3.00 x 0.33 in);135 g (4.76 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~71.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~267 ppi density);Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow), Android One;;Quad-core 1.3 GHz;Mali-400MP2;microSDHC;32GB 2GB RAM;;8 MP, AF (13 MP via SW interpolation);LED flash, HDR, panorama;1080p@30fps;5 MP, 8 MP via SW interpolation;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 2560 mAh, removable;White, Gold;About 160 EUR;;;;Asahi Dragontrail Glass;;;Up to 20 h (2G) / Up to 12 h 17 min (3G);;;;;;
https://www.gsmarena.com/lava_flair_p1i-7369.php;https://fdn2.gsmarena.com/vv/bigpic/lava-flair-p1-.jpg;Lava Flair P1i;Released 2015, June;;Android 4.4.2;512MB 256MB RAM storage, microSDHC slot;1;N/A;137,213 hits;"4.0""";480x800 pixels;256 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, June. Released 2015, June;Discontinued;-;-;Dual SIM;TFT;4.0 inches, 45.5 cm;480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);;1.0 GHz;;microSDHC;512MB 256MB RAM;;2 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.1, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh, removable;Black, White;;;;;;;Up to 120 h (3G);Up to 11 h (3G);;;;;;
https://www.gsmarena.com/lava_iris_x1_atom_s-7370.php;https://fdn2.gsmarena.com/vv/bigpic/lava-atom-s.jpg;Lava Iris X1 Atom S;Released 2015, June;112g, 9.7mm thickness;Android 4.4.2;8GB storage, microSDHC;4;N/A;339,815 hits;"4.0""";480x800 pixels;512 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2015, June. Released 2015, June;Discontinued;125.5 x 63.4 x 9.7 mm (4.94 x 2.50 x 0.38 in);112 g (3.95 oz);Dual SIM;TFT;4.0 inches, 45.5 cm(~57.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.4.2 (KitKat);;1.0 GHz;;microSDHC;8GB 512MB RAM;;5 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.1, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh, removable;Black, White;;;;;;;Up to 110 h (3G);Up to 14 h 20 min (3G);;;;;;
https://www.gsmarena.com/lava_icon-7226.php;https://fdn2.gsmarena.com/vv/bigpic/lava-icon.jpg;Lava Icon;Released 2015, April;143g, 7.7mm thickness;Android 4.4.2;16GB storage, microSDHC;11;N/A;253,073 hits;"5.0""";720x1280 pixels;2 GB RAM;;2500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA;2015, April. Released 2015, April;Discontinued;143.4 x 70.6 x 7.7 mm (5.65 x 2.78 x 0.30 in);143 g (5.04 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~68.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);;Quad-core 1.3 GHz Cortex-A7;;microSDHC;16GB 2GB RAM;;13 MP, AF;Dual-LED flash, panorama, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 2500 mAh, non-removable;Black;;;;;Asahi Dragontrail Glass;;;Up to 20 h (2G) / Up to 9 h (3G);;;;;;
