Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;battalktime1;colors;price;gpu;cam1features;cam2video;featuresother;bodyother;optionalother;net3g;speed;displayprotection;batstandby1;displayother;sar-us
https://www.gsmarena.com/toshiba_ts705-1699.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts705.gif;Toshiba TS705;Cancelled;95g, 15mm thickness;Feature phone;10MB storage, microSD slot;11;N/A;224,463 hits;"1.8""";176x220 pixels; ;;;GSM 900 / 1800 / 1900;;;2006, September;Cancelled;105 x 46 x 15 mm (4.13 x 1.81 x 0.59 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~21.1% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;;;microSD (dedicated slot);10MB;1.3 MP;Yes;No;No;Yes;No;;No;1.1;;Removable Li-Ion battery;Up to 3 h;Silver, Black;;;rotating;;MP3/ACC/ACC+ playerPredictive text inputPhoto editorVoice memoOrganizer;;;UMTS 2100;Yes, 384 kbps;;Up to 250 h;;
https://www.gsmarena.com/toshiba_ts608-1698.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts608.gif;Toshiba TS608;Released 2006, June;81g, 9.9mm thickness;Feature phone;8MB storage, microSD slot;8;N/A;170,922 hits;"1.93""";176x220 pixels; ;;;GSM 900 / 1800;Class 10;No;2006, June;Discontinued;110 x 46.9 x 9.9 mm (4.33 x 1.85 x 0.39 in);81 g (2.89 oz);Mini-SIM;TFT, 256K colors;1.93 inches, 11.7 cm(~22.7% screen-to-body ratio);176 x 220 pixels (~146 ppi density);;;;microSD (dedicated slot);8MB;1.3 MP;Yes;No;No;1.2;No;;FM radio;Proprietary;;Removable Li-Ion battery;Up to 2 h 30 min;Silver;;;;;MP3 playerPredictive text inputPhoto editorVoice memoOrganizer;;;;;;Up to 150 h;;
https://www.gsmarena.com/toshiba_tx62-1626.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-tx62.gif;Toshiba TX62;Released 2006, June;121g, 23mm thickness;Feature phone;40MB storage, miniSD slot;7;N/A;188,746 hits;"2.0""";240x320 pixels; ;;;GSM 900 / 1800 / 1900;;;2006, June;Discontinued;98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in);121 g (4.27 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~26.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;miniSD;40MB;1.3 MP;Yes;No;No;Yes;No;;No;Proprietary;;Removable Li-Ion battery;Up to 3 h 10 min;Black, Green, Pink;;;;;MP3/AAC/AAC+ playerTV-outPredictive text inputPhoto editorOrganizer;;External music control keypad;UMTS 2100;Yes, 384 kbps;;Up to 370 h;Second external 1.3-inch mono STN display;
https://www.gsmarena.com/toshiba_904t-1618.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-904T.gif;Toshiba 904T;Released 2006, March;146g, 26mm thickness;Feature phone;miniSD slot;11;N/A;217,209 hits;"2.4""";240x320 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, March;Discontinued;112 x 50 x 26 mm (4.41 x 1.97 x 1.02 in);146 g (5.15 oz);Mini-SIM;TFT, 260K colors;2.4 inches, 17.8 cm(~31.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;miniSD;;3.15 MP;Yes;VGA videocall camera;No;Yes;GPS;;No;Proprietary;;Removable Li-Ion 720 mAh battery;Up to 4.5 h;Forest Green, Urban Silver, Canyon Red;;;LED flash;;MP3 playerPC SyncPredictive text inputElectronic dictionaryOrganizerPhoto editor;;;UMTS 2100;Yes, 384 kbps;;Up to 270 h;Second external 1.16-inch STN display (33 x 160 pixels)Rotate 180 deg display;
https://www.gsmarena.com/toshiba_903t-1613.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-903T.gif;Toshiba 903T;Released 2005, September;149g, 25mm thickness;Feature phone;SD slot;12;N/A;193,274 hits;"2.4""";240x320 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2005, September;Discontinued;111 x 50 x 25 mm (4.37 x 1.97 x 0.98 in);149 g (5.26 oz);Mini-SIM;TFT, 260K colors;2.4 inches, 17.8 cm(~32.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;SD;;2 MP, AF;320p;VGA videocall camera;No;Yes;GPS;;No;Proprietary;;Removable Li-Ion 720 mAh battery;Up to 5.4 h;Blaze Orange, Deep Sea Blue, Haze White;;;;;MP3 playerPC SyncTV-outOrganizer;;;UMTS 2100;Yes, 384 kbps;;Up to 270 h;Second external 1.1-inch TFT display, 65K colors, (112 x 112 pixels)Rotate 180 deg display;
https://www.gsmarena.com/toshiba_705t-1571.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-705t.gif;Toshiba 705T;Released 2006, May;121g, 23mm thickness;Feature phone;miniSD slot;8;N/A;180,597 hits;"2.0""";240x320 pixels; ;;;GSM 900 / 1800 / 1900;;;2006, May;Discontinued;98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in);121 g (4.27 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 30 x 40 mm, 12.4 cm(~26.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;miniSD;;1.3 MP;Yes;No;No;Yes;No;;No;Proprietary;;Removable Li-Ion battery;Up to 5 h;Shell White, Urban Black;;;LED flash;;MP3/AAC playerTV-outElectronic dictionaryPredictive text inputOrganizer;;;UMTS 2100;Yes, 384 kbps;;Up to 250 h;Second external mono display (160 x 96 pixels)Wallpapers and mail animations;
https://www.gsmarena.com/toshiba_ts921-1532.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts921.gif;Toshiba TS921;Released 2005, Q3;148g, 25mm thickness;Feature phone;SD slot;9;N/A;183,392 hits;"2.4""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2005, Q3;Discontinued;111 x 50 x 25 mm (4.37 x 1.97 x 0.98 in);148 g (5.22 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 48.8 x 36.6 mm, 17.8 cm(~32.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;SD;;2 MP;320p;VGA videocall camera;No;Yes;No;;No;Proprietary;;Removable Li-Ion 1000 mAh battery;Up to 5 h 20 min;Glossy Red, Purplish Silver, Matte Black;;;LED flash;;MP3/AAC playerPredictive text inputPhoto editorOrganizer;;;UMTS 2100;Yes, 384 kbps;;Up to 270 h;Second external 65K colors display (112 x 112 pixels);
https://www.gsmarena.com/toshiba_ts808-1700.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts808.gif;Toshiba TS808;Released 2005, Q3;125g, 23mm thickness;Feature phone;10MB storage, miniSD slot;8;N/A;154,468 hits;"2.4""";240x320 pixels; ;;;GSM 900 / 1800 / 1900;;;2005, Q3;Discontinued;98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in);125 g (4.41 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 48.8 x 36.6 mm, 17.8 cm(~38.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;miniSD;10MB;1.3 MP;Yes;No;No;Yes;No;;No;1.1;;Removable Li-Ion battery;Up to 2 h 50 min;Black;;;;;MP3 playerTV-outVoice memoPredictive text inputPhoto editorOrganizer;;;UMTS 2100;Yes, 384 kbps;;Up to 350 h;Second external mono STN display (96 x 160 pixels);
https://www.gsmarena.com/toshiba_ts803-1529.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts803.gif;Toshiba TS803;Released 2005, Q3;134g, 26mm thickness;Feature phone;20MB storage, miniSD slot;9;N/A;203,253 hits;"2.4""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2005, Q3;Discontinued;100 x 47 x 26 mm (3.94 x 1.85 x 1.02 in);134 g (4.73 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 48.8 x 36.6 mm, 17.8 cm(~38.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;miniSD;20MB;2.26 MP, AF;320p;No;No;Yes;No;;No;Proprietary;;Removable Li-Ion 1000 mAh battery;Up to 5 h 20 min;Black, Silver;;;LED flash;;MP3 playerTV-outVoice memoPredictive text inputPhoto editorOrganizer;;;UMTS 2100;Yes, 384 kbps;;Up to 270 h;Second external mono STN display (96 x 160 pixels);
https://www.gsmarena.com/toshiba_ts10-1528.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts10.gif;Toshiba TS10;Released 2005, Q3;95g, 17mm thickness;Feature phone;No card slot;10;N/A;223,632 hits;;128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2005, Q3;Discontinued;97 x 46 x 17 mm, 75 cc (3.82 x 1.81 x 0.67 in);95 g (3.35 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;;;;No;;VGA;No;No;No;No;No;;No;Proprietary;;Removable Li-Ion 700 mAh battery;Up to 2 h 30 min;Silver;;;;;Voice memoPredictive text inputPhoto editorOrganizer;;;;;;Up to 150 h;Second external mono FSTN display (96 x 64 pixels);
