Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;price;cam1features;net4g;displayprotection;memoryother;gprstext;edge;sar-eu;featuresother;displayother;bodyother
https://www.gsmarena.com/gigabyte_gsmart_t4-6335.php;https://fdn2.gsmarena.com/vv/bigpic/GSmart-T4.jpg;Gigabyte GSmart T4;Released 2014, April;121g, 9.8mm thickness;Android 4.2;4GB 512MB RAM storage, microSDHC slot;5;N/A;215,418 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 21.1/5.76 Mbps;2014, April. Released 2014, April;Discontinued;126 x 62 x 9.8 mm (4.96 x 2.44 x 0.39 in);121 g (4.27 oz);Dual SIM;IPS LCD;4.0 inches, 45.5 cm(~58.3% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6572 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 512MB RAM;8 MP, AF;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh, removable;Up to 150 h;Up to 4 h 30 min;Black, White;About 100 EUR;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_saga_s3-6334.php;https://fdn2.gsmarena.com/vv/bigpic/GSmart-Saga-S3.jpg;Gigabyte GSmart Saga S3;Released 2014, April;190g, 8.5mm thickness;Android 4.2;8GB storage, microSDHC;4;N/A;191,382 hits;"6.0""";720x1280 pixels;1 GB RAM;MT6582;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 21.1/5.76 Mbps;2014, April. Released 2014, April;Discontinued;168 x 83 x 8.5 mm (6.61 x 3.27 x 0.33 in);190 g (6.70 oz);Dual SIM;IPS LCD;6.0 inches, 99.2 cm(~71.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~245 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6582 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC (dedicated slot);8GB 1GB RAM;8 MP, AF;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3000 mAh, non-removable;Up to 255 h;Up to 12 h;Black;;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_rey_r3-6211.php;https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Rey-R3.jpg;Gigabyte GSmart Rey R3;Released 2014, March;138g, 10.5mm thickness;Android 4.2;4GB 1GB RAM storage, microSDHC slot;7;N/A;197,797 hits;"4.5""";480x854 pixels;1 GB RAM;MT6572;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 21.1/5.76 Mbps;2014, March. Released 2014, March;Discontinued;136 x 66 x 10.5 mm (5.35 x 2.60 x 0.41 in);138 g (4.87 oz);Dual SIM;IPS LCD;4.5 inches, 55.8 cm(~62.2% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6572 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 1GB RAM;8 MP, AF;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1800 mAh, removable;Up to 320 h;Up to 8 h;Black;;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_guru-5807.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru.jpg;Gigabyte GSmart Guru;Released 2013, November;;Android 4.2;32GB storage, no card slot;24;N/A;375,081 hits;"5.0""";1080x1920 pixels;2 GB RAM;MT6589T;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;HSPA 42.2/5.76 Mbps;2013, October. Released 2013, November;Discontinued;-;-;Yes;IPS LCD;5.0 inches, 68.9 cm;1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6589T (28 nm);Quad-core 1.5 GHz Cortex-A7;PowerVR SGX544;No;32GB 2GB RAM;13 MP, AF;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2500 mAh, removable;Up to 250 h;Up to 10 h 30 min;Black;About 440 EUR;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_alto_a2-5809.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-alto-a2.jpg;Gigabyte GSmart Alto A2;Released 2013, November;;Android 4.2;4GB 1GB RAM storage, microSDHC slot;7;N/A;210,555 hits;"5.0""";480x854 pixels;1 GB RAM;MT6572;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 21.1/5.76 Mbps;2013, October. Released 2013, November;Discontinued;-;-;Dual SIM;TFT;5.0 inches, 68.9 cm;480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6572 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 1GB RAM;5 MP;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 150 h;Up to 3 h 30 min;Black, White;;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_roma_r2-5808.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-r2.jpg;Gigabyte GSmart Roma R2;Released 2013, October;;Android 4.2;4GB 1GB RAM storage, microSDHC slot;17;N/A;298,810 hits;"4.0""";480x800 pixels;1 GB RAM;MT6572;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 21.1/5.76 Mbps;2013, October. Released 2013, October;Discontinued;-;-;Dual SIM;IPS LCD;4.0 inches, 45.5 cm;480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6572 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 1GB RAM;5 MP;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1400 mAh, removable;Up to 220 h;Up to 3 h 30 min;Black, White, Blue, Red;About 140 EUR;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_aku_a1-5610.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-aku-a1.jpg;Gigabyte GSmart Aku A1;Released 2013, July;147.7g, 12.4mm thickness;Android 4.2;4GB 1GB RAM storage, microSDHC slot;31;N/A;280,762 hits;"4.5""";480x854 pixels;1 GB RAM;MT6589;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA;2013, July. Released 2013, July;Discontinued;136 x 67 x 12.4 mm (5.35 x 2.64 x 0.49 in);147.7 g (5.19 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;4.5 inches, 55.8 cm(~61.2% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6589 (28 nm);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;microSDHC (dedicated slot);4GB 1GB RAM;5 MP, AF;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Up to 333 h;Up to 5 h;Black, White;About 150 EUR;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_tuku_t2-5611.php;https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-tuku-t2.jpg;Gigabyte GSmart Tuku T2;Released 2013, July;125g, 11.8mm thickness;Android 4.0;4GB 512MB RAM storage, microSDHC slot;7;N/A;184,523 hits;"4.0""";480x800 pixels;512 MB RAM;Snapdragon S4 Play;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA;2013, July. Released 2013, July;Discontinued;124 x 63.5 x 11.8 mm (4.88 x 2.5 x 0.46 in);125 g (4.41 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;4.0 inches, 45.5 cm(~57.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.0 (Ice Cream Sandwich);Qualcomm MSM8225 Snapdragon S4 Play;Dual-core 1.0 GHz Cortex-A5;Adreno 203;microSDHC (dedicated slot);4GB 512MB RAM;5 MP, AF;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1500 mAh, removable;Up to 225 h;Up to 7 h;Black, White, Orange, Blue, Green;;LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_maya_m1_v2-5551.php;https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Maya-M1-v2-new.jpg;Gigabyte GSmart Maya M1 v2;Released 2013, July;147g, 9.7mm thickness;Android 4.2.1;4GB 1GB RAM storage, microSDHC slot;15;N/A;267,783 hits;"4.5""";540x960 pixels;1 GB RAM;MT6589;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA;2013, June. Released 2013, July;Discontinued;136 x 67 x 9.7 mm (5.35 x 2.64 x 0.38 in);147 g (5.19 oz);Dual SIM (Mini-SIM, dual stand-by);IPS LCD;4.5 inches, 55.8 cm(~61.3% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~245 ppi density);Android 4.2.1 (Jelly Bean);Mediatek MT6589 (28 nm);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;microSDHC (dedicated slot);4GB 1GB RAM;8 MP, AF;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 1700 mAh, removable;Up to 500 h;Up to 4 h 30 min;Gray, White, Red;About 200 EUR;Dual-LED flash;;;;;;;;;
https://www.gsmarena.com/gigabyte_gsmart_sierra_s1-5516.php;https://fdn2.gsmarena.com/vv/bigpic/GSmart-Sierra-new.jpg;Gigabyte GSmart Sierra S1;Released 2013, October;168g, 8.9mm thickness;Android 4.2;4GB 1GB RAM storage, microSDHC slot;8;N/A;233,749 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6589;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;HSPA 42.2/11.5 Mbps;2013, June. Released 2013, October;Discontinued;145.5 x 72.5 x 8.9 mm (5.73 x 2.85 x 0.35 in);168 g (5.93 oz);Dual SIM (Mini-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.3% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6589 (28 nm);Quad-core 1.5 GHz Cortex-A7;PowerVR SGX544;microSDHC (dedicated slot);4GB 1GB RAM;13 MP, AF;1080p@30fps;2 MP;720p;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2000 mAh, removable;Up to 600 h;Up to 4 h 30 min;Black/White;About 220 EUR;LED flash;;;;;;;;;
