Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;price;displayother;featuresother;gprstext;edge;memoryother;optionalother
https://www.gsmarena.com/nec_n100-878.php;https://fdn2.gsmarena.com/vv/bigpic/nen100.gif;NEC N100;Released 2004, Q3;77g, 16mm thickness;Feature phone;2MB storage, no card slot;7;N/A;109,908 hits;;128x160 pixels; ;;570 mAh Li-Ion;GSM 900 / 1800;;;;2004, Q3;Discontinued;102 x 45 x 16 mm (4.02 x 1.77 x 0.63 in);77 g (2.72 oz);Mini-SIM;;CSTN, 65K colors;;128 x 160 pixels;;;;;;No;2MB;VGA;;Yes;No;;No;No;No;;No;;;Removable Li-Ion 570 mAh battery;Up to 120 h;Up to 2 h 40 min;;;Downloadable pictures;Predictive text inputOrganizer;Yes;No;;
https://www.gsmarena.com/nec_n920-865.php;https://fdn2.gsmarena.com/vv/bigpic/nen920.gif;NEC N920;Released 2004, Q3;70g, 9.6mm thickness;Feature phone;2MB storage, no card slot;13;N/A;178,731 hits;;128x160 pixels; ;;630 mAh Li-Ion;GSM 900 / 1800;;;;2004, Q3;Discontinued;85 x 54 x 9.6 mm (3.35 x 2.13 x 0.38 in);70 g (2.47 oz);Mini-SIM;;TFT, 65K colors;;128 x 160 pixels;;;;;;No;2MB;VGA;LED flash;Yes;No;;No;No;No;;No;;;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;;WallpapersDownloadable pictures;Predictive text inputOrganizer;Yes;No;;
https://www.gsmarena.com/nec_e338-858.php;https://fdn2.gsmarena.com/vv/bigpic/nee338.gif;NEC e338;Released 2004, Q3;114g, 23.3mm thickness;Feature phone;No card slot;8;N/A;218,766 hits;"2.0""";176x220 pixels; ;;1300 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2004, Q3;Discontinued;93.8 x 47.1 x 23.3 mm, 89 cc (3.69 x 1.85 x 0.92 in);114 g (4.02 oz);Mini-SIM;;TFT, 65K colors;2.0 inches, 31 x 39 mm, 12.6 cm(~28.5% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;;;;;No;;CIF, rotating lens;;No;No;;No;No;No;;No;Proprietary;;Removable Li-Ion 1300 mAh battery;Up to 180 h;Up to 2 h 30 min;;;;Video and audio streamingSyncMLAudio/video playerPredictive text inputOrganizerVoice memo;;;In 18 MB internal memory:- 4 MB maximum for MMS- 960 KB maximum for JAVA appl.- 5 MB for personal files;Audio formats: MIDI, MP3, AAC, WMA, WAVPicture formats: GIF, PNG, BMP,WBMP, JPEG, MPEG4 Video, WMV
https://www.gsmarena.com/nec_n620-831.php;https://fdn2.gsmarena.com/vv/bigpic/nen620.gif;NEC N620;Released 2004, Q3;102g, 20mm thickness;Feature phone;2MB storage, no card slot;10;N/A;114,908 hits;;176x220 pixels; ;;800 mAh Li-Ion;GSM 900 / 1900;;;;2004, Q3;Discontinued;99.5 x 52.5 x 20 mm (3.92 x 2.07 x 0.79 in);102 g (3.60 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors;;176 x 220 pixels;;;;;;No;2MB;VGA;;Yes;No;;No;No;No;;No;;;Removable Li-Ion 800 mAh battery;Up to 200 h;Up to 2 h;Silver and Dark Blue;;Wallpapers, screensaversChinese handwriting recognitionDownloadable logos;Predictive text inputOrganizer;Yes;No;;
https://www.gsmarena.com/nec_n610-830.php;https://fdn2.gsmarena.com/vv/bigpic/nen610.gif;NEC N610;Released 2004, Q3;95g, 21.2mm thickness;Feature phone;No card slot;8;N/A;102,588 hits;;176x220 pixels; ;;700 mAh Li-Ion;GSM 900 / 1900;;;;2004, Q3;Discontinued;89 x 48.5 x 21.2 mm (3.50 x 1.91 x 0.83 in);95 g (3.35 oz);Mini-SIM;;TFT resistive touchscreen, 256K colors;;176 x 220 pixels;;;;;;No;;VGA;;Yes;No;;No;No;No;;No;;;Removable Li-Ion battery;Up to 150 h;Up to 2 h;Red, Black, Silver;;Wallpapers, screensaversChinese handwriting recognitionDownloadable logos;Predictive text inputOrganizer;Yes;No;;
https://www.gsmarena.com/nec_e228-810.php;https://fdn2.gsmarena.com/vv/bigpic/nee228.gif;NEC e228;Released 2004, Q2;125g, 21mm thickness;Feature phone;19MB storage, Memory Stick Duo slot;11;N/A;220,089 hits;"2.2""";176x220 pixels; ;;1100 mAh Li-Ion;GSM 900 / 1800;UMTS 2100;;Yes, 384 kbps;2004, Q2;Discontinued;129 x 54 x 21 mm (5.08 x 2.13 x 0.83 in);125 g (4.41 oz);Mini-SIM;;TFT, 65K colors;2.2 inches, 35 x 44 mm, 15.2 cm(~21.9% screen-to-body ratio);176 x 220 pixels (~128 ppi density);;;;;;Memory Stick Duo;19MB;VGA;;Yes;Yes;;No;No;No;;No;;;Removable Li-Ion 1100 mAh battery;Up to 100 h;Up to 2 h;;;;SyncMLMP3/MP4 playerPredictive text inputOrganizerVoice memo;;;;
https://www.gsmarena.com/nec_n410i-809.php;https://fdn2.gsmarena.com/vv/bigpic/nen410i.gif;NEC N410i;Released 2004, March;118g, 24mm thickness;Feature phone;32MB storage, no card slot;9;N/A;127,994 hits;"2.2""";240x320 pixels; ;;950 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, March;Discontinued;101 x 49 x 24 mm, 103 cc (3.98 x 1.93 x 0.94 in);118 g (4.16 oz);Mini-SIM;;TFT, 65K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~30.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;;;;No;32MB;1.3 MP;LED flash;Yes;No;;No;No;No;;No;Proprietary;;Removable Li-Ion 950 mAh battery;Up to 270 h;Up to 4 h 30 min;;;Second STN, 65K colors (108 x 80 pixels)Incoming call LED with 12 colorsWallpapersDownloadable wallpapers, animations;MP4 playerPredictive text inputOrganizerVoice memoProfiles;Class 8;No;;
https://www.gsmarena.com/nec_n400i-712.php;https://fdn2.gsmarena.com/vv/bigpic/nen400i.gif;NEC N400i;Released 2004, March;110g, 24mm thickness;Feature phone;4MB storage, no card slot;8;N/A;112,668 hits;"2.2""";240x320 pixels; ;;950 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, March;Discontinued;101 x 49 x 24 mm, 100 cc (3.98 x 1.93 x 0.94 in);110 g (3.88 oz);Mini-SIM;;65K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~30.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;;;;No;4MB;VGA;LED flash;Yes;No;;No;No;No;;No;Proprietary;;Removable Li-Ion 950 mAh battery;Up to 270 h;Up to 4 h;;;Second LCD 65K colors (108 x 80 pixels)Incoming call LED with 12 colorsWallpapersDownloadable wallpapers, animations;Predictive text inputOrganizerVoice dial/memoProfiles;Class 8;No;Total inbox mail size 600KB60 sec. voice memo;
https://www.gsmarena.com/nec_n331i-713.php;https://fdn2.gsmarena.com/vv/bigpic/nen331i.gif;NEC N331i;Released 2004, March;110g, 24mm thickness;Feature phone;No card slot;8;N/A;96,343 hits;;128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, March;Discontinued;101 x 48 x 24 mm, 90 cc (3.98 x 1.89 x 0.94 in);110 g (3.88 oz);Mini-SIM;;TFT, 65K colors;;128 x 160 pixels;;;;;;No;;CIF;;No;No;;No;No;No;;No;;;Removable Li-Ion 700 mAh battery;Up to 200 h;Up to 4 h;;;Second LCD display with 12 colors (30x96 pixels)WallpapersDownloadable wallpapers, animations;Predictive text inputOrganizerVoice memoProfiles;Class 10;No;;
https://www.gsmarena.com/nec_e313-671.php;https://fdn2.gsmarena.com/vv/bigpic/nee313.gif;NEC e313;Released 2004, Q1;126g, 20mm thickness;Feature phone;19MB storage, Memory Stick Duo slot;12;N/A;239,366 hits;;220x176 pixels; ;;1100 mAh Li-Ion;GSM 900 / 1800;UMTS 2100;;Yes, 384 kbps;2004, Q1;Discontinued;146 x 54 x 20 mm, 125 cc (5.75 x 2.13 x 0.79 in);126 g (4.44 oz);Mini-SIM;;TFT, 65K colors;;220 x 176 pixels;;;;;;Memory Stick Duo;19MB;VGA;;No;No;;No;No;GPS;;No;;;Removable Li-Ion 1100 mAh battery;Up to 110 h;Up to 2 h;Silver;;;MP3/MP4 playerPredictive text inputOrganizer;;;4 MB max for MMS;
https://www.gsmarena.com/nec_n910-615.php;https://fdn2.gsmarena.com/vv/bigpic/nen910.gif;NEC N910;Released 2004, Q1;76g, 22mm thickness;Feature phone;No card slot;11;N/A;171,570 hits;;128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;;2004, Q1;Discontinued;57 x 52 x 22 mm (2.24 x 2.05 x 0.87 in);76 g (2.68 oz);Mini-SIM;;TFT, 65K colors;;128 x 160 pixels;;;;;;No;;VGA;;No;No;;No;No;No;;No;;;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;;Second external display 96 x 64 pixels (256 colors OLED)Wallpapers;Predictive text inputOrganizer;Yes;No;;
