Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;sar-eu;cam1features;cam2video;batmusicplayback1;net3g;speed;price;bodyother;optionalother;sar-us;displayother
https://www.gsmarena.com/spice_mi_426_smart_flo_mettle_4_0x-6320.php;https://fdn2.gsmarena.com/vv/bigpic/spice-426.jpg;Spice Mi-426 Smart Flo Mettle 4.0X;Released 2014, January;122g, 10.8mm thickness;Android 4.2;microSDHC slot;0;N/A;122,586 hits;"4.0""";480x800 pixels; ;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;Class 12;Class 12;2014, January. Released 2014, January;Discontinued;119.9 x 58 x 10.8 mm (4.72 x 2.28 x 0.43 in);122 g (4.30 oz);Dual SIM (Mini-SIM);TFT;4.0 inches, 45.5 cm(~65.5% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.2 (Jelly Bean);;;;microSDHC;;2 MP;Yes;1.3 MP;Wi-Fi 802.11 b/g/n;2.0;GPS;No;FM radio;microUSB;Accelerometer;;Li-Ion 1400 mAh battery;Up to 250 h;Up to 6 h;Silver;;;;;;;About 50 EUR;;;;
https://www.gsmarena.com/spice_mi_438_stellar_glide-6319.php;https://fdn2.gsmarena.com/vv/bigpic/spice-438.jpg;Spice Mi-438 Stellar Glide;Released 2014, June;155g, 9.5mm thickness;Android 4.2;microSDHC slot;1;N/A;130,582 hits;"4.0""";480x800 pixels; ;;1350 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2014, April. Released 2014, June;Discontinued;145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in);155 g (5.47 oz);Dual SIM (Mini-SIM);TFT;4.0 inches, 45.5 cm(~39.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.2 (Jelly Bean);;;;microSDHC;;2 MP;Yes;1.3 MP;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB;Accelerometer;;Li-Ion 1350 mAh battery;Up to 170 h;Up to 4 h 30 min;Black/White;;;;;HSDPA 2100;HSPA;About 60 EUR;;;;
https://www.gsmarena.com/spice_mi_504_smart_flo_mettle_5x-6318.php;https://fdn2.gsmarena.com/vv/bigpic/spice-504.jpg;Spice Mi-504 Smart Flo Mettle 5X;Released 2014, February;190g, 10.4mm thickness;Android 4.2;microSDHC slot;0;N/A;252,369 hits;"5.0""";480x854 pixels; ;;1800 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;Class 12;Class 12;2014, February. Released 2014, February;Discontinued;148.5 x 78.9 x 10.4 mm (5.85 x 3.11 x 0.41 in);190 g (6.70 oz);Dual SIM (Mini-SIM);TFT;5.0 inches, 68.9 cm(~58.8% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.2 (Jelly Bean);;;;microSDHC;;8 MP;Yes;1.3 MP;Wi-Fi 802.11 b/g/n;2.0;GPS;No;FM radio;microUSB;Accelerometer;;Li-Ion 1800 mAh, removable;;Up to 5 h 30 min;White;;LED flash;;;;;About 80 EUR;;;;
https://www.gsmarena.com/spice_mi_451_smartflo_poise-6317.php;https://fdn2.gsmarena.com/vv/bigpic/spice-451.jpg;Spice Mi-451 Smartflo Poise;Released 2014, June;156g, 8.7mm thickness;Android 4.2;microSDHC slot;2;N/A;200,223 hits;"4.5""";480x854 pixels; ;;1450 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;Class 12;Class 32;2014, February. Released 2014, June;Discontinued;134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in);156 g (5.50 oz);Dual SIM (Mini-SIM);IPS LCD;4.5 inches, 55.8 cm(~59.7% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.2 (Jelly Bean);;;;microSDHC;;3.15 MP;Yes;1.3 MP;Wi-Fi 802.11 b/g/n;4.0, A2DP;A-GPS only;No;FM radio;microUSB;Accelerometer;;Li-Ion 1450 mAh, removable;;Up to 5 h 30 min;White;;;;;;;About 60 EUR;;;;
https://www.gsmarena.com/spice_mi_496_spice_coolpad_2-5865.php;https://fdn2.gsmarena.com/vv/bigpic/spice-coolpad-2-mi-496.jpg;Spice Mi-496 Spice Coolpad 2;Released 2013, November;;Android 4.1;4GB 1GB RAM storage, microSDHC slot;7;N/A;379,746 hits;"4.5""";540x960 pixels;1 GB RAM;MT6589;1700 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, November. Released 2013, November;Discontinued;-;-;Dual SIM;TFT;4.5 inches, 55.8 cm;540 x 960 pixels, 16:9 ratio (~245 ppi density);Android 4.1 (Jelly Bean);Mediatek MT6589 (28 nm);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;microSDHC (dedicated slot);4GB 1GB RAM;5 MP, AF;Yes;No;Wi-Fi 802.11 b/g/n;Yes;A-GPS;No;FM radio;microUSB;Accelerometer, proximity;;Li-Ion 1700 mAh battery;;;White;;LED flash;;;HSDPA 2100;HSPA;About 110 EUR;;;;
https://www.gsmarena.com/spice_mi_423_smart_flo_ivory_2-5828.php;https://fdn2.gsmarena.com/vv/bigpic/spice-smart-flo-ivory-2-mi-423.jpg;Spice Mi-423 Smart Flo Ivory 2;Released 2013, September;11.2mm thickness;Android 4.2.2;512MB 256MB RAM storage, microSDHC slot;3;N/A;162,594 hits;"4.0""";320x480 pixels;256 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;Yes;Yes;2013, September. Released 2013, September;Discontinued;126.3 x 68.6 x 11.2 mm (4.97 x 2.70 x 0.44 in);-;Dual SIM;TFT, 256K colors;4.0 inches, 47.6 cm(~55.0% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~144 ppi density);Android 4.2.2 (Jelly Bean);;Dual-core 1.0 GHz;;microSDHC (dedicated slot);512MB 256MB RAM;3.15 MP;Yes;1.3 MP;Wi-Fi 802.11 b/g/n;Yes;No;No;FM radio;microUSB;Accelerometer;;Li-Ion 1400 mAh battery;Up to 120 h;Up to 8 h;White;;;;;;;About 50 EUR;;;;
https://www.gsmarena.com/spice_mi_349_smart_flo_edge-5829.php;https://fdn2.gsmarena.com/vv/bigpic/spice-smart-flo-edge-mi-349.jpg;Spice Mi-349 Smart Flo Edge;Released 2013, September;12.3mm thickness;Android 2.3.5;512MB 256MB RAM storage, microSDHC slot;0;N/A;246,804 hits;"3.5""";320x480 pixels;256 MB RAM;;1500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;Yes;Yes;2013, September. Released 2013, September;Discontinued;117 x 63 x 12.3 mm (4.61 x 2.48 x 0.48 in);-;Dual SIM;TFT, 256K colors;3.5 inches, 36.5 cm(~49.5% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 2.3.5 (Gingerbread);;1.0 GHz;;microSDHC (dedicated slot);512MB 256MB RAM;1.3 MP;Yes;VGA;Wi-Fi 802.11 b/g/n;Yes;A-GPS only;No;FM radio;microUSB;Accelerometer;;Li-Ion 1500 mAh battery;Up to 120 h;Up to 8 h;White;;;;;;;About 40 EUR;;;;
https://www.gsmarena.com/spice_mi_550_pinnacle_stylus-5813.php;https://fdn2.gsmarena.com/vv/bigpic/spice-mi-550.jpg;Spice Mi-550 Pinnacle Stylus;Released 2013, September;155g, 9.5mm thickness;Android 4.2;microSDHC slot;3;N/A;293,198 hits;;720x1280 pixels; ;;2500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, September. Released 2013, September;Discontinued;160 x 79 x 9.5 mm (6.30 x 3.11 x 0.37 in);155 g (5.47 oz);Dual SIM;TFT;, -;720 x 1280 pixels, 16:9 ratio;Android 4.2 (Jelly Bean);;;;microSDHC (dedicated slot);;8 MP, AF;Yes;2 MP;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB;Accelerometer, proximity;;Li-Ion 2500 mAh battery;Up to 504 h;Up to 9 h 40 min;Black, White;;;;;HSDPA 2100;HSPA;About 150 EUR;Stylus;;;
https://www.gsmarena.com/spice_mi_502n_smart_flo_pace3-5812.php;https://fdn2.gsmarena.com/vv/bigpic/spice-mi-502n.jpg;Spice Mi-502n Smart FLO Pace3;Released 2013, September;190g, 10.4mm thickness;Android 4.2;microSDHC slot;2;N/A;181,956 hits;;480x800 pixels; ;;2100 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;Class 12;Class 12;2013, September. Released 2013, September;Discontinued;148.5 x 78.9 x 10.4 mm (5.85 x 3.11 x 0.41 in);190 g (6.70 oz);Dual SIM;TFT;, -;480 x 800 pixels, 5:3 ratio;Android 4.2 (Jelly Bean);;;;microSDHC (dedicated slot);;8 MP;Yes;1.3 MP;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB;Accelerometer, proximity;;Li-Ion 2100 mAh, removable;Up to 400 h;Up to 8 h 20 min;White. Blue;;;;;;;About 80 EUR;;;;
https://www.gsmarena.com/spice_mi_492_stellar_virtuoso_pro+-5811.php;https://fdn2.gsmarena.com/vv/bigpic/spice-virtuoso-pro-plus.jpg;Spice Mi-492 Stellar Virtuoso Pro+;Released 2013, September;123.3g, 10mm thickness;Android 4.2;microSDHC slot;2;N/A;140,598 hits;;480x854 pixels; ;;1730 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, September. Released 2013, September;Discontinued;133.8 x 68.2 x 10 mm (5.27 x 2.69 x 0.39 in);123.3 g (4.34 oz);Dual SIM;TFT;, -;480 x 854 pixels, 16:9 ratio;Android 4.2 (Jelly Bean);;;;microSDHC (dedicated slot);;5 MP;Yes;1.3 MP;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB;Accelerometer, proximity;;Li-Ion 1730 mAh, removable;Up to 350 h;Up to 5 h;Black, White;;;;;HSDPA 2100;HSPA;About 80 EUR;;;;
