Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;displayprotection;sar-us;cam2features;build;battalktime1;batstandby1;batmusicplayback1;sar-eu;gprstext;edge;bodyother;featuresother;optionalother;displayother
https://www.gsmarena.com/micromax_a350_canvas_knight-5995.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a350.jpg;Micromax A350 Canvas Knight;Released 2014, March;154g, 9mm thickness;Android 4.4.2;32GB storage, no card slot;169;N/A;7,498,198 hits;"5.0""";1080x1920 pixels;2 GB RAM;MT6592T;2350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA;2014, January. Released 2014, March;Discontinued;145 x 72 x 9 mm (5.71 x 2.83 x 0.35 in);154 g (5.43 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 4.4.2 (KitKat);Mediatek MT6592T;Octa-core 1.7 GHz Cortex-A7;Mali-450MP4;No;32GB 2GB RAM;;16 MP, AF;LED flash;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS, GLONASS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2350 mAh, non-removable;Black, White/Gold, Black/Gold;;About 240 EUR;Corning Gorilla Glass;;;;Up to 7 h 30 min;Up to 175 h;;;;;;;;
https://www.gsmarena.com/micromax_canvas_turbo_mini-5994.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a200.jpg;Micromax Canvas Turbo Mini;Released 2014, January;110g, 7.8mm thickness;Android 4.2.2;4GB storage, microSDHC slot;11;N/A;966,399 hits;"4.7""";720x1280 pixels;1 GB RAM;MT6582;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;;HSPA 21.1/5.76 Mbps;2014, January. Released 2014, January;Discontinued;137.5 x 67.5 x 7.8 mm (5.41 x 2.66 x 0.31 in);110 g (3.88 oz);Dual SIM;IPS LCD;4.7 inches, 60.9 cm(~65.6% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~312 ppi density);Android 4.2.2 (Jelly Bean);Mediatek MT6582 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC (dedicated slot);4GB (1.6 user available), 1GB RAM;;8 MP, AF;LED flash;720p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 1800 mAh, non-removable;Black, White, Blue;;About 170 EUR;;;;;Up to 6 h 30 min;Up to 180 h;;0.18 W/kg (head)     0.23 W/kg (body);;;;;;
https://www.gsmarena.com/micromax_a94_canvas_mad-5980.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a94.jpg;Micromax A94 Canvas MAd;Released 2014, January;147g, 9.7mm thickness;Android 4.2.2;4GB storage, microSDHC slot;15;N/A;1,538,317 hits;"4.5""";480x854 pixels;512 MB RAM;BCM23550;1800 mAh Li-Ion;GSM 900 / 1800;HSDPA 2100;;HSPA 21.1/5.76 Mbps;2014, January. Released 2014, January;Discontinued;138 x 67.3 x 9.7 mm (5.43 x 2.65 x 0.38 in);147 g (5.19 oz);Dual SIM (Mini-SIM, dual stand-by);IPS LCD;4.5 inches, 55.8 cm(~60.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);Android 4.2.2 (Jelly Bean);BCM23550;Quad-core 1.2 GHz;;microSDHC (dedicated slot);4GB (2.2GB user available), 512MB RAM;;5 MP, AF;LED flash;720p;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1800 mAh, removable;Black;;About 100 EUR;;;;;Up to 5 h;Up to 150 h;;;;;;;;
https://www.gsmarena.com/micromax_a119_canvas_xl-5977.php;https://fdn2.gsmarena.com/vv/bigpic/Micromax-Canvas-XL-A119.jpg;Micromax A119 Canvas XL;Released 2014, January;180g, 10.4mm thickness;Android 4.2;4GB storage, microSDHC slot;10;N/A;1,079,755 hits;"6.0""";540x960;1 GB RAM;;2450 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA;2014, January. Released 2014, January;Discontinued;165 x 84.2 x 10.4 mm (6.50 x 3.31 x 0.41 in);180 g (6.35 oz);Dual SIM (Dual stand-by);TFT;6.0 inches, 99.2 cm(~71.4% screen-to-body ratio);540 x 960, 16:9 ratio (~184 ppi density);Android 4.2 (Jelly Bean);;Quad-core 1.3 GHz;;microSDHC (dedicated slot);4GB (2GB user available), 1GB RAM;;8 MP, AF;Dual-LED flash;Yes;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.1;GPS;No;FM radio, recording;microUSB 2.0;Accelerometer, proximity;Li-Ion 2450 mAh, removable;White;;About 170 EUR;;;;;Up to 9 h 30 min;Up to 209 h;;;;;;;;
https://www.gsmarena.com/micromax_a114_canvas_2_2-5905.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a114.jpg;Micromax A114 Canvas 2.2;Released 2013, December;147g, 9.7mm thickness;Android 4.2;4GB storage, microSDHC slot;92;N/A;2,782,071 hits;"5.0""";540x960;1 GB RAM;MT6582M;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;;HSPA 21.1/5.76 Mbps;2013, December. Released 2013, December;Discontinued;145 x 73 x 9.7 mm (5.71 x 2.87 x 0.38 in);147 g (5.19 oz);Dual SIM (Mini-SIM);IPS LCD;5.0 inches, 68.9 cm(~65.1% screen-to-body ratio);540 x 960, 16:9 ratio (~220 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDHC (dedicated slot);4GB (2GB user available), 1GB RAM;;8 MP, AF;Dual-LED flash;1080p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio, recording;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Black;;About 150 EUR;;;;;Up to 7 h;Up to 290 h;;;;;;;;
https://www.gsmarena.com/micromax_a61_bolt-5899.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a61.jpg;Micromax A61 Bolt;Released 2013, December;10mm thickness;Android 4.1;512MB 256MB RAM storage, microSDHC slot;3;N/A;626,339 hits;"4.0""";480x800 pixels;256 MB RAM;Spreadtrum SC7710;1500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA 7.2/5.76 Mbps;2013, November. Released 2013, December;Discontinued;135 x 67 x 10 mm (5.31 x 2.64 x 0.39 in);-;Dual SIM;TFT;4.0 inches, 45.5 cm(~50.3% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.1 (Jelly Bean);Spreadtrum SC7710;1.0 GHz;;microSDHC (dedicated slot);512MB 256MB RAM;;2 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;GPS;No;FM radio, recording;microUSB 2.0;Accelerometer;Li-Ion 1500 mAh, removable;Black;;About 60 EUR;;;;;Up to 4 h;Up to 160 h;;;;;;;;
https://www.gsmarena.com/micromax_a77_canvas_juice-5875.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-juice-a77.jpg;Micromax A77 Canvas Juice;Released 2013, December;;Android 4.2.2;4GB 1GB RAM storage, microSDHC slot;41;N/A;3,017,155 hits;"5.0""";480x854 pixels;1 GB RAM;MT6572;3000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;;HSPA 21.1/5.76 Mbps;2013, November. Released 2013, December;Discontinued;-;-;Dual SIM;TFT;5.0 inches, 68.9 cm;480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.2.2 (Jelly Bean);Mediatek MT6572 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 1GB RAM;;5 MP, AF;LED flash;720p@30fps;VGA;;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3000 mAh, removable;White;;About 90 EUR;;;;;Up to 10 h;Up to 282 h;;;;;;;;
https://www.gsmarena.com/micromax_a117_canvas_magnus-5832.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-magnus.jpg;Micromax A117 Canvas Magnus;Released 2013, October;9mm thickness;Android 4.2;4GB storage, microSDHC slot;89;N/A;1,825,600 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6589T;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;;HSPA 42.2/11.5 Mbps;2013, October. Released 2013, October;Discontinued;144 x 74 x 9 mm (5.67 x 2.91 x 0.35 in);-;Dual SIM (Mini-SIM);IPS LCD;5.0 inches, 68.9 cm(~64.7% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.2 (Jelly Bean);Mediatek MT6589T (28 nm);Quad-core 1.5 GHz Cortex-A7;PowerVR SGX544MP2;microSDHC (dedicated slot);4GB (2.6GB user available), 1GB RAM;;12 MP, AF;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity;Li-Ion 2000 mAh, removable;Black, White;;About 180 EUR;;;;;Up to 7 h;Up to 180 h;;;;;;;;
https://www.gsmarena.com/micromax_canvas_turbo-5805.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-turbo.jpg;Micromax Canvas Turbo;Released 2013, October;;Android 4.2.1;16GB storage, no card slot;93;N/A;4,035,191 hits;"5.0""";1080x1920 pixels;2 GB RAM;MT6589T;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 2100;;HSPA 42.2/11.5 Mbps;2013, October. Released 2013, October;Discontinued;-;-;Dual SIM (Micro-SIM);IPS LCD;5.0 inches, 68.9 cm;1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 4.2.1 (Jelly Bean);Mediatek MT6589T (28 nm);Quad-core 1.5 GHz Cortex-A7;PowerVR SGX544MP2;No;16GB (12.5 user available), 2GB RAM;;13 MP, AF;LED flash;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Li-Ion 2000 mAh, non-removable;Black, White;;About 240 EUR;;;;;Up to 7 h;Up to 105 h;;;;;;;;
https://www.gsmarena.com/micromax_canvas_tab_p650-5762.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-p650.jpg;Micromax Canvas Tab P650;Released 2013, September;9.6mm thickness;Android 4.2.1;16GB storage, microSDHC;19;N/A;741,831 hits;"8.0""";768x1024 pixels;1 GB RAM;;4800 mAh Li-Ion;GSM 900 / 1800;HSDPA 2100;;HSPA 42.2/5.76 Mbps;2013, September. Released 2013, September;Discontinued;204 x 154 x 9.6 mm (8.03 x 6.06 x 0.38 in);-;Yes;IPS LCD;8.0 inches, 198.2 cm(~63.1% screen-to-body ratio);768 x 1024 pixels, 4:3 ratio (~160 ppi density);Android 4.2.1 (Jelly Bean);;Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;microSDHC (dedicated slot);16GB 1GB RAM;;5 MP, AF;;Yes;2 MP;;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;GPS;No;FM radio, recording;microUSB 2.0;Accelerometer;Li-Ion 4800 mAh, non-removable;Black, White;;About 170 EUR;;;;;Up to 10 h;Up to 400 h;;;;;;;;
