Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;net5g;bodyother;displayprotection;memoryother;cam2features;optionalother;sar-eu;tbench;batstandby1;battalktime1;featuresother;gprstext;edge;displayother
https://www.gsmarena.com/sharp_936sh-3053.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-936sh.jpg;Sharp 936SH;Released 2009, September;129g, 15.9mm thickness;Feature phone;microSDHC slot;9;N/A;171,702 hits;"3.0""";854x480 pixels; ;;;GSM 900 / 1800 / 1900;HSDPA;;HSPA 3.6/0.384 Mbps;2009, September. Released 2009, September;Discontinued;108 x 50 x 15.9 mm (4.25 x 1.97 x 0.63 in);129 g (4.55 oz);;Mini-SIM;TFT, 16M colors;3.0 inches, 24.8 cm(~45.9% screen-to-body ratio);854 x 480 pixels, 16:9 ratio (~327 ppi density);;;;;microSDHC (dedicated slot);;8 MP, AF;;w480p@30fps;Yes;;No;2.1, A2DP;No;;No;2.0;;Removable Li-Po battery;Navy, White, Green ground;;;;IPX7 splash resistant;;;;;;;Up to 300 h;Up to 4 h;MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo;Class 10;Class 10;
https://www.gsmarena.com/sharp_934sh-3052.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-934sh.jpg;Sharp 934SH;Released 2009, August;129g, 15.9mm thickness;Feature phone;microSDHC slot;7;N/A;137,300 hits;"3.0""";854x480 pixels; ;;;GSM 900 / 1800 / 1900;HSDPA;;HSPA 3.6/0.384 Mbps;2009, August. Released 2009, August;Discontinued;108 x 50 x 15.9 mm (4.25 x 1.97 x 0.63 in);129 g (4.55 oz);;Mini-SIM;TFT, 16M colors;3.0 inches, 24.8 cm(~45.9% screen-to-body ratio);854 x 480 pixels, 16:9 ratio (~327 ppi density);;;;;microSDHC (dedicated slot);;8 MP, AF;;w480p@30fps;Yes;;No;2.1, A2DP;No;;No;2.0;Accelerometer;Removable Li-Po battery;White, Pink, Black, Brown Wood;;;;IPX5 splash resistant;;;;;;;Up to 270 h (2G) / Up to 300 h (3G);Up to 3 h 40 min (2G) / Up to 3 h 50 min (3G);UV sensorMP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo;Class 10;Class 10;"External monochrome 3"" display, 456 x 240 pixels"
https://www.gsmarena.com/sharp_930sh-2768.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-930sh.jpg;Sharp 930SH;Released 2008, November;110g, 15.2mm thickness;Feature phone;100MB storage, microSDHC slot;11;N/A;239,177 hits;"3.0""";854x480 pixels; ;;680 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;;HSPA 3.6/0.384 Mbps;2008, October. Released 2008, November;Discontinued;105 x 48 x 15.2 mm (4.13 x 1.89 x 0.60 in);110 g (3.88 oz);;Mini-SIM;TFT, 16M colors;3.0 inches, 24.8 cm(~49.2% screen-to-body ratio);854 x 480 pixels, 16:9 ratio (~327 ppi density);;;;;microSDHC (dedicated slot);100MB;8 MP, AF;;w480p@30fps;Yes;;No;2.0, A2DP;No;;No;2.0;Accelerometer;Removable Li-Ion 680 mAh battery;Black, Blue Green, Pink, White Silver, Silver Violet;;;;;;;;;;;Up to 260 h (2G) / Up to 250 h (3G);Up to 3 h 30 min (2G) / Up to 3 h 10 min (3G);MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerQR code readerVoice memo;;;External 0.8 inch display, 86x16 pixels
https://www.gsmarena.com/sharp_923sh-2762.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-923sh.jpg;Sharp 923SH;Released 2008 July;132g, 18.6mm thickness;Feature phone;100MB storage, microSDHC slot;10;N/A;174,536 hits;"3.3""";854x480 pixels (Wide-VGA); ;;790 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;;HSPA 3.6/0.384 Mbps;2008, June. Released 2008 July;Discontinued;113 x 50 x 18.6 mm (4.45 x 1.97 x 0.73 in);132 g (4.66 oz);;Mini-SIM;TFT, 16M colors;3.3 inches, 30.0 cm(~53.1% screen-to-body ratio);854 x 480 pixels (Wide-VGA), 16:9 ratio (~297 ppi density);;;;;microSDHC (dedicated slot);100MB;5 MP, AF;;w480p@30fps;Yes;;No;2.0, A2DP;GPS;;No;2.0;Accelerometer, compass;Removable Li-Ion 790 mAh battery;Black, Blue, Pink, White, Purple;;;;Optical trackpad;;;;;;;Up to 310 h (2G) / Up to 310 h (3G);Up to 4 h 20 min (2G) / Up to 3 h 20 min (3G);DVB TunerMP3/eAAC+ playerMP4/ASF/3gp playerPredictive text inputOrganizerVoice memoDocument viewer (Word, Excel, PowerPoint, PDF);;;Swivel and rotate displayExternal 0.6 inch display(86 x 16 pixels)
https://www.gsmarena.com/sharp_825sh-2761.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-825sh.jpg;Sharp 825SH;Released 2008, July;105g, 14.9mm thickness;Feature phone;50MB storage, microSDHC slot;7;N/A;96,007 hits;"2.8""";240x400 pixels; ;;680 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 1900;;HSPA;2008, June. Released 2008, July;Discontinued;102.9 x 48 x 14.9 mm (4.05 x 1.89 x 0.59 in);105 g (3.70 oz);;Mini-SIM;TFT, 16M colors;2.8 inches, 22.3 cm(~45.2% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);50MB;2 MP, AF;;320p@15fps;Yes;;No;2.0, A2DP;No;;No;2.0;Accelerometer;Removable Li-Ion 680 mAh battery;Black, White, Peach Pink, Rose Red, Lime Green, Lemon Yellow;;;;;;;;;;;Up to 290 h (2G) / Up to 240 h (3G);Up to 3 h 50 min (2G) / Up to 3h 10 min (3G);MP3/eAAC+ playerMP4/ASF/3gp playerDigital TV tuner (1seg)Document viewer (Word, Excel, PowerPoint, PDF)Predictive text inputOrganizerQR code readerVoice memo;;;Shake control
https://www.gsmarena.com/sharp_sx862-2371.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-sx862.jpg;Sharp SX862;Released 2008;120g, 18mm thickness;Feature phone;50MB storage, microSD slot;13;N/A;355,896 hits;"3.2""";854x480 pixels (Wide-VGA); ;;1500 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;;HSPA 3.6/0.384 Mbps;2008, May. Released 2008;Discontinued;110 x 50 x 18 mm (4.33 x 1.97 x 0.71 in);120 g (4.23 oz);;Mini-SIM;TFT, 256K colors;3.2 inches, 28.2 cm(~51.3% screen-to-body ratio);854 x 480 pixels (Wide-VGA), 16:9 ratio (~306 ppi density);;;;;microSD (dedicated slot);50MB;3.15 MP, AF;;480p;Yes;;No;2.0, A2DP;No;;No;2.0;;Removable Li-Ion battery;Black, Silver;;;;;;;;;;;Up to 350 h;Up to 4 h 40 min;MP3/MP4/3gp playerPredictive text inputOrganizerVoice memoDocument viewer (Word, Excel, PowerPoint, PDF);;;Swivel and rotate displayDownloadable wallpapers
https://www.gsmarena.com/sharp_gx18-2335.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-gx18.jpg;Sharp GX18;Released 2008, June;70g, 11.5mm thickness;Feature phone;7MB storage, no card slot;9;N/A;154,137 hits;"1.8""";128x160 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;;;;2008, March. Released 2008, June;Discontinued;106 x 45 x 11.5 mm (4.17 x 1.77 x 0.45 in);70 g (2.47 oz);;Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~21.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;No;7MB;VGA;;Yes;No;;No;2.0;No;;No;miniUSB;;Removable Li-Ion battery;Crystal Black with Matt Silver;;About 60 EUR;;;;;;;;;Up to 210 h;Up to 7 h 30 min;Video playerPredictive text inputOrganizerVoice recorder;Class 10;No;Downloadable wallpapers and ringtones
https://www.gsmarena.com/sharp_880sh-2099.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-880sh.gif;Sharp 880SH;Released 2007, September;93g, 15mm thickness;Feature phone;50MB storage, microSD slot;9;N/A;247,845 hits;"2.2""";240x320 pixels; ;;1200 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;;HSPA 3.6/0.384 Mbps;2007, September;Discontinued;101 x 47.8 x 15 mm (3.98 x 1.88 x 0.59 in);93 g (3.28 oz);;Mini-SIM;TFT, 256K colors;2.2 inches, 15.0 cm(~31.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;;;microSD (dedicated slot);50MB;2 MP, AF;LED flash;320p;Videocall camera;;No;2.0, A2DP;No;;FM radio;2.0;;Removable Li-Ion (XN-1BT80);Black;;;;;;;;;;;Up to 320 h;Up to 4 h 20 min;MP3/MP3/AAC/AAC+ playerVideo playerPredictive text inputOrganizerVoice recorder;;;Four-way navigationStatus light in 2 colors
https://www.gsmarena.com/sharp_gx34-2184.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-gx34.jpg;Sharp GX34;Released 2007, November;87g, 21mm thickness;Feature phone;9MB storage, microSD slot;10;N/A;115,582 hits;"1.9""";176x220 pixels; ;;1350 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2007, November. Released 2007, November;Discontinued;93 x 44.6 x 21 mm (3.66 x 1.76 x 0.83 in);87 g (3.07 oz);;Mini-SIM;TFT, 256K colors;1.9 inches, 11.4 cm(~27.4% screen-to-body ratio);176 x 220 pixels (~148 ppi density);;;;;microSD (dedicated slot);9MB;2 MP;;QCIF;No;;No;2.0;No;;No;2.0;;Removable Li-Ion battery;Black;;;;;;;;;;;Up to 250 h;Up to 3 h 30 min;MP3 playerPredictive text inputOrganizerVoice memo (max 10 sec each);Class 10;No;Second external displayFour-way navigationStatus light in 7 colors
https://www.gsmarena.com/sharp_gx33-2058.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-gx33.gif;Sharp GX33;Released 2007, Q3;87g, 21mm thickness;Feature phone;9MB storage, no card slot;8;N/A;132,328 hits;"1.9""";176x220 pixels; ;;930 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2007, Q3;Discontinued;93 x 44.6 x 21 mm (3.66 x 1.76 x 0.83 in);87 g (3.07 oz);;Mini-SIM;TFT, 256K colors;1.9 inches, 11.4 cm(~27.4% screen-to-body ratio);176 x 220 pixels (~148 ppi density);;;;;No;9MB;VGA;;SQCIF;No;;No;2.0;No;;No;2.0;;Removable Li-Ion battery;Black;;;;;;;;;;;Up to 250 h;Up to 3 h 30 min;MP3 playerPredictive text inputOrganizerVoice memo (max 10 sec each);Class 10;No;Second external displayFour-way navigationStatus light in 7 colors
