Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;net5g;bodyother;displayprotection;memoryother;cam2features;optionalother;sar-eu;tbench;batstandby1;battalktime1;featuresother;gprstext;edge;displayother
https://www.gsmarena.com/sharp_705sh-1570.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-705sh.gif;Sharp 705SH;Released 2006, May;104g, 17mm thickness;Feature phone;microSD slot;9;N/A;339,643 hits;"2.2""";240x320 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2006, May;Discontinued;101 x 50 x 17 mm (3.98 x 1.97 x 0.67 in);104 g (3.67 oz);;Mini-SIM;TFT, 256K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~29.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;;;microSD (dedicated slot);;2 MP;;Yes;CIF videocall camera;;No;Yes;No;;No;Proprietary;;Removable Li-Ion battery;Gold, Royal Black, Silky Pink;;;;;;;;;;;Up to 300 h;Up to 3 h 50 min;Face recognitionMP3/AAC playerPredictive text inputOrganizer;;;Second external mono display (12 x 72 pixels)
https://www.gsmarena.com/sharp_904-1490.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-904sh.gif;Sharp 904;Released 2006, February;151g, 28mm thickness;Feature phone;20MB storage, miniSD slot;11;N/A;430,135 hits;"2.4""";480x640 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2006, February;Discontinued;104 x 50 x 28 mm (4.09 x 1.97 x 1.10 in);151 g (5.33 oz);;Mini-SIM;TFT, 256K colors;2.4 inches, 37 x 48 mm, 17.8 cm(~34.3% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~333 ppi density);;;;;miniSD;20MB;3.15 MP, AF, 2x optical zoom;LED flash;Yes;CIF videocall camera;;No;Yes;No;;No;Proprietary;;Removable Li-Ion battery;Violet, Black, Blue;;;;;;;;3D surround sound;;;Up to 350 h;Up to 4 h 40 min;MP3/AAC playerPredictive text inputOrganizerFace recognitionVoice memoKaraoke;;;Second external mono display (12 x 72 pixels)
https://www.gsmarena.com/sharp_770sh-1519.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-770sh.gif;Sharp 770SH;Released 2006, March;101g, 17.1mm thickness;Feature phone;20MB storage, microSD slot;12;N/A;361,399 hits;"2.2""";240x320 pixels; ;;820 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2006, March;Discontinued;101 x 50 x 17.1 mm (3.98 x 1.97 x 0.67 in);101 g (3.56 oz);;Mini-SIM;TFT, 256K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~29.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;;;microSD (dedicated slot);20MB;1.3 MP;;QCIF;Videocall camera;;No;1.1;No;;No;Proprietary;;Removable Li-Ion 820 mAh battery;Silver, Black;;;;;;;;;;;Up to 330 h;Up to 2 h 40 min;Video streamingVideo downloadingMP3/AAC/AAC+/AAC+e playerPredictive text inputOrganizerVoice memoStopwatch;;;Second external mono display (12 x 72 pixels)
https://www.gsmarena.com/sharp_550sh-1474.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-550sh.gif;Sharp 550SH;Released 2006, February;98g, 18.5mm thickness;Feature phone;20MB storage, microSD slot;9;N/A;218,360 hits;"2.0""";240x320 pixels; ;;1440 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2006, February;Discontinued;111 x 47 x 18.5 mm (4.37 x 1.85 x 0.73 in);98 g (3.46 oz);;Mini-SIM;TFT, 256K colors;2.0 inches, 30 x 40 mm, 12.4 cm(~23.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;;microSD (dedicated slot);20MB;1.3 MP;;QCIF;Videocall camera;;No;1.1;No;;No;Proprietary;;Removable Li-Ion battery;;;;;;;;;;;;Up to 370 h;Up to 4 h;MP3/AAC playerPredictive text inputOrganizerVoice memo;;;
https://www.gsmarena.com/sharp_gx29-1473.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-gx29.gif;Sharp GX29;Released 2006, February;92g, 20.3mm thickness;Feature phone;2.1MB storage, no card slot;10;N/A;402,670 hits;"2.0""";240x320 pixels; ;;1440 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2006, February;Discontinued;93.8 x 46 x 20.3 mm (3.69 x 1.81 x 0.80 in);92 g (3.25 oz);;Mini-SIM;TFT, 256K colors;2.0 inches, 30 x 40 mm, 12.4 cm(~28.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;;No;2.1MB;VGA;;SQCIF;No;;No;1.1;No;;No;Proprietary;;Removable Li-Ion battery;Silver;;;;;;;;;;;Up to 250 h;Up to 3 h 40 min;Predictive text inputOrganizerVoice memoRate conversion;Class 10;No;Second external mono display 72 x 12 pixels
https://www.gsmarena.com/sharp_903-1241.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-903.gif;Sharp 903;Released 2005, July;140g, 29mm thickness;Feature phone;8MB storage, miniSD slot;15;N/A;953,244 hits;"2.4""";240x320 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2005, July;Discontinued;109 x 50 x 29 mm (4.29 x 1.97 x 1.14 in);140 g (4.94 oz);;Mini-SIM;TFT, 256K colors;2.4 inches, 36 x 48 mm, 17.8 cm(~32.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;miniSD, 64 MB included;8MB;3.15 MP, 2x optical zoom;LED flash;320p;Videocall camera;;No;1.1;No;;No;Proprietary;;Removable Li-Ion 900 mAh battery;Black;;;;;;;;3D stereo sound;;;Up to 250 h;Up to 4 h;MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memoBarcode reading;;;
https://www.gsmarena.com/sharp_703-1240.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-703.gif;Sharp 703;Released 2005, July;107g, 23mm thickness;Feature phone;8MB storage, miniSD slot;9;N/A;346,827 hits;"2.0""";240x320 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2005, July;Discontinued;99 x 47 x 23 mm (3.90 x 1.85 x 0.91 in);107 g (3.77 oz);;Mini-SIM;TFT, 256K colors;2.0 inches, 30 x 40 mm, 12.4 cm(~26.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;;miniSD;8MB;1.3 MP;;320p;Videocall camera;;No;1.1;No;;No;Proprietary;;Removable Li-Ion battery;Black;;;;;;;;;;;Up to 290 h;Up to 4 h;MP3/AAC/AAC+ playerPredictive text inputOrganizer;;;Second external mono display 72 x 12 pixels
https://www.gsmarena.com/sharp_gx17-1246.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-gx17.gif;Sharp GX17;Released 2005, Q1;85g, 17.4mm thickness;Feature phone;No card slot;12;N/A;434,683 hits;"1.9""";120x160 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2005, Q1;Discontinued;106 x 45.5 x 17.4 mm (4.17 x 1.79 x 0.69 in);85 g (3.00 oz);;Mini-SIM;TFT, 65K colors;1.9 inches, 11.2 cm(~23.2% screen-to-body ratio);120 x 160 pixels, 4:3 ratio (~105 ppi density);;;;;No;;VGA;;Yes;No;;No;1.1;No;;No;Proprietary;;Removable Li-Ion (XN-1BT30);;;;;;;;;;;;Up to 290 h;Up to 3 h 50 min;Predictive text inputOrganizerVoice memo;Class 10;No;
https://www.gsmarena.com/sharp_gx40-1466.php;https://fdn2.gsmarena.com/vv/bigpic/sharp-gx40.gif;Sharp GX40;Released 2005, Q2;98g, 22mm thickness;Feature phone;miniSD slot;10;N/A;156,457 hits;;240x320 pixels, 2.0 inch; ;;650 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2005, Q2;Discontinued;93 x 46 x 22 mm (3.66 x 1.81 x 0.87 in);98 g (3.46 oz);;Mini-SIM;TFT, 256K colors;;240 x 320 pixels, 2.0 inch, 4:3 ratio;;;;;miniSD;;1.3 MP;;QCIF;No;;No;1.1;No;;FM radio;Proprietary;;Removable Li-Ion battery;;;;;;;;;;;;Up to 290 h;Up to 3 h 50 min;Video playerMP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo;Class 10;No;
https://www.gsmarena.com/sharp_902-895.php;https://fdn2.gsmarena.com/vv/bigpic/sh902.gif;Sharp 902;Released 2004, Q3;149g, 26mm thickness;Feature phone;26MB storage, SD/MMC slot;14;N/A;652,560 hits;"2.4""";240x320 pixels; ;;870 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2004, Q3;Discontinued;102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in);149 g (5.26 oz);;Mini-SIM;TFT, 256K colors;2.4 inches, 36 x 48 mm, 17.8 cm(~35.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;SD/MMC, up to 1 GB, 32 MB included;26MB;2 MP, 2x optical zoom;LED flash;Yes;Yes;;No;1.1;No;;No;miniUSB;;Removable Li-Ion 870 mAh battery (XN-1BT90);Mirror White, Titanium Gray, Warm Orange;;;;;;;;;;;Up to 140 h;Up to 3 h;Video streaming and downloadMP3/MP4 playerPredictive text inputOrganizerPhoto editorVoice dial/memo;;;Second external display 72 x 12 pixels180 degree swiveling display
https://www.gsmarena.com/sharp_802-896.php;https://fdn2.gsmarena.com/vv/bigpic/sh802.gif;Sharp 802;Released 2004, Q3;149g, 26mm thickness;Feature phone;8MB storage, SD/MMC slot;11;N/A;281,736 hits;"2.4""";240x320 pixels; ;;870 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2004, Q3;Discontinued;102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in);149 g (5.26 oz);;Mini-SIM;TFT, 256K colors;2.4 inches, 36 x 48 mm, 17.8 cm(~35.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;SD/MMC, 32 MB included;8MB;1.3 MP;LED flash;Yes;Yes;;No;1.1;No;;No;miniUSB;;Removable Li-Ion 870 mAh battery (XN-1BT90);Silver;;;;;;;;;;;;;Video streaming and downloadPredictive text inputMP3/MP4 playerOrganizerPhoto editor;;;180 deg swivel
https://www.gsmarena.com/sharp_tm200-938.php;https://fdn2.gsmarena.com/vv/bigpic/shtm200.gif;Sharp TM200;Released 2004, Q4;120g, 27mm thickness;Feature phone;9MB storage, SD slot;9;N/A;222,548 hits;"2.2""";320x240 pixels; ;;840 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, Q4;Discontinued;96 x 49 x 27 mm (3.78 x 1.93 x 1.06 in);120 g (4.23 oz);;Mini-SIM;TFT, 256K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~31.9% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;;;;SD;9MB;2 MP, AF;LED flash;Yes;No;;No;1.1;No;;No;;;Removable Li-Ion 840 mAh battery;;;About 460 EUR;;;;;;;;;Up to 220 h;Up to 3 h 20 min;MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memo;Class 10;No;Second external TFT display (64 x 96 pixels), 65K colors
https://www.gsmarena.com/sharp_gx25_gz200-924.php;https://fdn2.gsmarena.com/vv/bigpic/shgx25.gif;Sharp GX25/GZ200;Released 2004, Q3;90g, 23.5mm thickness;Feature phone;No card slot;16;N/A;514,463 hits;;320x240 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, Q3;Discontinued;92 x 46 x 23.5 mm (3.62 x 1.81 x 0.93 in);90 g (3.17 oz);;Mini-SIM;TFT, 256K colors;;320 x 240 pixels, 4:3 ratio;;;;;No;;VGA;LED flash;Yes;No;;No;1.1;No;;No;;;Removable Li-Ion 780 mAh battery;;;;;;;2.1 MB memory for gallery0.8 MB memory for MMS200 short messages;;;;;Up to 250 h;Up to 3 h 30 min;Predictive text inputOrganizerVoice memo;Class 10;No;Static and animated(GIF) wallpapers
https://www.gsmarena.com/sharp_tm150-872.php;https://fdn2.gsmarena.com/vv/bigpic/shtm150.gif;Sharp TM150;Released 2004, Q3;113g, 25mm thickness;Feature phone;6MB storage, SD/MMC slot;9;N/A;202,292 hits;"2.2""";240x320 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, Q3;Discontinued;93 x 43 x 25 mm (3.66 x 1.69 x 0.98 in);113 g (3.99 oz);;Mini-SIM;TFT, 256K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~37.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;;;SD/MMC;6MB;1 MP;;Yes;No;;No;No;No;;No;1.1;;Removable Li-Ion 780 mAh battery;;;;;;;;;;;;Up to 200 h;Up to 3 h 20 min;Predictive text inputOrganizerVoice memo;Class 10;No;Second external 65K colors display 64 x 96 pixels
https://www.gsmarena.com/sharp_tm100-714.php;https://fdn2.gsmarena.com/vv/bigpic/shtm100.gif;Sharp TM100;Released 2004, Q1;95g, 19mm thickness;Feature phone;No card slot;11;N/A;353,642 hits;;240x320 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, Q1;Discontinued;100 x 49 x 19 mm (3.94 x 1.93 x 0.75 in);95 g (3.35 oz);;Mini-SIM;CGS, 256K colors;;240 x 320 pixels, 4:3 ratio;;;;;No;;VGA;;Yes;No;;No;No;No;;No;Proprietary;;Removable Li-Ion 780 mAh battery;;;About 330 EUR;;;;;;;;;Up to 200 h;Up to 3 h;Predictive text inputPhoto editorOrganizerVoice memo (60 sec.);Class 10;No;
https://www.gsmarena.com/sharp_v801sh-645.php;https://fdn2.gsmarena.com/vv/bigpic/shv801.gif;Sharp V801SH;Released 2004, Q1;126g, 26mm thickness;Feature phone;5MB storage, SD slot;9;N/A;245,514 hits;"2.4""";240x320 pixels, 20 lines; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;;Yes, 384 kbps;2004, Q1;Discontinued;102 x 50 x 26 mm (4.02 x 1.97 x 1.02 in);126 g (4.44 oz);;Mini-SIM;TFT, 256K colors;2.4 inches, 36 x 48 mm, 17.8 cm(~35.0% screen-to-body ratio);240 x 320 pixels, 20 lines, 4:3 ratio (~167 ppi density);;;;;SD, 16 MB included;5MB;1 MP;;Yes;No;;No;No;No;;No;Proprietary;;Removable Li-Ion battery;4 - Noble White, Precious Black, Shanghai Red...;;;;;;;;;;;Up to 220 h;Up to 3 h;Audio/video playerPredictive text inputBarcode reading/creationOrganizerWorld ClockVoice memo;;;Second external display (64 x 96 pixels), 65K colorsFour-way navigation
https://www.gsmarena.com/sharp_gx30-629.php;https://fdn2.gsmarena.com/vv/bigpic/shgx30.gif;Sharp GX30;Released 2004, Q1;110g, 26mm thickness;Feature phone;6MB storage, SD slot;17;N/A;625,562 hits;"2.2""";240x320 pixels, 8 lines; ;;780 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;2004, Q1;Discontinued;95 x 49 x 26 mm (3.74 x 1.93 x 1.02 in);110 g (3.88 oz);;Mini-SIM;CGS, 256K colors;2.2 inches, 33 x 45 mm, 15.0 cm(~32.2% screen-to-body ratio);240 x 320 pixels, 8 lines, 4:3 ratio (~182 ppi density);;;;;SD, 16 MB included;6MB;1 MP;LED flash;Yes;No;;No;1.1;No;;No;Proprietary;;Removable Li-Ion 780 mAh battery;;;;;;;Voice memo (max 10 sec each);;;;;Up to 250 h;Up to 3 h;MP3 playerPredictive text inputOrganizer;Class 10;No;Second external display (64 x 96 pixels), 65K colorsFour-way navigationStatus light in 7 colors
https://www.gsmarena.com/sharp_gx15_gz100-779.php;https://fdn2.gsmarena.com/vv/bigpic/shgx15.gif;Sharp GX15/GZ100;Released 2004;90g, 18mm thickness;Feature phone;1.8MB storage, no card slot;13;N/A;448,634 hits;;120x160 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004;Discontinued;105 x 45 x 18 mm (4.13 x 1.77 x 0.71 in);90 g (3.17 oz);;Mini-SIM;TFT, 65K colors;;120 x 160 pixels, 4:3 ratio;;;;;No;1.8MB;VGA;;Yes;No;;No;1.1;No;;No;Proprietary;;Removable Li-Ion 780 mAh battery;Silver;;;;;;;;;;;Up to 210 h;Up to 3 h 30 min;Predictive text inputOrganizerChangeable Covers;Class 10;No;Four-way navigationWallpapers
https://www.gsmarena.com/sharp_gx22-595.php;https://fdn2.gsmarena.com/vv/bigpic/shgx22.gif;Sharp GX22;Released 2003, Q3;102g, 25mm thickness;Feature phone;2MB storage, no card slot;10;N/A;217,851 hits;;240x320 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, Q3;Discontinued;94 x 49 x 25 mm (3.70 x 1.93 x 0.98 in);102 g (3.60 oz);;Mini-SIM;CGS, 256K colors;;240 x 320 pixels, 4:3 ratio;;;;;No;2MB;VGA;LED flash;No;No;;No;No;No;;No;;;Removable Li-Ion 720 mAh battery;;;;;;;;;;;;Up to 250 h;Up to 3 h 30 min;Predictive text inputOrganizerVoice memo;Yes;No;Second external display (80 x 60 pixels), 65K colorsFour-way navigationStatus light in 7 colors
https://www.gsmarena.com/sharp_gx20-510.php;https://fdn2.gsmarena.com/vv/bigpic/shgx20.gif;Sharp GX20;Released 2003, Q3;102g, 25mm thickness;Feature phone;2MB storage, no card slot;12;N/A;366,081 hits;;240x320 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, Q3;Discontinued;95 x 49 x 25 mm (3.74 x 1.93 x 0.98 in);102 g (3.60 oz);;Mini-SIM;CGS, 65K colors;;240 x 320 pixels, 4:3 ratio;;;;;No;2MB;VGA;LED flash;Yes;No;;No;No;No;;No;;;Removable Li-Ion 720 mAh battery;;;;;;;;;;;;Up to 250 h;Up to 3 h 30 min;Predictive text inputOrganizerVoice memo;Class 8;No;Second external display (80 x 60 pixels), 65K colorsFour-way navigationStatus light in 7 colors
https://www.gsmarena.com/sharp_gx10i-461.php;https://fdn2.gsmarena.com/vv/bigpic/shgx10i.gif;Sharp GX10i;Released 2003, May;110g, 27mm thickness;Feature phone;No card slot;13;N/A;350,620 hits;;120x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, May;Discontinued;94 x 49 x 27 mm (3.70 x 1.93 x 1.06 in);110 g (3.88 oz);;Mini-SIM;TFT, 65K colors;;120 x 160 pixels, 4:3 ratio;;;;;No;;CIF;;No;No;;No;No;No;;No;;;Removable Li-Ion 720 mAh battery;;;;;;;700 KB memory for pictures100 calendar entries20 short messages10 sec per voice memo record;;;;;Up to 250 h;Up to 3 h 30 min;Predictive text inputOrganizerVoice memo;Class 10;No;Second external display, monochrome, 1 line + iconsFour-way navigationWallpapers
https://www.gsmarena.com/sharp_gx10-460.php;https://fdn2.gsmarena.com/vv/bigpic/shgx10.gif;Sharp GX10;Released 2002, Oct;110g, 27mm thickness;Feature phone;No card slot;16;N/A;222,792 hits;;120x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;;2002, Oct;Discontinued;94 x 49 x 27 mm (3.70 x 1.93 x 1.06 in);110 g (3.88 oz);;Mini-SIM;TFT, 65K colors;;120 x 160 pixels, 4:3 ratio;;;;;No;;CIF;;No;No;;No;No;No;;No;;;Removable Li-Ion 720 mAh battery;;;;;;;700 KB memory for pictures100 calendar entries20 short messages10 sec per voice memo record;;;;;Up to 250 h;Up to 3 h 30 min;Predictive text inputOrganizerVoice memo;Class 10;No;Second external display, monochrome, 1 line + iconsFour-way navigationWallpapers
https://www.gsmarena.com/sharp_gx1-459.php;https://fdn2.gsmarena.com/vv/bigpic/shgx1.gif;Sharp GX1;Released 2002, Oct;110g, 23mm thickness;Feature phone;No card slot;14;N/A;143,461 hits;;120x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;;2002, Oct;Discontinued;133 x 46 x 23 mm (5.24 x 1.81 x 0.91 in);110 g (3.88 oz);;Mini-SIM;GFC, 65K Colors;;120 x 160 pixels, 4:3 ratio;;;;;No;;CIF;;No;No;;No;No;No;;No;;;Removable Li-Ion 720 mAh battery;;;;;;;700 KB memory for pictures100 calendar entries20 short messages10 sec per voice memo record;;;;;Up to 250 h;Up to 3 h 30 min;Predictive text inputOrganizerVoice memo;Class 10;No;Four-way navigationWallpapers
