Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;gprstext;edge;internalmemory;featuresother;batstandby1;battalktime1;displayother;bodyother;batmusicplayback1;price
https://www.gsmarena.com/icemobile_prime_plus-5101.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime-plus.jpg;Icemobile Prime Plus;Released 2012, October;135g, 10.5mm thickness;Android 4.0;4GB 512MB RAM storage, microSDHC slot;7;N/A;124,549 hits;"5.0""";480x800 pixels;512 MB RAM;Snapdragon S4 Play;2150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA;2012, October. Released 2012, October;Discontinued;141.6 x 76.1 x 10.5 mm (5.57 x 3.00 x 0.41 in);135 g (4.76 oz);Dual SIM (Mini-SIM);TFT;5.0 inches, 71.2 cm(~66.0% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~187 ppi density);Android 4.0 (Ice Cream Sandwich);Qualcomm MSM8225 Snapdragon S4 Play;Dual-core 1.0 GHz Cortex-A5;Adreno 203;microSDHC (dedicated slot);5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;4.0, EDR;GPS;No;No;microUSB 2.0, OTG;Accelerometer, proximity;Li-Ion 2150 mAh, removable;Black, White;;;4GB 512MB RAM;;Up to 120 h;Up to 8 h;;;;
https://www.gsmarena.com/icemobile_submarine-5076.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-submarine.jpg;Icemobile Submarine;Released 2012, October;135g, 20mm thickness;Feature phone;microSDHC slot;8;N/A;74,239 hits;"2.0""";176x144 pixels; ;;1800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2012, October. Released 2012, October;Discontinued;119 x 53 x 20 mm (4.69 x 2.09 x 0.79 in);135 g (4.76 oz);Dual SIM (Mini-SIM);TFT;2.0 inches, 12.6 cm(~20.1% screen-to-body ratio);176 x 144 pixels (~114 ppi density);;;;;microSDHC (dedicated slot);1.3 MP;;Yes;No;;Wi-Fi 802.11 b/g/n;Yes;No;No;FM radio;1.1;;Li-Ion 1800 mAh, removable;Black, Orange, Gray;Yes;No;;;Up to 550 h;Up to 12 h;;Flashlight;;
https://www.gsmarena.com/icemobile_charm-5075.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-charm.jpg;Icemobile Charm;Released 2012, October;20.8mm thickness;Feature phone;microSDHC slot;10;N/A;61,258 hits;"1.8""";128x160 pixels; ;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, October. Released 2012, October;Discontinued;92 x 43.5 x 20.8 mm (3.62 x 1.71 x 0.82 in);-;Dual SIM (Mini-SIM);TFT;1.8 inches, 10.2 cm(~25.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;microSDHC (dedicated slot);VGA;;No;No;;No;Yes;No;No;Stereo FM radio;miniUSB (charging only);;Li-Ion 800 mAh, removable;Black, Red, Silver, Blue, Pink;Class 10;No;;MP3/MP4 playerPredictive text input;Up to 150 h;Up to 7 h;;Flashlight;;
https://www.gsmarena.com/icemobile_apollo_touch-5074.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch.jpg;Icemobile Apollo Touch;Released 2012, October;;Android 2.3.6;microSDHC slot;9;N/A;78,189 hits;"3.5""";320x480 pixels;8 MB RAM;MT6515;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, October. Released 2012, October;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;3.5 inches, 36.5 cm;320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 2.3.6 (Gingerbread);Mediatek MT6515;1.0 GHz Cortex-A9;PowerVR SGX531;microSDHC (dedicated slot);2 MP;;Yes;VGA;;Wi-Fi 802.11 b/g/n;Yes;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1200 mAh, removable;White, Black, Pink, Blue, Green, Red, Yellow;Class 12;Yes;;MP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewerPhoto viewer/editor;;;;;;
https://www.gsmarena.com/icemobile_apollo-5073.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo.jpg;Icemobile Apollo;Released 2012, October;;Android 2.3.6;microSDHC slot;9;N/A;89,586 hits;"2.6""";480x320 pixels;8 MB RAM;MT6515;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, October. Released 2012, October;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;2.6 inches, 20.1 cm;480 x 320 pixels, 3:2 ratio (~222 ppi density);Android 2.3.6 (Gingerbread);Mediatek MT6515;1.0 GHz Cortex-A9;PowerVR SGX531;microSDHC (dedicated slot);2 MP;;Yes;VGA;;Wi-Fi 802.11 b/g/n;Yes;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1200 mAh, removable;White, Black, Pink, Blue, Green, Red;Class 12;Yes;;MP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewerPhoto viewer/editor;;;;;;
https://www.gsmarena.com/icemobile_sol_ii-4990.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-sol2.jpg;Icemobile Sol II;Released 2012, August;65g, 12.6mm thickness;Feature phone;microSDHC slot;7;N/A;66,542 hits;"2.8""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, August. Released 2012, August;Discontinued;101 x 55.6 x 12.6 mm (3.98 x 2.19 x 0.50 in);65 g (2.29 oz);Dual SIM (Mini-SIM);TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~43.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;;;;microSDHC (dedicated slot);1.3 MP;;Yes;No;;No;Yes;No;;Stereo FM radio;miniUSB (charging only);;Removable Li-Ion 1000 mAh battery;Black, Red, Pink, White, Blue;Class 10;No;;TV appOrganizerMP4 playerMP3 playerPredictive text input;Up to 200 h;Up to 8 h;;Flashlight;;
https://www.gsmarena.com/icemobile_diamond_dust-4904.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-diamond-dust.jpg;Icemobile Diamond Dust;Released 2012, August;12.8mm thickness;Feature phone;16MB ROM storage, microSDHC slot;6;N/A;69,473 hits;"2.2""";176x144 pixels;8 MB RAM;MT6252C;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, August. Released 2012, August;Discontinued;115 x 61 x 12.8 mm (4.53 x 2.40 x 0.50 in);-;Dual SIM (Mini-SIM);TFT;2.2 inches, 15.3 cm(~21.8% screen-to-body ratio);176 x 144 pixels (~103 ppi density);;Mediatek MT6252C;;;microSDHC (dedicated slot);VGA;;Yes;No;;Wi-Fi 802.11 b/g/n;2.0;No;;FM radio;Proprietary;;Removable Li-Ion 950 mAh battery;White, Black, Pink, Blue, Violet;Class 12;No;16MB ROM;TV appMP3/3gp playerOrganizerE-book readerUnit converter;;;;;;
https://www.gsmarena.com/icemobile_blizzard-4741.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-blizzard.jpg;Icemobile Blizzard;Released 2012, May;13.5mm thickness;Feature phone;128MB 32MB storage, microSD slot;7;N/A;64,468 hits;"2.0""";176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;;2012, May;Discontinued;106.3 x 46 x 13.5 mm (4.19 x 1.81 x 0.53 in);-;Dual SIM (Mini-SIM, dual stand-by);TFT;2.0 inches, 12.6 cm(~25.7% screen-to-body ratio);176 x 220 pixels;;;;;microSD (dedicated slot);VGA;;Yes;No;;No;2.0, A2DP;No;;FM radio;microUSB;;Removable Li-Ion 1000 mAh battery;Black, Silver, Red, Blue, Pink;Yes;No;128MB 32MB;Mobile TVMP3/MP4 playerOrganizerPredictive text input;Up to 100 h;Up to 2 h 10 min;;Flashlight;;
https://www.gsmarena.com/icemobile_rock_lite-4740.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-lite.jpg;Icemobile Rock Lite;Released 2012, May;51g without battery, 13.9mm thickness;Feature phone;microSD slot;4;N/A;67,434 hits;"1.8""";128x160 pixels; ;;700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, May;Discontinued;108 x 47 x 13.9 mm (4.25 x 1.85 x 0.55 in);51 g without battery (1.80 oz);Dual SIM (Mini-SIM);TFT;1.8 inches, 10.2 cm(~20.1% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;;;microSD (dedicated slot);No;;;;;No;No;No;;Stereo FM radio;miniUSB (charging only);;Removable Li-Ion 700 mAh battery;Black, Red, White, Red, Silver;No;No;;MP3/MP4 playerPredictive text input;Up to 180 h;Up to 6 h;;Flashlight;;
https://www.gsmarena.com/icemobile_cenior-4742.php;https://fdn2.gsmarena.com/vv/bigpic/icemobile-cenior.jpg;Icemobile Cenior;Released 2012, May;16mm thickness;Feature phone;64MB 32MB storage, microSDHC slot;7;N/A;69,954 hits;"1.8""";128x160 pixels; ;;1200 mAh Li-Ion;GSM 850 / 1900 - SIM 1 & SIM 2;;;;2012, May;Discontinued;110 x 46 x 16 mm (4.33 x 1.81 x 0.63 in);-;Dual SIM (Mini-SIM);TFT;1.8 inches, 10.2 cm(~20.2% screen-to-body ratio);128 x 160 pixels;;;;;microSDHC (dedicated slot);VGA;;Yes;No;;No;2.0, A2DP (optional);No;;FM radio;microUSB;;Removable Li-Ion 1200 mAh battery;Black, Brown, Red;Yes;No;64MB 32MB;MP3/MP4 playerOrganizer;Up to 150 h;Up to 3 h 20 min;;Flashlight;;
