Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;chipset;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;price;net4g;os;cpu;gpu;cam2video;sar-eu;batlife;batmusicplayback1;sar-us;bodyother;optionalother;gprstext;edge
https://www.gsmarena.com/pantech_element-4426.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-element.jpg;Pantech Element;Released 2012, January;469.8g, 10.7mm thickness;Android 4.0;16GB storage, microSDHC;11;N/A;232,693 hits;"8.0""";768x1024 pixels;1 GB RAM;Snapdragon S3;6400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA, LTE;2012, January. Released 2012, January;Discontinued;212.3 x 155.4 x 10.7 mm (8.36 x 6.12 x 0.42 in);469.8 g (1.03 lb);Micro-SIM;TFT;8.0 inches, 198.2 cm(~60.1% screen-to-body ratio);768 x 1024 pixels, 4:3 ratio (~160 ppi density);;Qualcomm APQ8060 Snapdragon S3;microSDHC (dedicated slot);16GB 1GB RAM;5 MP, AF;LED flash;720p;2 MP;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;3.0, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, gyro, compass;HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerPredictive text input;Non-removable Li-Ion 6400 mAh battery;Up to 600 h;Up to 12 h;Black;About 220 EUR;17;Android 4.0 (Ice Cream Sandwich);Dual-core 1.5 GHz Scorpion;Adreno 220;;;;;;IP57 dust/water resistant (up to 1m. and 30 min);;;
https://www.gsmarena.com/pantech_hotshot-4293.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-hotshot.jpg;Pantech Hotshot;Released 2011, October;91g, 9mm thickness;Feature phone;microSDHC slot;5;N/A;151,330 hits;"3.2""";240x400 pixels; ;;1000 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1x;EV-DO Rev.0, 153.2 Kbps;2011, October. Released 2011, October;Discontinued;119 x 60 x 9 mm (4.69 x 2.36 x 0.35 in);91 g (3.21 oz);Mini-SIM;TFT, 256K colors;3.2 inches, 29.1 cm(~40.8% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);;;microSDHC (dedicated slot), 2 GB included;;3.15 MP;;Yes;No;No;3.0, A2DP;GPS, A-GPS, VZ Navigator;;No;microUSB 2.0;Proximity;MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 342 h;Up to 5 h;Black, Red;;;;;;;;;;1.32 W/kg (head)     0.78 W/kg (body);;;;
https://www.gsmarena.com/pantech_link_ii-4292.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-link-ii.jpg;Pantech Link II;Released 2011, October;94g, 10mm thickness;Feature phone;200MB storage, microSDHC slot;6;N/A;141,378 hits;"2.4""";320x240 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA;2011, October. Released 2011, October;Discontinued;114 x 61 x 10 mm (4.49 x 2.40 x 0.39 in);94 g (3.32 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~25.7% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);200MB;2 MP;;Yes;No;No;2.1, A2DP;GPS, A-GPS;;No;2.0;;MP3/WAV/eAAC+/WMA playerMP4/H.263/WMV playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 250 h;Up to 3 h;Black;;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_pocket_p9060-4245.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-pocket.jpg;Pantech Pocket P9060;Released 2011, December;132.1g, 11.3mm thickness;Android 2.3;600MB storage, microSDHC slot;17;N/A;355,250 hits;"4.0""";600x800 pixels;600 MB RAM;;1650 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA 21.1/5.76 Mbps;2011, October. Released 2011, December;Discontinued;114.7 x 78 x 11.3 mm (4.52 x 3.07 x 0.44 in);132.1 g (4.66 oz);Mini-SIM;TFT;4.0 inches, 49.5 cm(~55.4% screen-to-body ratio);600 x 800 pixels, 4:3 ratio (~250 ppi density);;;microSDHC (dedicated slot), 2 GB included;600MB;5 MP, AF;;720p;No;Wi-Fi 802.11 b/g, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;No;2.0;Accelerometer, proximity, compass;MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1650 mAh battery;Up to 250 h;Up to 3 h;Black;About 280 EUR;;Android 2.3 (Gingerbread);;;;;;;;;;;
https://www.gsmarena.com/pantech_jest_ii-4296.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-jest-ii.jpg;Pantech Jest II;Released 2011, October;116g, 15mm thickness;Feature phone;microSDHC slot;7;N/A;128,596 hits;"2.4""";320x240 pixels; ;;950 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1x;EV-DO Rev.0, 153.2 Kbps;2011, October. Released 2011, October;Discontinued;94 x 66 x 15 mm (3.70 x 2.60 x 0.59 in);116 g (4.09 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~28.8% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);;2 MP;;Yes;No;No;3.0, A2DP;GPS, VZ Navigator;;No;microUSB;;SNS integrationMP3/WAV/WMA/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion 950 mAh battery;Up to 322 h;Up to 4 h 54 min;Black;;;;;;;;;;1.15 W/kg (head)     1.17 W/kg (body);;2.5 mm audio jack;;
https://www.gsmarena.com/pantech_pursuit_ii-4038.php;https://fdn2.gsmarena.com/vv/bigpic/samsung-pantech-pursuit-ii.jpg;Pantech Pursuit II;Released 2011, July;127g, 15mm thickness;Feature phone;217MB storage, microSDHC slot;8;N/A;173,590 hits;"2.8""";240x320 pixels; ;QSC6270;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA 3.6/0.384 Mbps;2011, July. Released 2011, July;Discontinued;101 x 61 x 15 mm (3.98 x 2.40 x 0.59 in);127 g (4.48 oz);Mini-SIM;TFT, 256K colors;2.8 inches, 24.3 cm(~39.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;Qualcomm QSC6270;microSDHC (dedicated slot);217MB;2 MP;;Yes;No;No;2.0, A2DP, EDR;GPS, A-GPS;;No;2.0;;MP3/WAV/WMA playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 250 h;Up to 3 h;Pink, green, black;About 200 EUR;;;230 MHz;;;;;;0.49 W/kg (head)     0.59 W/kg (body);;;;
https://www.gsmarena.com/pantech_breakout-4294.php;https://fdn2.gsmarena.com/vv/bigpic/Pantech-Breakout.jpg;Pantech Breakout;Released 2011, September;138g, 12mm thickness;Android 2.3;1GB 512MB RAM storage, microSDHC slot;10;N/A;213,338 hits;"4.0""";480x800 pixels;512 MB RAM;;1500 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;EV-DO Rev.A 3.1 Mbps, LTE;2011, July. Released 2011, September;Discontinued;127 x 64 x 12 mm (5.0 x 2.52 x 0.47 in);138 g (4.87 oz);Mini-SIM;TFT, 256K colors;4.0 inches, 45.5 cm(~56.0% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;;microSDHC (dedicated slot), 8 GB included;1GB 512MB RAM;5 MP, AF;;720p;VGA;Wi-Fi 802.11 b/g/n, DLNA, hotspot;3.0, A2DP;GPS, A-GPS, VZ Navigator;;No;microUSB 2.0;Accelerometer, proximity;MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerVoice memoPredictive text input (Swype);Removable Li-Ion 1500 mAh battery;Up to 303 h;Up to 5 h 47 min;Black;;13;Android 2.3 (Gingerbread);1.0 GHz;;;;;;1.46 W/kg (head)     0.77 W/kg (body);;;;
https://www.gsmarena.com/pantech_breeze_iii-4075.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-iii.jpg;Pantech Breeze III;Released 2011, July;102g, 19mm thickness;Feature phone;80MB storage, microSDHC slot;6;N/A;165,227 hits;"2.2""";240x320 pixels; ;;920 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA 3.6/0.384 Mbps;2011, July. Released 2011, July;Discontinued;99 x 51 x 19 mm (3.90 x 2.01 x 0.75 in);102 g (3.60 oz);Mini-SIM;TFT,  256K colors;2.2 inches, 15.0 cm(~29.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);Secondary external display;;microSDHC (dedicated slot);80MB;1.3 MP;;Yes;No;No;Yes;No;;No;microUSB;;MP3/eAAC+/WMA/WAV playerMP4/WMV/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 920 mAh battery;Up to 336 h;Up to 5 h;Black/Silver;About 150 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_vega_xpress_im_a720l-3699.php;https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-X.jpg;Pantech Vega Xpress IM-A720L;Released 2011, Q2;119.8g, 10.8mm thickness;Android 2.2;512MB DDR2 RAM storage, microSDHC slot;8;N/A;298,777 hits;"4.0""";480x800 pixels;512 MB RAM;Snapdragon S2;1500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;HSPA;2010, December. Released 2011, Q2;Discontinued;122.5 x 63.9 x 10.8 mm (4.82 x 2.52 x 0.43 in);119.8 g (4.20 oz);Mini-SIM;TFT;4.0 inches, 45.5 cm(~58.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;Qualcomm MSM8255 Snapdragon S2;microSDHC (dedicated slot), 8 GB included;512MB DDR2 RAM;5 MP, AF;;Yes;Yes;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.1, A2DP;GPS, A-GPS;;No;2.0;Accelerometer;DMB TV tunerTV-outDivX/XviD/MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerVoice memo/dialPredictive text input;Removable Li-Po 1500 mAh battery;Up to 260 h;Up to 5 h 30 min;Black, White, Red;About 200 EUR;;Android 2.2 (Froyo);1.0 GHz Scorpion;Adreno 205;;0.93 W/kg (head);;;;;;;
https://www.gsmarena.com/pantech_s902-3637.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-s902.jpg;Pantech S902;Released 2010, November;104.4g, 12.9mm thickness;Feature phone;microSD slot;8;N/A;164,302 hits;"3.0""";240x400 pixels; ;;;GSM 900 / 1800 / 1900;;;2010, November. Released 2010, November;Discontinued;105.2 x 51.8 x 12.9 mm (4.14 x 2.04 x 0.51 in);104.4 g (3.67 oz);Mini-SIM;TFT,  256K colors;3.0 inches, 25.6 cm(~47.0% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);;;microSD (dedicated slot);;3.15 MP;LED flash;Yes;No;No;Yes;No;;No;Proprietary;;T-DMB TV tunerMP3/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion battery;Up to 314 h;Up to 3 h;Gold, White, Black;;;;;;;;;;;;;Yes;Yes
https://www.gsmarena.com/pantech_crux-3629.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-crux.jpg;Pantech Crux;Released 2010, November;122g, 13mm thickness;Feature phone;microSDHC slot;7;N/A;130,135 hits;"3.0""";240x400 pixels; ;;;CDMA 800 / 1900;CDMA2000 1xEV-DO;EV-DO Rev.0, 153.2 Kbps;2010, October. Released 2010, November;Discontinued;109 x 58 x 13 mm (4.29 x 2.28 x 0.51 in);122 g (4.30 oz);Mini-SIM;TFT resistive touchscreen, 256K colors;3.0 inches, 25.6 cm(~40.5% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);;;microSDHC (dedicated slot);;3.15 MP;;Yes;;No;2.1, A2DP;GPS, A-GPS, VZ Navigator;;No;2.0;;MP3/WAV playerMP4/H.263 playerOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion battery;Up to 324 h;Up to 5 h 20 min;Gray;;;;;;;;;;1.25 W/kg (head)     0.61 W/kg (body);;;;
https://www.gsmarena.com/pantech_laser_p9050-3543.php;https://fdn2.gsmarena.com/vv/bigpic/Pantech-Laser.jpg;Pantech Laser P9050;Released 2010, October;115g, 10mm thickness;Feature phone;microSDHC slot;9;N/A;169,476 hits;"3.1""";480x800 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA 3.6/0.384 Mbps;2010, October. Released 2010, October;Discontinued;113.8 x 57.9 x 10 mm (4.48 x 2.28 x 0.39 in);115 g (4.06 oz);Mini-SIM;AMOLED resistive touchscreen, 256K colors;3.1 inches, 27.4 cm(~41.5% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~301 ppi density);;;microSDHC (dedicated slot);;3.15 MP;;Yes;;No;2.0, A2DP, EDR;GPS, A-GPS;;;microUSB 2.0;;SNS integrationMP3/WAV/WMA playerMP4/H.263 playerMusic ID recognitionOrganizerVoice memo/dialPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 336 h;Up to 5 h;Gray/Blue;;;;;;;;;;0.74 W/kg (head)     0.93 W/kg (body);;;;
https://www.gsmarena.com/pantech_p4000-3456.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-p4000.jpg;Pantech P4000;Released 2010, Q3;99g, 12.5mm thickness;Feature phone;30MB storage, microSDHC slot;6;N/A;125,354 hits;"3.0""";240x400 pixels; ;;1000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;2010, August. Released 2010, Q3;Discontinued;110 x 57 x 12.5 mm (4.33 x 2.24 x 0.49 in);99 g (3.49 oz);Dual SIM (Mini-SIM);TFT,  256K colors;3.0 inches, 25.6 cm(~40.9% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);;;microSDHC (dedicated slot);30MB;3.15 MP;;Yes;No;No;2.0, A2DP;No;;Stereo FM radio, RDS;2.0;;MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Po 1000 mAh battery;Up to 450 h;Up to 4 h 30 min;Black Glossy/Black SF, Titan/Ivory, Ivory/Red;;;;;;;;;;;;;Class 10;Class 10
https://www.gsmarena.com/pantech_p1000-3457.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-p1000.jpg;Pantech P1000;Released 2010, Q3;75g, 14.9mm thickness;Feature phone;microSDHC slot;8;N/A;109,972 hits;"1.8""";128x160 pixels; ;;1100 mAh Li-Po;GSM 900 / 1800 - SIM 1;;;2010, August. Released 2010, Q3;Discontinued;97 x 53 x 14.9 mm (3.82 x 2.09 x 0.59 in);75 g (2.65 oz);Dual SIM (Mini-SIM);TFT,  256K colors;1.8 inches, 10.2 cm(~19.8% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;microSDHC (dedicated slot);;1.3 MP;;No;No;No;2.0, A2DP;No;;Stereo FM radio, RDS;2.0;;MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Po 1100 mAh battery;Up to 600 h;Up to 4 h 30 min;Black, Silver, Pink, Ivory-Brown;;;;;;;;;;;;;Class 10;No
https://www.gsmarena.com/pantech_sky_izar_im_a630k-3419.php;https://fdn2.gsmarena.com/vv/bigpic/Pantech-A630K.jpg;Pantech SKY Izar IM-A630K;Released 2010, July;106.2g, 13.4mm thickness;Android 2.1;4GB storage, microSDHC slot;7;N/A;222,975 hits;"3.2""";480x800 pixels; ;Snapdragon S1;1100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;HSPA 7.2/0.384 Mbps;2010, July. Released 2010, July;Discontinued;114.4 x 55.4 x 13.4 mm (4.50 x 2.18 x 0.53 in);106.2 g (3.74 oz);Mini-SIM;TFT,  256K colors;3.2 inches, 29.1 cm(~46.0% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~292 ppi density);;Qualcomm MSM7227 Snapdragon S1;microSDHC (dedicated slot);4GB;5 MP, AF;;Yes;No;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;No;2.0;Accelerometer;DMB TV tunerMP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input;Removable Li-Po 1100 mAh battery;Up to 270 h;Up to 4 h 20 min;Black, White;;;Android 2.1 (Eclair);600 MHz ARM 11;Adreno 200;;;;;;;;;
https://www.gsmarena.com/pantech_jest-4295.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-jest.jpg;Pantech Jest;Released 2010, June;116g, 15mm thickness;Feature phone;975MB storage, microSDHC slot;6;N/A;69,406 hits;"2.6""";320x320 pixels; ;;920 mAh Li-Ion;CDMA 800 / 1900;;;2010, June. Released 2010, June;Discontinued;94 x 64 x 15 mm (3.70 x 2.52 x 0.59 in);116 g (4.09 oz);Mini-SIM;TFT, 256K colors;2.6 inches, 21.8 cm(~36.2% screen-to-body ratio);320 x 320 pixels, 1:1 ratio (~174 ppi density);;;microSDHC (dedicated slot);975MB;2 MP;;Yes;No;No;2.1, A2DP, EDR;No;;No;microUSB;;SNS applicationsMP3 playerMP4/H.263 playerOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion 920 mAh battery;Up to 358 h;Up to 4 h 36 min;Black;;;;;;;;;;0.89 W/kg (head)     0.27 W/kg (body);;2.5 mm audio jack;No;No
https://www.gsmarena.com/pantech_link-4291.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-link.jpg;Pantech Link;Released 2010, April;91g, 9.9mm thickness;Feature phone;microSDHC slot;8;N/A;108,691 hits;"2.4""";320x240 pixels; ;;930 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA;2010, March. Released 2010, April;Discontinued;115.2 x 60.9 x 9.9 mm (4.54 x 2.40 x 0.39 in);91 g (3.21 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~25.4% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);;1.3 MP;;320p@15fps;No;No;2.0, A2DP;GPS, A-GPS;;No;2.0;;MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 930 mAh battery;Up to 250 h;Up to 3 h;Black;;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_ease-3405.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-ease.jpg;Pantech Ease;Released 2010, June 20;99.2g, 14.2mm thickness;Feature phone;50MB storage, microSDHC slot;6;N/A;119,856 hits;"3.2""";240x400 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA 7.2/2 Mbps;2010, June. Released 2010, June 20;Discontinued;113.8 x 57.9 x 14.2 mm (4.48 x 2.28 x 0.56 in);99.2 g (3.49 oz);Mini-SIM;TFT, 256K colors;3.2 inches, 29.1 cm(~44.2% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);;;microSDHC (dedicated slot);50MB;2 MP;;Yes;No;No;2.0, A2DP;GPS, A-GPS;;No;2.0;;MP3/WAV/WMA playerMP4/H.263 playerOrganizer;Removable Li-Ion 1000 mAh battery;Up to 360 h;Up to 5 h;Black/Gray;About 180 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_pursuit-3393.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-pursuit.jpg;Pantech Pursuit;Released 2010, June;129.8g, 14.7mm thickness;Feature phone;50MB storage, microSDHC slot;9;N/A;114,911 hits;"2.8""";240x320 pixels; ;;930 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA 3.6/0.384 Mbps;2010, May. Released 2010, June;Discontinued;93.2 x 63.8 x 14.7 mm (3.67 x 2.51 x 0.58 in);129.8 g (4.55 oz);Mini-SIM;TFT resistive touchscreen, 256K colors;2.8 inches, 24.3 cm(~40.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;;microSDHC (dedicated slot);50MB;2 MP;;Yes;No;No;2.0, A2DP, EDR;"A-GPS only; AT&T Navigator";;No;2.0;;MP3/WAV/WMA playerMP4/H.263 playerMusic ID recognitionShake controlOrganizerVoice memoPredictive text input;Removable Li-Ion 930 mAh battery;Up to 360 h;Up to 5 h;Blue, Green;;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_impact-3013.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-impact-ofic.jpg;Pantech Impact;Released 2009, November;125g, 17.8mm thickness;Feature phone;80MB storage, microSDHC slot;9;N/A;153,721 hits;"2.6""";400x240 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA 3.6/0.384 Mbps;2009, November. Released 2009, November;Discontinued;106 x 52 x 17.8 mm (4.17 x 2.05 x 0.70 in);125 g (4.41 oz);Mini-SIM;TFT, 256K colors;2.6 inches, 19.2 cm(~34.9% screen-to-body ratio);400 x 240 pixels, 5:3 ratio (~179 ppi density);Secondary display;;microSDHC (dedicated slot);80MB;2 MP;;320p@15fps;No;No;2.0, A2DP;"A-GPS only; AT&T Navigator";;No;microUSB 2.0;;MP4/H.264 playerMP3/e-AAC+/WAV playerVoice dial/memoPredictive text input;Removable Li-Ion 950 mAh battery;Up to 336 h;Up to 5 h;Black, Pink;About 170 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_c790_reveal-3012.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-c790-reveal.jpg;Pantech C790 Reveal;Released 2009, October;112g, 14.8mm thickness;Feature phone;80MB storage, microSDHC slot;7;N/A;104,315 hits;"2.2""";320x240 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA 3.6/0.384 Mbps;2009, October. Released 2009, October;Discontinued;99 x 60 x 14.8 mm (3.90 x 2.36 x 0.58 in);112 g (3.95 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 2.2, 15.0 cm(~25.2% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;;microSDHC (dedicated slot);80MB;1.3 MP;;320p@15fps;No;No;2.0, A2DP;AT&T A-GPS only;;Stereo FM radio, RDS;2.0;;MP4/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion 950 mAh battery;Up to 244 h (2G) / - (3G);Up to 3 h (2G) / - (3G);Red, Blue;About 170 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_matrix_pro-2763.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-matrix-pro.jpg;Pantech Matrix Pro;Released 2009, February;122g, 21.6mm thickness;Microsoft Windows Mobile 6.1 Standard;128MB RAM storage, microSDHC slot;10;N/A;134,651 hits;"2.4""";240x320 pixels;128 MB RAM;;1320 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;HSPA 3.6/0.384 Mbps;2009, February. Released 2009, February;Discontinued;105.9 x 50.8 x 21.6 mm (4.17 x 2.0 x 0.85 in);122 g (4.30 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~33.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);128MB RAM, 256MB ROM;2 MP;;Yes;No;No;2.0, A2DP;GPS, A-GPS;;No;Proprietary;;AT&T NavigatorMP3/MP4 playerVoice memo;Removable Li-Po 1320 mAh battery;249 h;3 h;Steel Blue;About 210 EUR;;Microsoft Windows Mobile 6.1 Standard;528 MHz;;;;;;;Dual slide design;;;
https://www.gsmarena.com/pantech_slate-2574.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-slate.jpg;Pantech Slate;Released 2008, October;91g, 10mm thickness;Feature phone;20MB storage, no card slot;8;N/A;137,668 hits;"2.2""";220x176 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, October. Released 2008, October;Discontinued;107 x 64 x 10 mm (4.21 x 2.52 x 0.39 in);91 g (3.21 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 15.2 cm(~22.2% screen-to-body ratio);220 x 176 pixels (~128 ppi density);Jog Wheel;;No;20MB;1.3 MP;;Yes;No;No;1.2, A2DP;GPS;;No;2.0;;AT&T NavigatorMP3/MP4 playerVoice memoPredictive text input;Removable Li-Ion 950 mAh battery;Up to 240 h;Up to 3 h;Black;About 100 EUR;;;;;;;;;;;;Class 10;Class 10
https://www.gsmarena.com/pantech_matrix-2558.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-matrix.jpg;Pantech Matrix;Released 2008, October;132g, 20mm thickness;Feature phone;microSD slot;11;N/A;149,944 hits;;240x320 pixels; ;;;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA 3.6/0.384 Mbps;2008, October. Released 2008, October;Discontinued;102 x 50 x 20 mm (4.02 x 1.97 x 0.79 in);132 g (4.66 oz);Mini-SIM;TFT, 256K colors;;240 x 320 pixels, 4:3 ratio;;;microSD (dedicated slot);;1.3 MP;;Yes;No;No;1.2, A2DP;GPS;;No;Proprietary;;AT&T NavigatorMP3/MP4 playerVoice memo;Removable Li-Po battery;;;Gray, Blue;About 150 EUR;;;;;;;;;;Dual slide design;Full QWERTY keyboard;;
https://www.gsmarena.com/pantech_duo-2205.php;https://fdn2.gsmarena.com/vv/bigpic/pantech_duo.jpg;Pantech Duo;Released 2007, October;110g, 19.9mm thickness;Windows Mobile 6 Standard;64MB RAM storage, microSD slot;10;N/A;259,329 hits;"2.2""";240x320 pixels;64 MB RAM;;1320 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900;HSPA;2007, October. Released 2007, October;Discontinued;102 x 50 x 19.9 mm (4.02 x 1.97 x 0.78 in);110 g (3.88 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 15.0 cm(~29.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;microSD (dedicated slot);64MB RAM, 128MB ROM;1.3 MP;;No;No;No;1.2, A2DP;No;;No;1.1;;Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager;Removable Li-Po 1320 mAh battery;Up to 240 h;Up to 3 h;Black;About 110 EUR;;Windows Mobile 6 Standard;Marvell PXA270 416 MHz;;;;;;;Dual slide design;;;
