Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;displayprotection;chipset;gpu;memoryother;build;models;batstandby1;battalktime1;optionalother;gprstext;edge;sar-eu;bodyother;featuresother;displayother
https://www.gsmarena.com/panasonic_a200-911.php;https://fdn2.gsmarena.com/vv/bigpic/paa200.gif;Panasonic A200;Released 2004, Q4;77g, 18mm thickness;Feature phone;512 KB storage, no card slot;7;N/A;194,012 hits;;128x128 pixels; ;;730 mAh Li-Ion;GSM 900 / 1800;;;;2004, Q4;Discontinued;90 x 44 x 18 mm, 67 cc (3.54 x 1.73 x 0.71 in);77 g (2.72 oz);Mini-SIM;TFT, 65K colors;;128 x 128 pixels, 1:1 ratio;;;No;512 KB;No;;;;;;No;No;No;;No;;;Removable Li-Ion 730 mAh battery;3 - White, Black, Pink;;;;;;;;Up to 300 h;Up to 9 h;;Class 4;No;;;Predictive text inputOrganizerVoice memo;Wallpapers, themesDownloadable wallpapers
https://www.gsmarena.com/panasonic_a100_series-711.php;https://fdn2.gsmarena.com/vv/bigpic/paa100.gif;Panasonic A100 Series;Released 2004, Q1;66g, 17.8mm thickness;Feature phone;No card slot;21;0.1%;458,870 hits;;112x64 pixels, 3 lines; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, Q1;Discontinued;77 x 44 x 17.8 mm, 55 cc (3.03 x 1.73 x 0.70 in);66 g (2.33 oz);Mini-SIM;Graphics;;112 x 64 pixels, 3 lines, 16:9 ratio;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 780 mAh battery;3 - Black, Blue, Red;;;;;;;;Up to 230 h;Up to 8 h;;;No;;;Predictive text inputOrganizer;Wallpapers, screensavers
https://www.gsmarena.com/panasonic_p341i-672.php;https://fdn2.gsmarena.com/vv/bigpic/pap341i.gif;Panasonic P341i;Released 2004, Q1;92g, 24mm thickness;Feature phone;5MB storage, no card slot;7;N/A;166,443 hits;;132x176 pixels, 8 lines; ;;680 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, Q1;Discontinued;87 x 47 x 24 mm, 80 cc (3.43 x 1.85 x 0.94 in);92 g (3.25 oz);Mini-SIM;TFT, 65K colors;;132 x 176 pixels, 8 lines, 4:3 ratio;;;No;5MB;CIF;;No;No;;;No;Yes;No;;No;;;Removable Li-Ion 680 mAh battery;Anthrazit;;;;;;;;Up to 250 h;Up to 5 h;;Class 8;No;;;Predictive text inputSyncMLOrganizerVoice dial/memo;Second external display, 96 x 28 pixels with 7 color backlight5 way navigation keyDownloadable logos
https://www.gsmarena.com/panasonic_x68_x77-772.php;https://fdn2.gsmarena.com/vv/bigpic/pax77.gif;Panasonic X68/X77;Released 2004, Q2;86g, 28mm thickness;Feature phone;No card slot;9;N/A;195,733 hits;;128x128 pixels; ;;680 mAh Li-Ion;GSM 900 / 1800;;;;2004, Q2;Discontinued;77 x 50 x 28 mm (3.03 x 1.97 x 1.10 in);86 g (3.03 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;;;No;;CIF;;No;No;;;No;No;No;;No;;;Removable Li-Ion 680 mAh battery;Cool silver, Vivid red;;;;;;;;Up to 230  h;Up to 5 h;;Class 8;No;;;Predictive text inputOrganizerVoice memo;5 colors indicator for incoming callsDownloadable pictures
https://www.gsmarena.com/panasonic_x11-625.php;https://fdn2.gsmarena.com/vv/bigpic/pax11.gif;Panasonic X11;Released 2004, Q1;95g, 27mm thickness;Feature phone;No card slot;9;N/A;217,590 hits;;132x176 pixels; ;;660 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2004, Q1;Discontinued;87.3 x 48 x 27 mm (3.44 x 1.89 x 1.06 in);95 g (3.35 oz);Mini-SIM;TFT, 65K colors;;132 x 176 pixels, 4:3 ratio;;;No;;CIF;;No;No;;;No;Yes;No;;No;;;Removable Li-Ion 660 mAh battery;2 - Red, Blue;;;;;4 MB for photos2 MB for MMS;;;Up to 250 h;Up to 5 h;;Class 8;No;;;Predictive text inputOrganizer;Second external display, 96 x 28 pixels, 7 colors
https://www.gsmarena.com/panasonic_g70-557.php;https://fdn2.gsmarena.com/vv/bigpic/pag70.gif;Panasonic G70;Released 2003, Q4;88g, 27mm thickness;Feature phone;No card slot;18;N/A;334,746 hits;;128x96 pixels, 4 lines; ;;680 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, Q4;Discontinued;88 x 60 x 27 mm, 72 cc (3.46 x 2.36 x 1.06 in);88 g (3.10 oz);Mini-SIM;CSTN, 4096 colors;;128 x 96 pixels, 4 lines, 4:3 ratio;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 680 mAh battery;Red, Blue;;;;;;;;Up to 200 h;Up to 5 h;;Class 8;No;;;Biorhythm calendarOrganizer;Second external monochrome displayDownloadable logos
https://www.gsmarena.com/panasonic_g51-556.php;https://fdn2.gsmarena.com/vv/bigpic/pag51.gif;Panasonic G51;Released 2003, Q4;74g, 18mm thickness;Feature phone;No card slot;13;N/A;298,908 hits;;128x96 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, Q4;Discontinued;80 x 43 x 18 mm, 66 cc (3.15 x 1.69 x 0.71 in);74 g (2.61 oz);Mini-SIM;CSTN, 4096 colors;;128 x 96 pixels, 4:3 ratio;;;No;;No;;;;;;No;No;No;;No;;;Removable Li-Ion 780 mAh battery;Silver, Red, Blue (G51e:Pink,Gold. G51m:Blue,Silver);;;;;;;;Up to 200 h;Up to 2 h 30 min;;Class 8 (G51 Only);No;;;Predictive text inputOrganizer;Downloadable wallpapers
https://www.gsmarena.com/panasonic_x88-600.php;https://fdn2.gsmarena.com/vv/bigpic/pax88.gif;Panasonic X88;Released 2003, Q4;92g, 24mm thickness;Feature phone;No card slot;9;N/A;150,810 hits;;132x176 pixels; ;;680 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, Q4;Discontinued;87 x 47 x 24 mm, 80 cc (3.43 x 1.85 x 0.94 in);92 g (3.25 oz);Mini-SIM;TFT, 65K colors;;132 x 176 pixels, 4:3 ratio;;;No;;CIF;;No;No;;;No;1.1;No;;No;;;Removable Li-Ion 680 mAh battery;Gold;;;;;4 MB for photos2 MB for MMS;;;Up to 250 h;Up to 5 h;;Yes;No;;;Predictive text inputOrganizer;Second external display, 96 x 28 pixels, 7 colors
https://www.gsmarena.com/panasonic_x66-456.php;https://fdn2.gsmarena.com/vv/bigpic/pax66.gif;Panasonic X66;Released;82g, 27mm thickness;Feature phone;4MB storage, no card slot;9;N/A;324,947 hits;;128x128 pixels, 6 lines; ;;680 mAh Li-Ion;GSM 900 / 1800;;;;;Discontinued;75 x 45 x 27 mm, 74 cc (2.95 x 1.77 x 1.06 in);82 g (2.89 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 6 lines, 1:1 ratio;;;No;4MB;CIF;;No;No;;;No;No;No;;No;;;Removable Li-Ion 680 mAh battery;Gold, Purple;;;;;;;;Up to 270 h;Up to 4 h 30 min;;Class 8;No;;;Predictive text inputOrganizer;5 way navigation keyWallpapers
https://www.gsmarena.com/panasonic_x70-412.php;https://fdn2.gsmarena.com/vv/bigpic/pax70.gif;Panasonic X70;Released 2003, Q3;95g, 24mm thickness;Feature phone;4MB storage, no card slot;13;N/A;532,761 hits;;132x176 pixels, 7 lines; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;;;;2003, Q3;Discontinued;87 x 47 x 24 mm, 80 cc (3.43 x 1.85 x 0.94 in);95 g (3.35 oz);Mini-SIM;TFT, 65K colors;;132 x 176 pixels, 7 lines, 4:3 ratio;;;No;4MB;CIF;LED flash;No;No;;;No;1.1;No;;No;;;Removable Li-Ion 780 mAh battery;;;;;;100 organizer events3 x 14 sec voice memoSMS templates;;;Up to 250 h;Up to 5 h;;Class 8;No;;;Predictive text inputVoice memoOrganizer;Second b/w display 96 x 28 pixels, illuminates in 3 different colorsDownloadable logos
