Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;sar-eu;gpu;gprstext;edge;memoryother;cam2features;price;batstandby1;battalktime1;featuresother;bodyother;displayother;sar-us
https://www.gsmarena.com/celkon_c720-6188.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-c720.jpg;Celkon C720;Released 2014;12.1mm thickness;Android 4.2.2;4GB 512MB RAM storage, microSDHC slot;1;N/A;44,228 hits;"7.0""";458x800 pixels;512 MB RAM;;3000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2014;Discontinued;194.6 x 124 x 12.1 mm (7.66 x 4.88 x 0.48 in);-;Micro-SIM;TFT;7.0 inches, 136.3 cm(~56.5% screen-to-body ratio);458 x 800 pixels, 16:9 ratio (~132 ppi density);Android 4.2.2 (Jelly Bean);;Dual-core 1.0 GHz;microSDHC (dedicated slot);4GB 512MB RAM;3.15 MP;;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 3000 mAh, non-removable;White;0.41 W/kg (head)     0.53 W/kg (body);;;;;;;Up to 300 h;Up to 10 h;;;;
https://www.gsmarena.com/celkon_s1-6104.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-s1.jpg;Celkon S1;Released 2014, February;137g, 8.9mm thickness;Android 4.2.1;16GB storage, microSDHC;7;N/A;80,659 hits;"5.0""";1080x1920 pixels;1 GB RAM;;2300 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2014, February. Released 2014, February;Discontinued;144 x 71 x 8.9 mm (5.67 x 2.80 x 0.35 in);137 g (4.83 oz);Dual SIM;IPS LCD;5.0 inches, 68.9 cm(~67.4% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Android 4.2.1 (Jelly Bean);;Quad-core 1.5 GHz;microSDHC (dedicated slot);16GB 1GB RAM;13 MP, AF;LED flash;Yes;8 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2300 mAh battery;Black;;;;;;;;;;;;;
https://www.gsmarena.com/celkon_a40-6000.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-a40.jpg;Celkon A40;Released 2014, January;126.5, 10.8mm thickness;Android 4.2.2;4GB 512MB RAM storage, microSDHC slot;6;N/A;250,977 hits;"4.0""";480x800 pixels;512 MB RAM;;1500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2014, January. Released 2014, January;Discontinued;126.2 x 64 x 10.8 mm (4.97 x 2.52 x 0.43 in);126.5 (4.44 oz);Dual SIM;TFT;4.0 inches, 45.5 cm(~56.4% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.2.2 (Jelly Bean);;Dual-core 1.3 GHz;microSDHC (dedicated slot);4GB 512MB RAM;5 MP;;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1500 mAh battery;White, Yellow, Blue;;;Yes;Yes;;;;;;;;;
https://www.gsmarena.com/celkon_ar50-5917.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-ar50.jpg;Celkon AR50;Released 2013, December;140g, 9.8mm thickness;Android 4.2.2;4GB 512MB RAM storage, microSDHC slot;3;N/A;87,586 hits;"5.0""";540x960 pixels;512 MB RAM;;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2013, December. Released 2013, December;Discontinued;144.3 x 73.4 x 9.8 mm (5.68 x 2.89 x 0.39 in);140 g (4.94 oz);Dual SIM;TFT;5.0 inches, 68.9 cm(~65.1% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~220 ppi density);Android 4.2.2 (Jelly Bean);;Dual-core 1.2 GHz;microSDHC (dedicated slot);4GB 512MB RAM;5 MP;;Yes;Yes;;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;No;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh battery;White;0.85 W/kg (head)     0.93 W/kg (body);;;;;;About 60 EUR;;;;;;
https://www.gsmarena.com/celkon_ar40-5916.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-ar40.jpg;Celkon AR40;Released 2013, December;126.5, 10.8mm thickness;Android 4.2.2;4GB 512MB RAM storage, microSDHC slot;6;N/A;154,444 hits;"4.0""";480x800 pixels;512 MB RAM;;1500 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100;HSPA;2013, December. Released 2013, December;Discontinued;126.2 x 64 x 10.8 mm (4.97 x 2.52 x 0.43 in);126.5 (4.44 oz);Dual SIM;TFT;4.0 inches, 45.5 cm(~56.4% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 4.2.2 (Jelly Bean);;Dual-core 1.3 GHz;microSDHC (dedicated slot);4GB 512MB RAM;3.15 MP;;Yes;Yes;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1500 mAh battery;Yellow;0.69 W/kg (head)     0.71 W/kg (body);;;;;;;;;;;;
https://www.gsmarena.com/celkon_ar45-5765.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-ar45.jpg;Celkon AR45;Released 2013, October;;Android 4.2.2;4GB 512MB RAM storage, microSDHC slot;3;N/A;135,043 hits;"4.5""";960x854 pixels;512 MB RAM;MT6572;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 2100 - SIM 1 & SIM 2;HSPA;2013, October. Released 2013, October;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;4.5 inches, 64.9 cm;960 x 854 pixels (~286 ppi density);Android 4.2.2 (Jelly Bean);Mediatek MT6572 (28 nm);Dual-core 1.2 GHz Cortex-A7;microSDHC (dedicated slot);4GB 512MB RAM;5 MP;;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;Yes;No;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh battery;White;0.74 W/kg (head)     0.68 W/kg (body);Mali-400;;;;;About 90 EUR;;;;;;
https://www.gsmarena.com/celkon_a15-5764.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-a15.jpg;Celkon A15;Released 2013, October;;Android 4.2.2;512MB 256MB RAM storage, microSDHC slot;6;N/A;218,503 hits;"3.5""";320x480 pixels;256 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, October. Released 2013, October;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;3.5 inches, 36.5 cm;320 x 480 pixels, 3:2 ratio (~165 ppi density);Android 4.2.2 (Jelly Bean);;Dual-core 1.0 GHz;microSDHC (dedicated slot);512MB 256MB RAM;3.15 MP;;Yes;VGA;;Wi-Fi 802.11 b/g/n, hotspot;Yes;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh battery;White;0.68 W/kg (head)     0.60 W/kg (body);;Class 12;Yes;;;About 50 EUR;;;;;;
https://www.gsmarena.com/celkon_c7045-5734.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-c7045.jpg;Celkon C7045;Released 2013, September;;Feature phone;microSDHC slot;2;N/A;100,951 hits;"3.5""";320x480 pixels; ;;1200 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, September. Released 2013, September;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;3.5 inches, 36.5 cm;320 x 480 pixels, 3:2 ratio (~165 ppi density);;;;microSDHC (dedicated slot);;1.3 MP;;Yes;No;;No;Yes;No;No;FM radio;Proprietary;;Li-Ion 1200 mAh, removable;Black;0.59 W/kg (head)     0.40 W/kg (body);;Yes;No;;;About 30 EUR;;;Auto call recordReject by SMSMP4/H.263 playerMP3/WAV player;;;
https://www.gsmarena.com/celkon_c605-5733.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-c605.jpg;Celkon C605;Released 2013, September;;Feature phone;microSDHC slot;1;N/A;50,796 hits;"1.8""";128x160 pixels; ;;2200 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, September. Released 2013, September;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;1.8 inches, 10.2 cm;128 x 160 pixels (~114 ppi density);;;;microSDHC (dedicated slot);;Yes;;Yes;No;;No;Yes;No;No;FM radio;Proprietary;;Li-Ion 2200 mAh, removable;Black;0.49 W/kg (head)     0.63 W/kg (body);;Yes;No;;;About 10 EUR;;;Auto call recordReject by SMSMP4/H.263 playerMP3/WAV player;;;
https://www.gsmarena.com/celkon_c399-5732.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-c399.jpg;Celkon C399;Released 2013, September;;Feature phone;microSDHC slot;1;N/A;58,193 hits;"2.4""";240x320 pixels; ;;1800 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, September. Released 2013, September;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;2.4 inches, 17.8 cm;240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;microSDHC (dedicated slot);;1.3 MP;;Yes;No;;No;Yes;No;No;FM radio;Proprietary;;Li-Ion 1800 mAh, removable;Black;0.98 W/kg (head)     0.86 W/kg (body);;Yes;No;;;About 20 EUR;;;Auto call recordReject by SMSMP4/H.263 playerMP3/WAV player;;;
