Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;memoryslot;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;bodyother;internalmemory;gprstext;edge;cam1features
https://www.gsmarena.com/i_mobile_903-2402.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-903.jpg;i-mobile 903;Released 2007, May;88g, 17mm thickness;Feature phone;64MB storage, microSD slot;6;N/A;73,384 hits;"2.0""";240x320 pixels; ;;850 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, May. Released 2007, May;Discontinued;106 x 47 x 17 mm (4.17 x 1.85 x 0.67 in);88 g (3.10 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~24.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);wallpapers;;microSD (dedicated slot), 1 GB included;2 MP;Yes;No;No;2.0, A2DP;No;FM radio;Proprietary;;MP3 playerMP4 playerTalkie Gang (short-distance radio transceiver function)OrganizerWorld clockStop watch;Removable Li-Ion 850 mAh battery;Up to 200 h;Up to 2 h;Black, White;;64MB;Class 10;No;
https://www.gsmarena.com/i_mobile_613-2400.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-613.jpg;i-mobile 613;Released 2007, December;74.5g, 18mm thickness;Feature phone;87MB storage, microSD slot;7;N/A;107,890 hits;"2.2""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, December. Released 2007, December;Discontinued;113 x 50 x 18 mm (4.45 x 1.97 x 0.71 in);74.5 g (2.61 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 15.0 cm(~26.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;microSD (dedicated slot), 1 GB included;3.15 MP, AF;Yes;No;No;1.2, A2DP;No;FM radio;Proprietary;Accelerometer;TV-outMP3 playerMP4 playerOrganizerWorld clockStop watch;Removable Li-Ion 1000 mAh battery;Up to 300 h;Up to 3 h;Black;;87MB;Class 12;No;
https://www.gsmarena.com/i_mobile_520-2399.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-520.jpg;i-mobile 520;Released 2007, December;80g, 12.4mm thickness;Feature phone;56MB storage, microSD slot;7;N/A;105,170 hits;"1.76""";176x220 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, December. Released 2007, December;Discontinued;104 x 46 x 12.4 mm (4.09 x 1.81 x 0.49 in);80 g (2.82 oz);Mini-SIM;TFT, 256K colors;1.76 inches, 9.7 cm(~20.4% screen-to-body ratio);176 x 220 pixels (~160 ppi density);wallpapers, themes;;microSD (dedicated slot), 1 GB included;1.3 MP;Yes;No;No;2.0, A2DP;No;FM radio;Proprietary;;Yamaha audio amplifierMP3 playerMP4 playerOrganizerWorld clockStop watch;Removable Li-Ion 750 mAh battery;Up to 200 h;Up to 3 h;Black, Silver;;56MB;Class 10;No;
https://www.gsmarena.com/i_mobile_518-2398.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-518.jpg;i-mobile 518;Released 2007, December;101g, 16.5mm thickness;Feature phone;88MB storage, microSD slot;7;N/A;94,149 hits;"2.0""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, December. Released 2007, December;Discontinued;105.5 x 49 x 16.5 mm (4.15 x 1.93 x 0.65 in);101 g (3.56 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~24.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);wallpapers;;microSD (dedicated slot);2 MP;Yes;No;No;2.0, A2DP;No;"FM radio, recording; built-in antenna";miniUSB;;TV-outMP3 playerMP4 playerVoice memoOrganizerWorld clockStop watchSolar-Lunar calendar;Removable Li-Ion 1000 mAh battery;Up to 250 h;Up to 3 h;Black;;88MB;Class 10;No;
https://www.gsmarena.com/i_mobile_510-2397.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-510.jpg;i-mobile 510;Released 2006, April;75g, 15mm thickness;Feature phone;64MB storage, microSD slot;6;N/A;79,749 hits;;128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, April. Released 2006, April;Discontinued;99 x 44 x 15 mm (3.90 x 1.73 x 0.59 in);75 g (2.65 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;wallpapers;;microSD (dedicated slot);VGA;Yes;No;No;No;No;FM radio;Proprietary;;MP3 playerVideo playerOrganizerWorld clockStop watch;Removable Li-Ion 720 mAh battery;Up to 200 h;Up to 3 h;;;64MB;Class 10;No;
https://www.gsmarena.com/i_mobile_318-2396.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-318.jpg;i-mobile 318;Released 2008, March;85.9g, 14.8mm thickness;Feature phone;120MB storage, microSD slot;7;N/A;104,476 hits;"1.8""";176x220 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;;;2008, March. Released 2008, March;Discontinued;107 x 45 x 14.8 mm (4.21 x 1.77 x 0.58 in);85.9 g (3.03 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~21.2% screen-to-body ratio);176 x 220 pixels (~157 ppi density);wallpapers, themes;;microSD (dedicated slot);VGA;Yes;No;No;1.2, A2DP;No;FM radio;Proprietary;;Yamaha audio amplifierMP3 playerVideo playerOrganizerWorld clockStop watch;Removable Li-Ion 700 mAh battery;Up to 180 h;Up to 2 h;;;120MB;Class 10;No;
https://www.gsmarena.com/i_mobile_315-2395.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-315.jpg;i-mobile 315;Released 2007, November;80g, 15.1mm thickness;Feature phone;microSD slot;7;N/A;79,484 hits;"1.5""";128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2007, November. Released 2007, November;Discontinued;98 x 46.3 x 15.1 mm (3.86 x 1.82 x 0.59 in);80 g (2.82 oz);Mini-SIM;TFT, 256K colors;1.5 inches, 7.3 cm(~16.0% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);wallpapers, themes;;microSD (dedicated slot);VGA;No;No;No;No;No;FM radio;Proprietary;;MP3 playerClockCalculator;Removable Li-Ion 720 mAh battery;Up to 200 h;Up to 3 h;;;;Class 8;No;
https://www.gsmarena.com/i_mobile_202-2676.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-202.jpg;i-mobile 202;Released 2008, December;95g, 14.5mm thickness;Feature phone;microSD slot;6;N/A;70,521 hits;"1.8""";128x160 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;;;2008, November. Released 2008, December;Discontinued;105 x 44 x 14.5 mm (4.13 x 1.73 x 0.57 in);95 g (3.35 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~22.1% screen-to-body ratio);128 x 160 pixels (~114 ppi density);wallpapers, themes;;microSD (dedicated slot);VGA;No;No;No;No;No;FM radio;miniUSB;;MP3 playerVoice memoPredictive text inputOrganizerStop watch;Removable Li-Ion 750 mAh battery;Up to 220 h;Up to 2 h 30 min;Black, White;;;Yes;No;
https://www.gsmarena.com/i_mobile_201-2394.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-201.jpg;i-mobile 201;Released 2008, May;73g, 15.5mm thickness;Feature phone;microSD slot;6;N/A;77,525 hits;"1.5""";128x128 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;;;2008, May. Released 2008, May;Discontinued;106 x 45 x 15.5 mm (4.17 x 1.77 x 0.61 in);73 g (2.57 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~15.2% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);wallpapers, themes;;microSD (dedicated slot);VGA;Yes;No;No;No;No;FM radio;Proprietary;;Yamaha Audio AmplifierMP3 playerMP4/AVI playerVoice memoPredictive text inputOrganizerWorld clockStop watch;Removable Li-Ion 750 mAh battery;Up to 150 h;Up to 2 h;Gray-Blue, Black-Orange;;;No;No;
https://www.gsmarena.com/i_mobile_101-2393.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile.jpg;i-mobile 101;Released 2008, May;69.6g, 14.4mm thickness;Feature phone;No card slot;6;N/A;72,139 hits;"1.5""";128x128 pixels; ;;680 mAh Li-Ion;GSM 900 / 1800;;;2008, May. Released 2008, May;Discontinued;103 x 45 x 14.4 mm (4.06 x 1.77 x 0.57 in);69.6 g (2.36 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~15.7% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);wallpapers;;No;No;;;No;No;No;No;No;;OrganizerWorld clockStop watch;Removable Li-Ion 680 mAh battery;Up to 150 h;Up to 2 h 30 min;Black, White, Gray;;;No;No;
