Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;memoryother;cam2features;batstandby1;battalktime1;featuresother;sar-eu;gprstext;edge;sar-us;displayprotection;optionalother;displayother
https://www.gsmarena.com/t_mobile_mytouch_3g-2848.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-3g.jpg;T-Mobile myTouch 3G;Released 2009, April;116g, 14.7mm thickness;Android 1.5;192MB RAM storage, microSDHC slot;17;N/A;758,551 hits;"3.2""";320x480 pixels;192 MB RAM;MSM7201A;1340 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 1700 / 2100;;;HSPA 7.2/2 Mbps;2009, June. Released 2009, April;Discontinued;113 x 56 x 14.7 mm (4.45 x 2.20 x 0.58 in);116 g (4.09 oz);Mini-SIM;Trackball;TFT, 65K colors;3.2 inches, 30.5 cm(~48.2% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Android 1.5 (Cupcake);Qualcomm MSM7201A;528 MHz ARM 11;Adreno 130;microSDHC (dedicated slot), 4 GB included;192MB RAM, 512MB;3.15 MP, AF;;CIF;No;;Wi-Fi 802.11 b/g;2.0, A2DP, EDR;GPS, A-GPS;;No;miniUSB 2.0;Accelerometer, compass;Removable Li-Ion 1340 mAh battery;White, Black, Red;;About 250 EUR;;;Up to 600 h;Up to 6 h;Voice memoMP3 playerPredictive text input;;;;1.37 W/kg (head)     1.05 W/kg (body);Corning Gorilla Glass;;
https://www.gsmarena.com/t_mobile_mda_vario_v-2825.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mda-vario-v.jpg;T-Mobile MDA Vario V;Released 2009, June;178.5g, 17.3mm thickness;Microsoft Windows Mobile 6.1 Professional;288MB RAM storage, microSD slot;9;N/A;241,961 hits;"3.6""";480x800 pixels;288 MB RAM;MSM7200A;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA 7.2/2 Mbps;2009, February. Released 2009, June;Discontinued;116 x 59.2 x 17.3 mm (4.57 x 2.33 x 0.68 in);178.5 g (6.28 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.6 inches, 36.9 cm(~53.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~259 ppi density);Microsoft Windows Mobile 6.1 Professional;Qualcomm MSM7200A;528 MHz ARM 11;Adreno 130;microSD (dedicated slot);288MB RAM, 512MB ROM;3.15 MP, AF;;480p;VGA videocall camera;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS;;Factory locked by default, can be enabled;miniUSB;Accelerometer;Removable Li-Ion 1500 mAh battery;Black/Grey;;;;;Up to 500 h (2G) / Up to 750 h (3G);Up to 8 h 30 min (2G) / Up to 6 h 30 min (3G);Pocket OfficeVoice memoMP3 playerTV-out;;;;;;;TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition
https://www.gsmarena.com/t_mobile_mda_compact_v-2824.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mda-compact-v.jpg;T-Mobile MDA Compact V;Released 2009, June;117g, 13.7mm thickness;Microsoft Windows Mobile 6.1 Professional;288MB RAM storage, microSD slot;10;N/A;251,182 hits;"3.2""";480x800 pixels;288 MB RAM;MSM7200A;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA 7.2/2 Mbps;2009, February. Released 2009, June;Discontinued;107.9 x 53.1 x 13.7 mm (4.25 x 2.09 x 0.54 in);117 g (4.13 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;3.2 inches, 29.1 cm(~50.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~292 ppi density);Microsoft Windows Mobile 6.1 Professional;Qualcomm MSM7200A;528 MHz ARM 11;Adreno 130;microSD (dedicated slot);288MB RAM, 512MB ROM;5 MP, AF;;480p@15fps;VGA videocall camera;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;miniUSB;Accelerometer;Removable Li-Ion 1100 mAh battery;Black;;;;;Up to 500 h;Up to 5 h;Pocket OfficeVoice memoMP3 player;;;;;;;TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition
https://www.gsmarena.com/t_mobile_sidekick_lx_2009-2787.php;https://fdn2.gsmarena.com/vv/bigpic/sidekick-lx-2009.jpg;T-Mobile Sidekick LX 2009;Released 2009, April;165g, 16.3mm thickness;Feature phone;microSDHC slot;16;N/A;675,734 hits;"3.2""";854x480 pixels; ;;1250 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;UMTS 1700 / 2100;;;Yes, 384 kbps;2009, April;Discontinued;132 x 61 x 16.3 mm (5.20 x 2.40 x 0.64 in);165 g (5.82 oz);Mini-SIM;Trackball;TFT, 65K colors;3.2 inches, 28.2 cm(~35.0% screen-to-body ratio);854 x 480 pixels, 16:9 ratio (~306 ppi density);;;;;microSDHC (dedicated slot), 1 GB included;;3.15 MP, AF;LED flash;Yes;No;;No;2.0, A2DP;GPS, A-GPS;;No;miniUSB;;Removable Li-Ion 1250 mAh battery;Orchid, Carbon;;About 220 EUR;;;Up to 192 h;Up to 5 h 30 min;MP3/WMA/WAV audio playerMP4/3gp playerVoice memoMySpace, Facebook, Twitter, Photobucket, YouTube apps;;;;0.40 W/kg (head)     0.46 W/kg (body);;;Swivel display
https://www.gsmarena.com/t_mobile_shadow_2-2656.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-shadow-2.jpg;T-Mobile Shadow 2;Released 2009, January;150.3g, 15.2mm thickness;Microsoft Windows Mobile 6.1 Standard;microSDHC slot;10;N/A;162,024 hits;;240x320 pixels; ;TI OMAP V1030;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;;2009, January;Discontinued;104.1 x 53.3 x 15.2 mm (4.10 x 2.10 x 0.60 in);150.3 g (5.29 oz);Mini-SIM;;TFT, 65K colors;;240 x 320 pixels, 4:3 ratio;Microsoft Windows Mobile 6.1 Standard;TI OMAP V1030;260 MHz;;microSDHC (dedicated slot);;2 MP;;Yes;No;;Wi-Fi 802.11 b/g, UMA;2.0;No;;No;miniUSB;;Removable Li-Ion 1100 mAh battery;White Mint, Black Burgundy;;About 150 EUR;;;Up to 168 h;Up to 7 h;Pocket OfficeMP3/AAC playerVoice memo/dialPredictive text input;;Class 10;Class 10;;;;
https://www.gsmarena.com/t_mobile_vairy_touch-2858.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-vairy-touch.jpg;T-Mobile Vairy Touch;Released 2009, March;84g, 16mm thickness;Feature phone;microSDHC slot;9;N/A;203,508 hits;"2.4""";240x320 pixels; ;;;GSM 900 / 1800;;;;;2009, March;Discontinued;93 x 52 x 16 mm (3.66 x 2.05 x 0.63 in);84 g (2.96 oz);Mini-SIM;;TFT, 65K colors;2.4 inches, 17.8 cm(~36.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);;1.3 MP;;Yes;No;;No;2.0;No;;Stereo FM radio, RDS;miniUSB 2.0;;Removable Li-Ion battery;Black;;;;;Up to 180 h;Up to 3 h;MP3/MP4 playerOrganizerVoice memoPredictive text input;;Class 10;No;;;;T-Mobile 3D UI
https://www.gsmarena.com/t_mobile_mda_basic-2648.php;https://fdn2.gsmarena.com/vv/bigpic/mda-basic.jpg;T-Mobile MDA Basic;Released 2009, January;110g, 16mm thickness;Microsoft Windows Mobile 6.1 Professional;128MB RAM storage, microSD slot;6;N/A;148,580 hits;"2.8""";240x320 pixels;128 MB RAM;TI OMAP 850;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;;2009, January;Discontinued;105 x 59 x 16 mm (4.13 x 2.32 x 0.63 in);110 g (3.88 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~39.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Microsoft Windows Mobile 6.1 Professional;TI OMAP 850;200 MHz ARM926EJ-S;;microSD (dedicated slot);128MB RAM, 256MB ROM;2 MP;;Yes;No;;Wi-Fi 802.11b/g;2.0, A2DP;No;;No;miniUSB;;Removable Li-Ion 1100 mAh battery;Gray;;;;;Up to 270 h;Up to 8 h;Pocket OfficeVoice memoMP3/AAC player;;Class 10;Class 10;;;;TouchFLO finger swipe navigationHandwriting recognition5-way navigation
https://www.gsmarena.com/t_mobile_g1-2533.php;https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g1.jpg;T-Mobile G1;Released 2008, October;158g, 17.1mm thickness;Android 1.6;192MB RAM storage, microSD slot;53;0.1%;2,053,294 hits;"3.2""";320x480 pixels;192 MB RAM;MSM7201A;1150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;;;HSPA 7.2/2 Mbps;2008, September. Released 2008, October;Discontinued;117 x 55.7 x 17.1 mm (4.61 x 2.19 x 0.67 in);158 g (5.57 oz);Mini-SIM;Trackball;TFT, 65K colors;3.2 inches, 30.5 cm(~46.8% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Android 1.6 (Donut);Qualcomm MSM7201A;528 MHz ARM 11;Adreno 130;microSD (dedicated slot);192MB RAM, 256MB;3.15 MP, AF;;Yes;No;;Wi-Fi 802.11 b/g;2.0, A2DP (headset support only);GPS;;No;miniUSB;Accelerometer, compass;Removable Li-Ion 1150 mAh battery;White, Black, Brown;;About 290 EUR;;;Up to 406 h;Up to 5 h 20 min;Voice memoMP3 player;;;;0.71 W/kg (head)     0.84 W/kg (body);Corning Gorilla Glass;;
https://www.gsmarena.com/t_mobile_mda_vario_iv-2581.php;https://fdn2.gsmarena.com/vv/bigpic/mda-vario-4.jpg;T-Mobile MDA Vario IV;Released 2008;165g, 18.1mm thickness;Microsoft Windows Mobile 6.1 Professional;256MB RAM storage, microSD slot;11;N/A;196,121 hits;"2.8""";480x640 pixels;256 MB RAM;MSM7201A;1340 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA 7.2/0.384 Mbps;2008, June. Released 2008;Discontinued;102 x 51 x 18.1 mm (4.02 x 2.01 x 0.71 in);165 g (5.82 oz);Mini-SIM;;TFT resistive touchscreen, 65K colors;2.8 inches, 24.3 cm(~46.7% screen-to-body ratio);480 x 640 pixels, 4:3 ratio (~286 ppi density);Microsoft Windows Mobile 6.1 Professional;Qualcomm MSM7201A;528 MHz ARM 11;Adreno 130;microSD (dedicated slot);256MB RAM, 512MB ROM;3.15 MP, AF;LED flash;Yes;VGA videocall camera;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;miniUSB;Accelerometer;Removable Li-Ion 1340 mAh battery;Black;;;;;Up to 406 h;Up to 8 h;TV-out (cable not included)Pocket OfficeVoice memoMP3 playerPredictive text input;;;;1.34 W/kg (head)     0.87 W/kg (body);;;TouchFLO 3D finger swipe navigationHandwriting recognition
https://www.gsmarena.com/t_mobile_shadow-2564.php;https://fdn2.gsmarena.com/vv/bigpic/htc-shadow.jpg;T-Mobile Shadow;Released 2007, October;150g, 15mm thickness;Microsoft Windows Mobile 6.0 Standard;128MB RAM storage, microSD slot;11;N/A;183,949 hits;;240x320 pixels;128 MB RAM;TI OMAP 850;920 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;;;2007, October;Discontinued;103 x 53 x 15 mm (4.06 x 2.09 x 0.59 in);150 g (5.29 oz);Mini-SIM;;TFT, 65K colors;, 53 x 40 mm;240 x 320 pixels, 4:3 ratio;Microsoft Windows Mobile 6.0 Standard;TI OMAP 850;200 MHz ARM926EJ-S;;microSD (dedicated slot);128MB RAM, 256MB ROM;2 MP;;Yes;No;;Wi-Fi 802.11 b/g;2.0;No;;No;miniUSB;;Removable Li-Ion 920 mAh battery;Black;;About 260 EUR;;;Up to 150 h;Up to 5 h;Pocket OfficeMP3/AAC playerVoice memo/dialPredictive text input;;Class 10;Class 10;0.35 W/kg (head)     0.67 W/kg (body);;;
