Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;chipset;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;displayother;displayprotection;os;cpu;gpu;memoryother;cam2features;featuresother;build;batstandby1;battalktime1;gprstext;edge;optionalother
https://www.gsmarena.com/plum_velocity_ii-5819.php;https://fdn2.gsmarena.com/vv/bigpic/plum-velocity-ii.jpg;Plum Velocity II;Released 2013, September;190g, 12.4mm thickness;Android 4.0;512MB 512MB RAM storage, microSDHC slot;3;N/A;97,778 hits;"2.6""";320x480 pixels;512 MB RAM;MT6575M;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;;Yes, 384 kbps;2013, September. Released 2013, September;Discontinued;110.5 x 64.5 x 12.4 mm (4.35 x 2.54 x 0.49 in);190 g (6.70 oz);Dual SIM;;TFT, 256K colors;2.6 inches, 20.1 cm(~28.2% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~222 ppi density);Mediatek MT6575M (65 nm);microSDHC (dedicated slot);512MB 512MB RAM;5 MP;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g, hotspot;2.0;GPS;No;Stereo FM radio;microUSB;Accelerometer;Li-Ion 1200 mAh, removable;Black, White, Blue, Red;;;Android 4.0 (Ice Cream Sandwich);1.0 GHz Cortex-A9;PowerVR SGX531;;;;;Up to 200 h;Up to 5 h;;;
https://www.gsmarena.com/plum_sync-5818.php;https://fdn2.gsmarena.com/vv/bigpic/plum-sync.jpg;Plum Sync;Released 2013, October;110g, 11.5mm thickness;Android 4.2;512MB 256MB RAM storage, microSDHC slot;3;N/A;112,800 hits;"3.5""";320x480 pixels;256 MB RAM;MT6572;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2013, September. Released 2013, October;Discontinued;118 x 62.4 x 11.5 mm (4.65 x 2.46 x 0.45 in);110 g (3.88 oz);Dual SIM;;TFT, 256K colors;3.5 inches, 36.5 cm(~49.5% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Mediatek MT6572 (28 nm);microSDHC (dedicated slot);512MB 256MB RAM;5 MP;;Yes;5 MP;;Wi-Fi 802.11 b/g, hotspot;2.1, A2DP, EDR;GPS;No;Stereo FM radio;microUSB;Accelerometer, proximity, compass;Li-Ion 1100 mAh, removable;Black, White;;;Android 4.2 (Jelly Bean);Dual-core 1.0 GHz Cortex-A7;Mali-400;;;;;Up to 180 h;Up to 4 h;Class 12;Class 12;
https://www.gsmarena.com/plum_axe_ii-5817.php;https://fdn2.gsmarena.com/vv/bigpic/plum-axe-2.jpg;Plum Axe II;Released 2013, October;110g, 11.8mm thickness;Android 4.2;4GB 512MB RAM storage, microSDHC slot;1;N/A;100,345 hits;"4.0""";480x800 pixels;512 MB RAM;MT6572AW;1450 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2013, October. Released 2013, October;Discontinued;125.5 x 65 x 11.8 mm (4.94 x 2.56 x 0.46 in);110 g (3.88 oz);Dual SIM;;TFT, 256K colors;4.0 inches, 45.5 cm(~55.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Mediatek MT6572AW;microSDHC (dedicated slot);4GB 512MB RAM;5 MP, AF;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n;2.1, A2DP, EDR;GPS;No;Stereo FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 1450 mAh, removable;Black, White, Blue, Red;;;Android 4.2 (Jelly Bean);Dual-core 1.2 GHz Cortex-A7;Mali-400;;;;;Up to 200 h;Up to 5 h;;;
https://www.gsmarena.com/plum_ten_3g-5589.php;https://fdn2.gsmarena.com/vv/bigpic/plum-ten.jpg;Plum Ten 3G;Released 2013, June;550g, 10.2mm thickness;Android 4.2;16GB storage, microSDHC;3;N/A;87,014 hits;"10.1""";800x1280 pixels;1 GB RAM;MT8377;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA;2013, May. Released 2013, June;Discontinued;246 x 175 x 10.2 mm (9.69 x 6.89 x 0.40 in);550 g (1.21 lb);Dual SIM;Flashlight;IPS LCD;10.1 inches, 295.8 cm(~68.7% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~149 ppi density);Mediatek MT8377 (40 nm);microSDHC (dedicated slot);16GB 1GB RAM;2 MP, AF;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;4.0, A2DP;GPS;No;FM radio;microUSB;Accelerometer, proximity;Li-Po 6000 mAh, non-removable;Silver;;;Android 4.2 (Jelly Bean);Dual-core 1.2 GHz Cortex-A9;PowerVR SGX531u;;;HDMI port;;Up to 340 h;Up to 30 h;;;
https://www.gsmarena.com/plum_link_ii-5588.php;https://fdn2.gsmarena.com/vv/bigpic/plum-link-ii.jpg;Plum Link II;Released 2013;310g, 10.1mm thickness;Android 4.2.2;8GB storage, microSDHC;1;N/A;75,076 hits;"7.0""";600x1024 pixels;1 GB RAM;;3000 mAh Li-Ion;N/A;;;;2013. Released 2013;Discontinued;188.1 x 112.2 x 10.1 mm (7.41 x 4.42 x 0.40 in);310 g (10.93 oz);No;;TFT;7.0 inches, 137.9 cm(~65.3% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);;microSDHC (dedicated slot);8GB 1GB RAM;2 MP, AF;;Yes;1.3 MP;;Wi-Fi 802.11 a/b/g/n, dual-band;No;No;No;No;microUSB;Accelerometer;Li-Ion 3000 mAh, non-removable;Black, White;;;Android 4.2.2 (Jelly Bean);1.5 GHz;;;;HDMI port;;Up to 250 h;;No;No;
https://www.gsmarena.com/plum_volt_3g-5587.php;https://fdn2.gsmarena.com/vv/bigpic/plum-volt.jpg;Plum Volt 3G;Released 2013, June;150g, 9mm thickness;Android 4.2;4GB 1GB RAM storage, microSDHC slot;8;N/A;131,918 hits;"5.0""";1080x1920 pixels;1 GB RAM;MT6589;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100 - SIM 1;;HSPA;2013, May. Released 2013, June;Discontinued;141 x 69 x 9 mm (5.55 x 2.72 x 0.35 in);150 g (5.29 oz);Dual SIM (Mini-SIM);Flashlight;IPS LCD;5.0 inches, 68.9 cm(~70.8% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Mediatek MT6589 (28 nm);microSDHC (dedicated slot);4GB 1GB RAM;8 MP, AF;LED flash;1080p@30fps;2 MP;;Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;2.1, A2DP, EDR;GPS;No;FM radio;miniUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Black/White;;;Android 4.2 (Jelly Bean);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;;;;;Up to 400 h;Up to 12 h;;;
https://www.gsmarena.com/plum_mouse-5586.php;https://fdn2.gsmarena.com/vv/bigpic/plum-mouse.jpg;Plum Mouse;Released 2013, June;65g, 16.5mm thickness;Feature phone;128MB 64MB RAM storage, microSDHC slot;8;N/A;90,781 hits;"2.75""";240x400 pixels;64 MB RAM;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2013, May. Released 2013, June;Discontinued;113 x 59 x 16.5 mm (4.45 x 2.32 x 0.65 in);65 g (2.29 oz);Dual SIM (Mini-SIM);;TFT resistive touchscreen;2.75 inches, 21.5 cm(~32.3% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~170 ppi density);;microSDHC (dedicated slot);128MB 64MB RAM;1.3 MP;;Yes;No;;No;2.1, A2DP, EDR;No;No;FM radio;microUSB;;Li-Ion 950 mAh, removable;Black, Red, Pink, Blue;;;;;;;;Analog TVMP3/WAV/AAC playerMP4/H.264 playerOrganizerVoice memoPredictive text input;;Up to 190 h;Up to 6 h;Class 12;Class 12;
https://www.gsmarena.com/plum_dazzle-5585.php;https://fdn2.gsmarena.com/vv/bigpic/plum-dazzle.jpg;Plum Dazzle;Released 2013, June;118g, 12.4mm thickness;Feature phone;64MB 64MB RAM storage, microSDHC slot;1;N/A;76,403 hits;"2.4""";240x320 pixels;64 MB RAM;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2013, May. Released 2013, June;Discontinued;109.2 x 54.2 x 12.4 mm (4.30 x 2.13 x 0.49 in);118 g (4.16 oz);Dual SIM (Mini-SIM);;TFT;2.4 inches, 17.8 cm(~30.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;microSDHC (dedicated slot);64MB 64MB RAM;1.3 MP;;Yes;No;;No;2.1, A2DP, EDR;No;No;FM radio;Proprietary;;Li-Ion 800 mAh, removable;Black, Red, White, Blue;;;;;;;;TVMP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;Up to 160 h;Up to 5 h;Class 12;Class 10;
https://www.gsmarena.com/plum_ram-5584.php;https://fdn2.gsmarena.com/vv/bigpic/plum-ram.jpg;Plum Ram;Released 2013, June;140g, 20mm thickness;Feature phone;64MB 32MB RAM storage, microSDHC slot;4;N/A;139,265 hits;"2.0""";176x220 pixels;32 MB RAM;;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2013, May. Released 2013, June;Discontinued;119 x 53 x 20 mm (4.69 x 2.09 x 0.79 in);140 g (4.94 oz);Dual SIM (Mini-SIM);IP67 dust/water resistant (up to 1m for 30 min)Flashlight;TFT, 256K colors;2.0 inches, 12.6 cm(~20.0% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSDHC (dedicated slot);64MB 32MB RAM;1.3 MP;;Yes;No;;No;2.0;No;No;FM radio;microUSB;;Li-Ion 1700 mAh, removable;Black, Orange, Red;;;;;;;;MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;;Up to 640 h;Up to 9 h;Class 12;Class 12;
https://www.gsmarena.com/plum_z710-5416.php;https://fdn2.gsmarena.com/vv/bigpic/plum-z710.jpg;Plum Z710;Released 2013, April;;Android 4.1.2;16GB storage, microSDHC;2;N/A;98,429 hits;"7.0""";600x1024 pixels;1 GB RAM;MT6577;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA 7.2/5.76 Mbps;2013, February. Released 2013, April;Discontinued;-;-;Dual SIM;;TFT, 256K colors;7.0 inches, 137.9 cm;600 x 1024 pixels, 16:9 ratio (~170 ppi density);Mediatek MT6577 (40 nm);microSDHC (dedicated slot);16GB 1GB RAM;3.15 MP;;Yes;1.3 MP;;Wi-Fi 802.11 b/g;4.0, A2DP;GPS;No;FM radio;miniUSB;Accelerometer, proximity, compass;Li-Ion 3000 mAh, non-removable;Black, White;;;Android 4.1.2 (Jelly Bean);Dual-core 1.2 GHz Cortex-A9;PowerVR SGX531u;;;TV;;Up to 420 h;Up to 7 h;;;
