Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;chipset;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;displayother;displayprotection;os;cpu;gpu;memoryother;cam2features;featuresother;build;batstandby1;battalktime1;gprstext;edge;optionalother
https://www.gsmarena.com/plum_trigger-5415.php;https://fdn2.gsmarena.com/vv/bigpic/plum-trigger.jpg;Plum Trigger;Released 2013, April;103g, 11.6mm thickness;Android 4.0;512MB 256MB RAM storage, microSDHC slot;4;N/A;108,527 hits;"3.5""";320x480 pixels;256 MB RAM;MT6575;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA 7.2/5.76 Mbps;2013, February. Released 2013, April;Discontinued;117 x 61.5 x 11.6 mm (4.61 x 2.42 x 0.46 in);103 g (3.63 oz);Dual SIM;;TFT, 256K colors;3.5 inches, 36.5 cm(~50.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Mediatek MT6575 (40 nm);microSDHC (dedicated slot);512MB 256MB RAM;2 MP, AF;LED flash;Yes;No;;Wi-Fi 802.11 b/g;4.0, A2DP;GPS;No;FM radio;miniUSB;Accelerometer, proximity, compass;Li-Ion 1350 mAh, removable;Black, White;;;Android 4.0 (Ice Cream Sandwich);1.0 GHz Cortex-A9;PowerVR SGX531;;;;;Up to 200 h;Up to 5 h;;;
https://www.gsmarena.com/plum_glow-5414.php;https://fdn2.gsmarena.com/vv/bigpic/plum-glow.jpg;Plum Glow;Released 2013, April;105g, 12.9mm thickness;Android 2.3.5;512MB 256MB RAM storage, microSDHC slot;1;N/A;91,070 hits;"3.5""";320x480 pixels;256 MB RAM;;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2013, February. Released 2013, April;Discontinued;112 x 61.5 x 12.9 mm (4.41 x 2.42 x 0.51 in);105 g (3.70 oz);Dual SIM;;TFT, 256K colors;3.5 inches, 36.5 cm(~53.0% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);;microSDHC (dedicated slot);512MB 256MB RAM;5 MP, AF;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g;2.1;GPS;No;FM radio;miniUSB;Accelerometer, proximity, compass;Li-Ion 1500 mAh, removable;Black, White;;;Android 2.3.5 (Gingerbread);1.0 GHz;;;;;;Up to 200 h;Up to 6 h;Class 12;Class 12;
https://www.gsmarena.com/plum_panther-5413.php;https://fdn2.gsmarena.com/vv/bigpic/plum-panther.jpg;Plum Panther;Released 2013, April;47g without battery, 21.5mm thickness;Feature phone;64MB ROM storage, microSDHC slot;6;N/A;82,435 hits;"1.44""";240x160 pixels;32 MB RAM;;750 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2013, February. Released 2013, April;Discontinued;80.9 x 38.6 x 21.5 mm (3.19 x 1.52 x 0.85 in);47 g without battery (1.66 oz);Dual SIM;;TFT;1.44 inches, 6.2 cm(~19.8% screen-to-body ratio);240 x 160 pixels, 3:2 ratio (~200 ppi density);;microSDHC (dedicated slot);64MB ROM, 32MB RAM;1.3 MP;;Yes @10fps;No;;No;2.0;No;No;FM radio;microUSB;;Li-Ion 750 mAh, removable;White, Black, Red;;;;;;;;MSN, Facebook, Yahoo, TwitterMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input;;Up to 200 h;Up to 6 h;Yes;No;
https://www.gsmarena.com/plum_caliber_ii-5412.php;https://fdn2.gsmarena.com/vv/bigpic/plum-caliber-ii.jpg;Plum Caliber II;Released 2013, April;125g, 13.5mm thickness;Feature phone;1GB 512MB RAM storage, microSDHC slot;2;N/A;83,532 hits;"2.4""";320x240 pixels;512 MB RAM;MT6276;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA 7.2/5.76 Mbps;2013, February. Released 2013, April;Discontinued;116 x 51.6 x 13.5 mm (4.57 x 2.03 x 0.53 in);125 g (4.41 oz);Dual SIM;;TFT, 256K colors;2.4 inches, 17.8 cm(~29.8% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);Mediatek MT6276;microSDHC (dedicated slot);1GB 512MB RAM;3.15 MP;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g;4.0, A2DP;GPS;No;Stereo FM radio;;;Li-Ion 1500 mAh, removable;Black, White;;;;650 MHz;;;;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input;;Up to 250 h;Up to 7 h;;;
https://www.gsmarena.com/plum_signal-5200.php;https://fdn2.gsmarena.com/vv/bigpic/plum-p110.jpg;Plum Signal;Released 2012, October;89g, 17.5mm thickness;Feature phone;32MB ROM storage, microSDHC slot;2;N/A;90,605 hits;"1.8""";160x120 pixels;32 MB RAM;MT6250;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, September. Released 2012, October;Discontinued;92 x 45 x 17.5 mm (3.62 x 1.77 x 0.69 in);89 g (3.14 oz);Dual SIM (Mini-SIM);Flashlight;TFT;1.8 inches, 10.0 cm(~24.2% screen-to-body ratio);160 x 120 pixels, 4:3 ratio (~111 ppi density);Mediatek MT6250;microSDHC (dedicated slot);32MB ROM, 32MB RAM;1.3 MP;;@10fps;No;;No;2.0;No;No;Stereo FM radio;microUSB;;Li-Ion 800 mAh, removable (BL-4U);White, Blue, Pink, Green, Red;;;;;;;;MSN, Facebook, Yahoo, TwitterMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input;;Up to 200 h;Up to 4 h;Class 10;No;
https://www.gsmarena.com/plum_hammer-5199.php;https://fdn2.gsmarena.com/vv/bigpic/plum-e100.jpg;Plum Hammer;Released 2012, December;93g, 19.8mm thickness;Feature phone;64MB ROM storage, microSDHC slot;4;N/A;137,364 hits;"2.0""";240x320 pixels;32 MB RAM;;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, November. Released 2012, December;Discontinued;116 x 52.8 x 19.8 mm (4.57 x 2.08 x 0.78 in);93 g (3.28 oz);Dual SIM (Mini-SIM);Shock and splash resistant;TFT, 65K colors;2.0 inches, 12.4 cm(~20.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;microSDHC (dedicated slot);64MB ROM, 32MB RAM;1.3 MP;LED flash;320p@10fps;No;;No;2.0;No;No;Stereo FM radio;microUSB;;Li-Ion 1500 mAh, removable;Black, Orange, Camouflage;;;;;;;;Analog TVMSN, Facebook, Yahoo, TwitterMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input;;Up to 600 h;Up to 5 h;Class 10;No;
https://www.gsmarena.com/plum_flipper-5198.php;https://fdn2.gsmarena.com/vv/bigpic/plum-d105.jpg;Plum Flipper;Released 2012, December;82g, 17.5mm thickness;Feature phone;32MB ROM storage, microSDHC slot;3;N/A;83,897 hits;"2.0""";128x160 pixels;32 MB RAM;;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2012, September. Released 2012, December;Discontinued;92 x 45 x 17.5 mm (3.62 x 1.77 x 0.69 in);82 g (2.89 oz);Dual SIM (Mini-SIM);;TFT, 65K colors;2.0 inches, 12.6 cm(~30.4% screen-to-body ratio);128 x 160 pixels (~102 ppi density);;microSDHC (dedicated slot);32MB ROM, 32MB RAM;1.3 MP;;Yes @10fps;No;;No;2.0;No;No;Stereo FM radio;miniUSB;;Li-Ion 800 mAh, removable (BL-4U);Black, Blue, Red;;;;;;;;Analog TVMSN, Facebook, YahooMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input;;Up to 160 h;Up to 4 h;Yes;No;
https://www.gsmarena.com/plum_debut-4767.php;https://fdn2.gsmarena.com/vv/bigpic/plum-debut-new.jpg;Plum Debut;Released 2012, May;388g, 8.9mm thickness;Android 4.0;4GB 512MB RAM storage, microSDHC slot;7;N/A;125,837 hits;"7.0""";600x1024 pixels;512 MB RAM;Snapdragon S2;4250 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100;;HSPA 7.2/5.76 Mbps;2012, May. Released 2012, May;Discontinued;200 x 120 x 8.9 mm (7.87 x 4.72 x 0.35 in);388 g (13.69 oz);Mini-SIM;;TFT;7.0 inches, 137.9 cm(~57.5% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Qualcomm MSM8255 Snapdragon S2;microSDHC (dedicated slot), 32 GB included;4GB 512MB RAM;5 MP;;Yes;1.3 MP;;Wi-Fi 802.11 b/g, hotspot;2.0, A2DP, EDR;GPS;;Stereo FM radio;microUSB 2.0;Accelerometer;Non-removable Li-Ion 4250 mAh battery;Black, White;;;Android 4.0 (Ice Cream Sandwich);1.4 GHz Scorpion;Adreno 205;;;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPDF ViewerOfficePhoto editorVoice memo/dialPredictive text input;;Up to 200 h;Up to 12 h;;;
https://www.gsmarena.com/plum_link-5063.php;https://fdn2.gsmarena.com/vv/bigpic/plum-link.jpg;Plum Link;Released 2012, October;260g, 11mm thickness;Android 4.0;4GB 512MB RAM storage, microSDHC slot;8;N/A;91,083 hits;"7.0""";480x800 pixels;512 MB RAM;;2800 mAh Li-Ion;N/A;;;;2012, August. Released 2012, October;Discontinued;193 x 120 x 11 mm (7.60 x 4.72 x 0.43 in);260 g (9.17 oz);No;;TFT, 256K colors;7.0 inches, 139.5 cm(~60.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~133 ppi density);;microSDHC (dedicated slot);4GB 512MB RAM;1.3 MP;;Yes;No;;Wi-Fi 802.11 b/g;No;No;No;No;miniUSB 2.0;Accelerometer;Li-Ion 2800 mAh, non-removable;Black, White;;;Android 4.0 (Ice Cream Sandwich);1.2 GHz;;;;MP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewer;;Up to 120 h;Up to 8 h;No;No;
https://www.gsmarena.com/plum_might-4768.php;https://fdn2.gsmarena.com/vv/bigpic/plum-might-new.jpg;Plum Might;Released 2012, May;180g, 10.5mm thickness;Android 4.0;1GB 512MB RAM storage, microSDHC slot;8;N/A;197,995 hits;"5.3""";480x800 pixels;512 MB RAM;MT6575;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA 7.2/5.76 Mbps;2012, May. Released 2012, May;Discontinued;147 x 82.4 x 10.5 mm (5.79 x 3.24 x 0.41 in);180 g (6.35 oz);Dual SIM (Mini-SIM);;TFT, 256K colors;5.3 inches, 80.0 cm(~66.0% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~176 ppi density);Mediatek MT6575 (40 nm);microSDHC (dedicated slot);1GB 512MB RAM;5 MP, AF;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g, hotspot;2.0, A2DP, EDR;GPS, A-GPS;;Stereo FM radio;miniUSB 2.0;Accelerometer, proximity;Removable Li-Ion 2500 mAh battery;Black, White;;;Android 4.0 (Ice Cream Sandwich);1.0 GHz Cortex-A9;PowerVR SGX531;;;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPDF ViewerOfficePhoto editorVoice memo/dialPredictive text input;;Up to 720 h;Up to 7 h;;;
https://www.gsmarena.com/plum_axe-4764.php;https://fdn2.gsmarena.com/vv/bigpic/plum-axe.jpg;Plum Axe;Released 2012, May;98g, 10.4mm thickness;Android 4.0;4GB 512MB RAM storage, microSDHC slot;6;N/A;138,067 hits;"4.0""";480x800 pixels;512 MB RAM;MT6575;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA;2012, May. Released 2012, May;Discontinued;122 x 63.6 x 10.4 mm (4.80 x 2.50 x 0.41 in);98 g (3.46 oz);Dual SIM (Mini-SIM);;TFT, 256K colors;4.0 inches, 45.5 cm(~58.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Mediatek MT6575 (40 nm);microSDHC (dedicated slot);4GB 512MB RAM;5 MP, AF;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g, Mi-Fi hotspot;2.1;GPS, A-GPS;;Stereo FM radio;miniUSB;Accelerometer, proximity, compass;Removable Li-Ion 1400 mAh battery;Black, White;;;Android 4.0 (Ice Cream Sandwich);1.0 GHz Cortex-A9;PowerVR SGX531;;;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input;;Up to 200 h;Up to 5 h;;;
https://www.gsmarena.com/plum_capacity-4765.php;https://fdn2.gsmarena.com/vv/bigpic/plum-capacity.jpg;Plum Capacity;Released 2012, May;98g, 12mm thickness;Android 2.3;512MB 256MB RAM storage, microSDHC slot;5;N/A;90,656 hits;"3.5""";320x480 pixels;256 MB RAM;MT6573;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA 7.2/5.76 Mbps;2012, May. Released 2012, May;Discontinued;118 x 62 x 12 mm (4.65 x 2.44 x 0.47 in);98 g (3.46 oz);Dual SIM (Mini-SIM);;TFT;3.5 inches, 36.5 cm(~49.9% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);Mediatek MT6573 (65 nm);microSDHC (dedicated slot);512MB 256MB RAM;3.15 MP;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n, DLNA, hotspot;2.0, A2DP, EDR;GPS, A-GPS;;Stereo FM radio;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1200 mAh battery;Black, Red;;;Android 2.3 (Gingerbread);650 MHz Cortex-A9;PowerVR SGX531;;;Analog TVMP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPDF viewerPhoto editorVoice memo/dialPredictive text input;;Up to 120 h;Up to 5 h;;;
https://www.gsmarena.com/plum_wicked-4657.php;https://fdn2.gsmarena.com/vv/bigpic/plum-wicked-new.jpg;Plum Wicked;Released 2012, March;92g, 13.4mm thickness;Android 2.2;512MB 256MB RAM storage, microSDHC slot;8;N/A;103,860 hits;"2.8""";240x320 pixels;256 MB RAM;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100 - SIM 1;;Yes, 384 kbps;2012, February. Released 2012, March;Discontinued;110 x 58 x 13.4 mm (4.33 x 2.28 x 0.53 in);92 g (3.25 oz);Dual SIM (Mini-SIM, dual stand-by);;TFT resistive touchscreen;2.8 inches, 24.3 cm(~38.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;microSDHC (dedicated slot);512MB 256MB RAM;2 MP;;320p@30fps;No;;Wi-Fi 802.11 b/g, hotspot;2.1, A2DP;GPS, A-GPS;;FM radio;microUSB 2.0;Accelerometer, compass;Removable Li-Ion 1000 mAh battery;Black, White;;;Android 2.2 (Froyo);;;;;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument editorPhoto editorVoice memo/dialMP4/WMV/H.264 playerMP3/WAV/WMA/AAC playerOrganizerPhoto/video editorVoice memoPredictive text input;;Up to 250 h;Up to 6 h;;;
https://www.gsmarena.com/plum_flix-4766.php;https://fdn2.gsmarena.com/vv/bigpic/plum-flix.jpg;Plum Flix;Released 2012, May;90g, 14.5mm thickness;Android 2.3.5;512MB RAM storage, microSDHC slot;6;N/A;88,902 hits;"3.2""";320x480 pixels;512 MB RAM;MT6573;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 2100;;HSPA;2012, May. Released 2012, May;Discontinued;108 x 57 x 14.5 mm (4.25 x 2.24 x 0.57 in);90 g (3.17 oz);Dual SIM (Mini-SIM);;TFT;3.2 inches, 30.5 cm(~49.5% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);Mediatek MT6573 (65 nm);microSDHC (dedicated slot);512MB RAM, 256MB;3.15 MP;;Yes;VGA;;Wi-Fi 802.11 b/g/n;2.0, A2DP, EDR;GPS;;FM radio;microUSB 2.0;Accelerometer, proximity;Removable Li-Ion 1200 mAh battery;Black;;;Android 2.3.5 (Gingerbread);800 MHz Cortex-A9;PowerVR SGX531;;;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input;;Up to 150 h;Up to 4 h;;;
https://www.gsmarena.com/plum_orbit-4743.php;https://fdn2.gsmarena.com/vv/bigpic/plum-orbit.jpg;Plum Orbit;Released 2012, May;92g, 11mm thickness;Android 2.3.1;microSDHC slot;4;N/A;89,554 hits;"3.2""";240x400 pixels; ;MT6516;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;HSPA 7.2/5.76 Mbps;2012, May. Released 2012, May;Discontinued;104 x 57.3 x 11 mm (4.09 x 2.26 x 0.43 in);92 g (3.25 oz);Dual SIM (Mini-SIM);;TFT resistive touchscreen;3.2 inches, 29.1 cm(~48.9% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);Mediatek MT6516;microSDHC (dedicated slot);;2 MP;LED flash;Yes;No;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS, A-GPS;;FM radio;microUSB 2.0;Accelerometer;Removable Li-Ion 1100 mAh battery;Black, White, Pink;;;Android 2.3.1 (Gingerbread);416 MHz;;;;Analog TVMP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerPhoto editorVoice memo/dialPredictive text input;;Up to 300 h;Up to 8 h;Class 12;Yes;
https://www.gsmarena.com/plum_velocity-4186.php;https://fdn2.gsmarena.com/vv/bigpic/plum-velocity.jpg;Plum Velocity;Released 2011, September;135g, 12.6mm thickness;Android 2.2;512MB 256MB RAM storage, microSDHC slot;8;N/A;131,308 hits;"2.6""";320x240 pixels;256 MB RAM;MT6516;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, September. Released 2011, September;Discontinued;113.5 x 62.5 x 12.6 mm (4.47 x 2.46 x 0.50 in);135 g (4.76 oz);Dual SIM (Mini-SIM, dual stand-by);;TFT resistive touchscreen;2.6 inches, 20.9 cm(~29.5% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~154 ppi density);Mediatek MT6516;microSDHC (dedicated slot);512MB 256MB RAM;2 MP;LED flash;720p@30fps;Yes;;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;;FM radio;microUSB 2.0;;Removable Li-Ion 800 mAh battery (BL-5K);Black, White;;;Android 2.2 (Froyo);416 MHz;;;;Analog TVMP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerPhoto viewer/editorVoice memoPredictive text input;;Up to 200 h;Up to 6 h;Class 12;Class 12;2.5 mm audio jack
https://www.gsmarena.com/plum_caliber-4152.php;https://fdn2.gsmarena.com/vv/bigpic/plum-caliber.jpg;Plum Caliber;Released 2011, September;90g, 14.1mm thickness;Feature phone;512MB ROM storage, microSDHC slot;7;N/A;95,998 hits;"2.2""";240x320 pixels;256 MB RAM;MT6573;1050 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;HSDPA 850 / 2100 - SIM 1 only;;384 Kbps;2011, September. Released 2011, September;Discontinued;107 x 49 x 14.1 mm (4.21 x 1.93 x 0.56 in);90 g (3.17 oz);Dual SIM (Mini-SIM, dual stand-by);Flashlight;TFT;2.2 inches, 15.0 cm(~28.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);Mediatek MT6573 (65 nm);microSDHC (dedicated slot);512MB ROM, 256MB RAM;2 MP;LED flash;Yes;1 MP;;No;2.1, A2DP, EDR;No;;Stereo FM radio;microUSB;;Removable Li-Ion 1050 mAh battery (BL-5C);Black, Red, White;;;;650 MHz Cortex-A9;PowerVR SGX531;;;MSN, Facebook applicationsMP3/WAV/AAC playerMP4/H.264 playerOrganizerVoice memoPredictive text input;;Up to 260 h;Up to 5 h;;;
https://www.gsmarena.com/plum_switch-4936.php;https://fdn2.gsmarena.com/vv/bigpic/plum-switch.jpg;Plum Switch;Released 2012, August;106g, 13.8mm thickness;Feature phone;1GB ROM storage, microSDHC slot;12;N/A;95,179 hits;"1.77""";160x240 pixels;512 MB RAM;MT6276;430 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 2100;;HSPA 7.2/5.76 Mbps;2012, February. Released 2012, August;Discontinued;106.1 x 37 x 13.8 mm (4.18 x 1.46 x 0.54 in);106 g (3.74 oz);Mini-SIM;;TFT;1.77 inches, 9.3 cm(~23.8% screen-to-body ratio);160 x 240 pixels, 3:2 ratio (~163 ppi density);Mediatek MT6276;microSDHC (dedicated slot);1GB ROM, 512MB RAM;No;;;;;Wi-Fi 802.11 b/g, Mi-Fi hotspot;2.1;No;;FM radio;2.0;;Removable Li-Ion 430 mAh battery;Black, Blue, Green, White;;;;;;;;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument editorPhoto editorE-book readerVoice memo/dial;;Up to 230 h;Up to 3 h;;;2.5 mm audio jack
https://www.gsmarena.com/plum_galactic-4153.php;https://fdn2.gsmarena.com/vv/bigpic/plum-galactic.jpg;Plum Galactic;Released 2011, September;93.4g, 13.7mm thickness;Feature phone;1GB 256MB RAM storage, microSDHC slot;8;N/A;96,879 hits;"2.55""";320x240 pixels; ;;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;;;;2011, September. Released 2011, September;Discontinued;118 x 58.3 x 13.7 mm (4.65 x 2.30 x 0.54 in);93.4 g (3.28 oz);Dual SIM (Mini-SIM, dual stand-by);Flashlight;TFT;2.55 inches, 20.1 cm(~29.3% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~157 ppi density);;microSDHC (dedicated slot);1GB 256MB RAM;VGA;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;Yes;No;;Stereo FM radio;microUSB;;Removable Li-Ion 900 mAh battery (BL-5F);Black blue, black orange, black purple, white blue, white orange, white purple;;;;208 MHz MTK 6235;;;;Analog TVMSN, Facebook, Yahoo, Twitter applicationsMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input;;Up to 400 h;Up to 3 h 30 min;Yes;Yes;
https://www.gsmarena.com/plum_tracer_ii-4183.php;https://fdn2.gsmarena.com/vv/bigpic/plum-tracer.jpg;Plum Tracer II;Released 2011, September;93.4g, 13.7mm thickness;Feature phone;512MB ROM storage, microSDHC slot;8;N/A;100,121 hits;"2.8""";240x320 pixels;256 MB RAM;MT6235;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, September. Released 2011, September;Discontinued;118 x 58.3 x 13.7 mm (4.65 x 2.30 x 0.54 in);93.4 g (3.28 oz);Dual SIM (Mini-SIM, dual stand-by);Flashlight;TFT resistive touchscreen;2.8 inches, 24.3 cm(~35.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Mediatek MT6235;microSDHC (dedicated slot);512MB ROM, 256MB RAM;1.3 MP;LED flash;Yes;VGA;;Wi-Fi 802.11 b/g/n;Yes;No;;FM radio;microUSB;;Removable Li-Ion 900 mAh battery (BL-5F);Black, white, red;;;;200 MHz;;;;MSN, Facebook, Yahoo, TwitterAnalog TVMP3/WAV playerMP4/H.263 playerPredictive text input;;Up to 400 h;Up to 4 h;Yes;Yes;
https://www.gsmarena.com/plum_geo-4940.php;https://fdn2.gsmarena.com/vv/bigpic/plum-geo.jpg;Plum Geo;Released 2012, September;90g, 15.5mm thickness;Feature phone;64MB ROM storage, microSDHC slot;8;N/A;81,228 hits;"2.6""";240x320 pixels;32 MB RAM;;1050 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2012, August. Released 2012, September;Discontinued;106.9 x 58.4 x 15.5 mm (4.21 x 2.30 x 0.61 in);90 g (3.17 oz);Dual SIM (Mini-SIM);;TFT resistive touchscreen;2.6 inches, 20.9 cm(~33.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~154 ppi density);;microSDHC (dedicated slot);64MB ROM, 32MB RAM;1.3 MP;;Yes;No;;No;2.0;No;;Stereo FM radio;microUSB;;Removable Li-Ion 1050 mAh battery;Black, White, Silver;;;;;;;;TVEbuddy, Facebook, Yahoo, TwitterMP4/AVI/3GP playerMP3/WAV/WMA playerOrganizerTouch screenVoice memo/dial;;Up to 350 h;Up to 6 h;Class 10;No;
https://www.gsmarena.com/plum_tingle-4182.php;https://fdn2.gsmarena.com/vv/bigpic/plum-tingle.jpg;Plum Tingle;Released 2011, September;126g, 12.8mm thickness;Feature phone;128MB ROM storage, microSDHC slot;5;N/A;85,351 hits;"2.8""";240x400 pixels;64 MB RAM;;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, August. Released 2011, September;Discontinued;113.7 x 58 x 12.8 mm (4.48 x 2.28 x 0.50 in);126 g (4.44 oz);Dual SIM (Mini-SIM, dual stand-by);;TFT, 256K colors;2.8 inches, 22.3 cm(~33.8% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);;microSDHC (dedicated slot);128MB ROM, 64MB RAM;1.3 MP;LED flash;Yes;VGA;;No;Yes;No;;FM radio;microUSB 2.0;;Removable Li-Ion 1100 mAh battery (BL-4L);Red, Black, Blue, Magenta;;;;MT 6253 chipset;;;;Analog TVMP3/WAV/eAAC+/WMA/FLAC playerMP4/H.263 playerVoice memo/dial/commandPredictive text input;;Up to 400 h;Up to 6 h;Class 12;Class 12;
https://www.gsmarena.com/plum_genius-4154.php;https://fdn2.gsmarena.com/vv/bigpic/plum-genius.jpg;Plum Genius;Released 2011, July;91g, 13.9mm thickness;Feature phone;64MB ROM storage, microSDHC slot;9;N/A;109,775 hits;"2.0""";220x176 pixels;32 MB RAM;;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2011, July. Released 2011, July;Discontinued;110 x 58 x 13.9 mm (4.33 x 2.28 x 0.55 in);91 g (3.21 oz);Triple SIM (Mini-SIM);Flashlight;TFT, 65K colors;2.0 inches, 12.6 cm(~19.7% screen-to-body ratio);220 x 176 pixels (~141 ppi density);;microSDHC (dedicated slot);64MB ROM, 32MB RAM;1.3 MP;LED flash;320p@10fps;VGA;;No;1.2;No;;Stereo FM radio;microUSB;;Removable Li-Ion 1200 mAh battery (BL-4L);Orange, Green, Orchid, Yellow, Sky Blue;;;;;;;;Analog TVMSN, Facebook, Yahoo, Twitter applicationsMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input;;Up to 600 h;Up to 5 h;Class 10;No;2.5 mm audio jack
